,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,split10_test_score,split11_test_score,split12_test_score,split13_test_score,split14_test_score,split15_test_score,split16_test_score,split17_test_score,split18_test_score,split19_test_score,split20_test_score,split21_test_score,split22_test_score,split23_test_score,split24_test_score,split25_test_score,split26_test_score,split27_test_score,split28_test_score,split29_test_score,split30_test_score,split31_test_score,split32_test_score,split33_test_score,split34_test_score,split35_test_score,split36_test_score,split37_test_score,split38_test_score,split39_test_score,mean_test_score,std_test_score,rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_estimator__C,param_subset__BASE_TYPE,param_subset__COM_CAT#1,param_subset__COM_CAT#17,param_subset__COM_CAT#19,param_subset__COM_CAT#20,param_subset__COM_CAT#22,param_subset__COM_CAT#29,param_subset__COM_CAT#31,param_subset__COM_CAT#32,param_subset__COM_CAT#33,param_subset__COM_CAT#7,param_subset__CONTACT_DATE_0_HOLIDAYS,param_subset__CONTACT_DATE_3_HOLIDAYS,param_subset__COST,param_subset__RENT_CHANNEL,param_subset__ROAM,param_subset__VAS,params
0,0.5264341572787926,0.5044501257792847,0.5063849880923051,0.541936985026416,0.5210475226949579,0.5640380619052828,0.5161506665571707,0.5212696066354603,0.5332563163075578,0.5316430602646833,0.5618926391284115,0.47978429279242285,0.5278970250464836,0.5367494257902221,0.5061249349867236,0.5363458432564123,0.5205074920704365,0.5392923548069561,0.5423339081875668,0.5435588951849115,0.5338236902548398,0.5290181012796674,0.49178095316306697,0.5497659522049767,0.5784001421852784,0.5163376353494477,0.5221250444827681,0.5436957652404807,0.5426487476758175,0.5593965328666739,0.533704251183926,0.5098272699898716,0.510007656130373,0.5295444602428088,0.5231721004078728,0.5113670581150256,0.5460803346822706,0.5354984687739254,0.5079795242396868,0.510142071117681,0.5286380366192833,0.019731952305649756,1,0.03145580887794495,0.009181549063199177,0.01768101453781128,0.0050635803940790305,0.06610098295419149,False,False,True,False,True,True,False,True,False,False,True,True,False,True,False,False,False,"{'estimator__C': 0.06610098295419149, 'subset__BASE_TYPE': False, 'subset__COM_CAT#1': False, 'subset__COM_CAT#17': True, 'subset__COM_CAT#19': False, 'subset__COM_CAT#20': True, 'subset__COM_CAT#22': True, 'subset__COM_CAT#29': False, 'subset__COM_CAT#31': True, 'subset__COM_CAT#32': False, 'subset__COM_CAT#33': False, 'subset__COM_CAT#7': True, 'subset__CONTACT_DATE_0_HOLIDAYS': True, 'subset__CONTACT_DATE_3_HOLIDAYS': False, 'subset__COST': True, 'subset__RENT_CHANNEL': False, 'subset__ROAM': False, 'subset__VAS': False}"
1,0.5335570928579241,0.5670321557475664,0.5504708329911583,0.5139470586625058,0.5222813901345291,0.4962266214590397,0.5634563795132901,0.5227306944786619,0.5583198895329761,0.580078338619709,0.5232439571870466,0.504338780761545,0.5511422673083233,0.5227598982828393,0.5272337193068901,0.5647532232898086,0.5248858416274745,0.5801466969266105,0.5363526867591908,0.533143083956092,0.5566997976594115,0.542949524226184,0.5288556294653856,0.5404074621554297,0.5555650497648474,0.4994873126982391,0.5528489502066738,0.5234937450384605,0.5260581865908346,0.540034042436837,0.5360686813938846,0.5115997372094933,0.5124753910095154,0.5429392704801488,0.5492424242424242,0.5540568284470724,0.5799211145138358,0.5502296839111889,0.551312583832909,0.5091258109550792,0.5384885262000729,0.021633568558245216,1,0.04677795171737671,0.0143968582357794,0.020829182863235474,0.007692804806121204,0.4729080547055919,False,True,False,False,True,True,True,False,False,False,False,False,True,False,True,True,False,"{'estimator__C': 0.4729080547055919, 'subset__BASE_TYPE': False, 'subset__COM_CAT#1': True, 'subset__COM_CAT#17': False, 'subset__COM_CAT#19': False, 'subset__COM_CAT#20': True, 'subset__COM_CAT#22': True, 'subset__COM_CAT#29': True, 'subset__COM_CAT#31': False, 'subset__COM_CAT#32': False, 'subset__COM_CAT#33': False, 'subset__COM_CAT#7': False, 'subset__CONTACT_DATE_0_HOLIDAYS': False, 'subset__CONTACT_DATE_3_HOLIDAYS': True, 'subset__COST': False, 'subset__RENT_CHANNEL': True, 'subset__ROAM': True, 'subset__VAS': False}"
2,0.549009488132998,0.5711370720769987,0.5364690263064247,0.5164688894363691,0.5470749480476867,0.516112052936673,0.5629431168049054,0.5271995017929978,0.5748455102264026,0.593138193153232,0.5463202485560209,0.5065663409159344,0.5570518429399541,0.5582344416493492,0.5364450740467,0.5734239413101202,0.5291958328776113,0.5822726402712457,0.5558669349319756,0.5415571706222112,0.5513815213824783,0.561139669692661,0.518970189701897,0.5609037529769236,0.5850069725473039,0.5140202887454883,0.5468608852755195,0.5570816566751526,0.5449558405337417,0.562879388603303,0.5489413101201719,0.5257931619720237,0.5217550311713879,0.5573697090670459,0.5479524239686842,0.557991842544688,0.595113748222684,0.5586548452367932,0.5552133804166325,0.506487640633982,0.5489987015518883,0.02229689595784964,1,0.04017516374588013,0.017540527010404615,0.018062275648117066,0.008048070648184233,0.07756486208064789,False,True,True,True,True,True,False,False,False,False,True,True,False,True,True,False,True,"{'estimator__C': 0.07756486208064789, 'subset__BASE_TYPE': False, 'subset__COM_CAT#1': True, 'subset__COM_CAT#17': True, 'subset__COM_CAT#19': True, 'subset__COM_CAT#20': True, 'subset__COM_CAT#22': True, 'subset__COM_CAT#29': False, 'subset__COM_CAT#31': False, 'subset__COM_CAT#32': False, 'subset__COM_CAT#33': False, 'subset__COM_CAT#7': True, 'subset__CONTACT_DATE_0_HOLIDAYS': True, 'subset__CONTACT_DATE_3_HOLIDAYS': False, 'subset__COST': True, 'subset__RENT_CHANNEL': True, 'subset__ROAM': False, 'subset__VAS': True}"
3,0.5657538554085093,0.5252242152466369,0.5259334537789823,0.5420327940653143,0.5306928797987531,0.5702449961719348,0.5679525608387397,0.49327968027155017,0.5791999343760255,0.5389334736957235,0.5328522350880074,0.5064671101256467,0.5531895986000219,0.552020671552007,0.5002429443486355,0.583182776272207,0.5260821119982501,0.5371048889861096,0.5301148339766226,0.5798294599107607,0.5362025593350104,0.5840499562506836,0.5167802688127892,0.52665544332211,0.5635834791643881,0.5237681833096358,0.5550457145985601,0.513608305274972,0.5657436016624741,0.5213072842611834,0.5383817853330048,0.5534546002025676,0.5502160122498085,0.53688956031937,0.5221866360077743,0.5548609400235416,0.5868116318495024,0.5566895439133763,0.49728655114833975,0.5414579398319236,0.5421366763558878,0.024386103228711174,1,0.035185569524765016,0.007717475959468396,0.01993611454963684,0.0040214064077100245,0.42149456283334996,True,False,False,False,True,False,False,False,True,True,False,False,True,False,True,True,True,"{'estimator__C': 0.42149456283334996, 'subset__BASE_TYPE': True, 'subset__COM_CAT#1': False, 'subset__COM_CAT#17': False, 'subset__COM_CAT#19': False, 'subset__COM_CAT#20': True, 'subset__COM_CAT#22': False, 'subset__COM_CAT#29': False, 'subset__COM_CAT#31': False, 'subset__COM_CAT#32': True, 'subset__COM_CAT#33': True, 'subset__COM_CAT#7': False, 'subset__CONTACT_DATE_0_HOLIDAYS': False, 'subset__CONTACT_DATE_3_HOLIDAYS': True, 'subset__COST': False, 'subset__RENT_CHANNEL': True, 'subset__ROAM': True, 'subset__VAS': True}"
4,0.5533673301979656,0.5162897845346166,0.5377761353371109,0.5206605348881772,0.4981133107295198,0.5515695067264574,0.5436547042238099,0.5403698228901481,0.5667792300120311,0.5293462211527945,0.5465016013796502,0.4875242944348635,0.5368246199278137,0.5455403040577491,0.47831978319783197,0.5725069119378062,0.5152097232855737,0.5268237996281309,0.5034833429142372,0.5868029892420137,0.5314106420212183,0.5189284151810128,0.4942309271577565,0.5511004352467768,0.5507628787050203,0.5249097670348901,0.520407325285374,0.5359626071008186,0.5539620474680083,0.551132013562288,0.5137622840874874,0.5052763406421944,0.5075262495898502,0.5308090889204856,0.5341969833839753,0.5396786291095235,0.5393470414524772,0.5573662911517008,0.48229585831211846,0.5523322657468999,0.53132343610672,0.024235429127160795,1,0.03231532573699951,0.011617320553548922,0.02123134136199951,0.011881479147347813,0.3972893133963027,True,False,False,False,False,True,False,True,False,False,False,True,True,True,False,True,True,"{'estimator__C': 0.3972893133963027, 'subset__BASE_TYPE': True, 'subset__COM_CAT#1': False, 'subset__COM_CAT#17': False, 'subset__COM_CAT#19': False, 'subset__COM_CAT#20': False, 'subset__COM_CAT#22': True, 'subset__COM_CAT#29': False, 'subset__COM_CAT#31': True, 'subset__COM_CAT#32': False, 'subset__COM_CAT#33': False, 'subset__COM_CAT#7': False, 'subset__CONTACT_DATE_0_HOLIDAYS': True, 'subset__CONTACT_DATE_3_HOLIDAYS': True, 'subset__COST': True, 'subset__RENT_CHANNEL': False, 'subset__ROAM': True, 'subset__VAS': True}"
5,0.5459504538991579,0.5696571147325824,0.5523014699843968,0.5141284114861351,0.5256719621568413,0.5004306573334791,0.5825121129999179,0.5219676439188634,0.5637031062014657,0.584962539647818,0.5244381484218883,0.5184021789712847,0.5493034288526741,0.5314277315979438,0.5269839314554762,0.5635248145410747,0.5270698895329761,0.5829562233402603,0.5408762420957542,0.5373313076565109,0.560900415618506,0.5464528874548835,0.5303543565738688,0.5457351290684624,0.5616899540632178,0.5047816635677568,0.5514973584079275,0.5248521803399853,0.5364794104779613,0.5408475062889643,0.5364450740467,0.51731064027812,0.5125164059936563,0.5390394290714208,0.5546248391776847,0.5645821357203471,0.5867671989500164,0.5589487859564695,0.5542792422873724,0.513327721661055,0.5426276173450099,0.02225663593892588,1,0.0392626166343689,0.008618620513528807,0.01948729157447815,0.006162135695722878,0.29380287142759304,False,True,True,False,True,True,False,False,False,False,False,True,True,False,True,False,False,"{'estimator__C': 0.29380287142759304, 'subset__BASE_TYPE': False, 'subset__COM_CAT#1': True, 'subset__COM_CAT#17': True, 'subset__COM_CAT#19': False, 'subset__COM_CAT#20': True, 'subset__COM_CAT#22': True, 'subset__COM_CAT#29': False, 'subset__COM_CAT#31': False, 'subset__COM_CAT#32': False, 'subset__COM_CAT#33': False, 'subset__COM_CAT#7': False, 'subset__CONTACT_DATE_0_HOLIDAYS': True, 'subset__CONTACT_DATE_3_HOLIDAYS': True, 'subset__COST': False, 'subset__RENT_CHANNEL': True, 'subset__ROAM': False, 'subset__VAS': False}"
6,0.5362709176419118,0.5697083834627583,0.5469053680435794,0.5136870055569243,0.5383353385103358,0.4990498195340698,0.559781418521256,0.5194560783991677,0.5535348080498741,0.5831407907688942,0.5278564780597301,0.5119042730831348,0.5476013070108279,0.5201793721973095,0.5250369549150037,0.5688216856916044,0.5238809745160232,0.5818693262605271,0.5394527935178343,0.5311858421614519,0.5603432954172591,0.540225445696161,0.537006241274534,0.5397641728942543,0.5626059553756972,0.5008339713441977,0.5461217869754456,0.5241507213051928,0.5275039647818003,0.5399212512304495,0.5397812816512003,0.5165167939558184,0.516067620037187,0.5470236793175106,0.5392543319372588,0.5553536722235909,0.5794767855189762,0.549296593021984,0.5581218690974789,0.5119248035914703,0.5397257808299292,0.021089592229661988,1,0.03568630814552307,0.011883753446576587,0.017070436477661134,0.006642604191172634,0.1714583803805369,False,True,False,False,False,False,True,False,False,False,False,False,True,True,False,True,True,"{'estimator__C': 0.1714583803805369, 'subset__BASE_TYPE': False, 'subset__COM_CAT#1': True, 'subset__COM_CAT#17': False, 'subset__COM_CAT#19': False, 'subset__COM_CAT#20': False, 'subset__COM_CAT#22': False, 'subset__COM_CAT#29': True, 'subset__COM_CAT#31': False, 'subset__COM_CAT#32': False, 'subset__COM_CAT#33': False, 'subset__COM_CAT#7': False, 'subset__CONTACT_DATE_0_HOLIDAYS': False, 'subset__CONTACT_DATE_3_HOLIDAYS': True, 'subset__COST': True, 'subset__RENT_CHANNEL': False, 'subset__ROAM': True, 'subset__VAS': True}"
7,0.5505509679536257,0.5757478398775018,0.5527018148969369,0.5138854671374997,0.527110904517117,0.5018730176090999,0.5813076565109085,0.5277640907722209,0.5649335557256917,0.5870132888548616,0.5260737455859408,0.5041197886726343,0.5525675380072186,0.5300776550366401,0.5317812269031781,0.5788645260189975,0.5230435852564803,0.5876626927704255,0.5441542799266377,0.5399592127234404,0.5687684567428635,0.54322979328448,0.5248898196052668,0.5526675973830445,0.5669501257792848,0.5040263042764956,0.5504297719744875,0.5300840382141195,0.5380277261292792,0.5465998578147216,0.5364348087925324,0.5103473762010347,0.5114021655911626,0.548028546428962,0.555014918836057,0.5596137527031837,0.5853248386743958,0.5578174559772503,0.5502039363827982,0.5181831868823739,0.5439830919476754,0.023790277096228638,1,0.04185763597488403,0.01531526166484256,0.01619614362716675,0.006848045310260823,0.12212543829922852,False,True,False,True,True,False,True,True,False,True,False,False,True,True,False,False,True,"{'estimator__C': 0.12212543829922852, 'subset__BASE_TYPE': False, 'subset__COM_CAT#1': True, 'subset__COM_CAT#17': False, 'subset__COM_CAT#19': True, 'subset__COM_CAT#20': True, 'subset__COM_CAT#22': False, 'subset__COM_CAT#29': True, 'subset__COM_CAT#31': True, 'subset__COM_CAT#32': False, 'subset__COM_CAT#33': True, 'subset__COM_CAT#7': False, 'subset__CONTACT_DATE_0_HOLIDAYS': False, 'subset__CONTACT_DATE_3_HOLIDAYS': True, 'subset__COST': True, 'subset__RENT_CHANNEL': False, 'subset__ROAM': False, 'subset__VAS': True}"
8,0.5124822268402056,0.5063846658645959,0.5094269250773316,0.5443732720155484,0.5309013726348026,0.5530733894782894,0.5152610111959706,0.5118255728011826,0.537214262277152,0.536277753472602,0.5488455010812735,0.474928827571104,0.5256412009187357,0.5259966641146231,0.5204381210478771,0.5236100845856942,0.5394324893361042,0.542901673411353,0.5365306178314309,0.5341353918589691,0.5260616045061796,0.5364965000546866,0.49122662943801154,0.5447975691878131,0.5672987531444821,0.5069520398118781,0.5384091593441187,0.5456016807642824,0.5304331182325276,0.5588496664114624,0.5301148339766226,0.515387615997372,0.501924286339276,0.5287002351525758,0.5157229476335168,0.5111138485122225,0.53524554303839,0.5427034343213387,0.5058922558922558,0.5036065259642495,0.526658131263147,0.01868725048259641,1,0.04485502243041992,0.015325082949461602,0.01676982045173645,0.007063680372794859,0.8146216961026963,False,False,True,True,True,True,True,False,True,False,True,True,True,True,True,False,False,"{'estimator__C': 0.8146216961026963, 'subset__BASE_TYPE': False, 'subset__COM_CAT#1': False, 'subset__COM_CAT#17': True, 'subset__COM_CAT#19': True, 'subset__COM_CAT#20': True, 'subset__COM_CAT#22': True, 'subset__COM_CAT#29': True, 'subset__COM_CAT#31': False, 'subset__COM_CAT#32': True, 'subset__COM_CAT#33': False, 'subset__COM_CAT#7': True, 'subset__CONTACT_DATE_0_HOLIDAYS': True, 'subset__CONTACT_DATE_3_HOLIDAYS': True, 'subset__COST': True, 'subset__RENT_CHANNEL': True, 'subset__ROAM': False, 'subset__VAS': False}"
9,0.5126633763534945,0.49599762113091983,0.5103131586871424,0.5307375927294626,0.508367056764738,0.5534869572350433,0.5154765815334921,0.5082224685883223,0.5274526960516241,0.5319643443071203,0.5515965891982152,0.4708295694068052,0.5181422946516461,0.5291240566553648,0.5230934001259204,0.5296118365224055,0.5288574592584491,0.5334443016515367,0.5341867181298076,0.5313398209739673,0.5248790057967844,0.5259761566225528,0.4893891489419945,0.5434528208918452,0.56250683583069,0.517195532101061,0.5137725493416551,0.5466897977060579,0.5176398610959204,0.5497956086623647,0.532164463058772,0.513741753579152,0.5060189489226731,0.5325761511538882,0.520924009745148,0.509180558977307,0.5442517499726567,0.5076766378650334,0.5017793107224001,0.5105561030357778,0.5228785419315526,0.018125387950460828,1,0.04330989122390747,0.009361606618325668,0.022082817554473878,0.006998511663087105,0.010168587136004645,False,False,True,False,True,True,True,False,False,False,True,True,False,True,False,True,False,"{'estimator__C': 0.010168587136004645, 'subset__BASE_TYPE': False, 'subset__COM_CAT#1': False, 'subset__COM_CAT#17': True, 'subset__COM_CAT#19': False, 'subset__COM_CAT#20': True, 'subset__COM_CAT#22': True, 'subset__COM_CAT#29': True, 'subset__COM_CAT#31': False, 'subset__COM_CAT#32': False, 'subset__COM_CAT#33': False, 'subset__COM_CAT#7': True, 'subset__CONTACT_DATE_0_HOLIDAYS': True, 'subset__CONTACT_DATE_3_HOLIDAYS': False, 'subset__COST': True, 'subset__RENT_CHANNEL': False, 'subset__ROAM': True, 'subset__VAS': False}"
