,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,split10_test_score,split11_test_score,split12_test_score,split13_test_score,split14_test_score,split15_test_score,split16_test_score,split17_test_score,split18_test_score,split19_test_score,split20_test_score,split21_test_score,split22_test_score,split23_test_score,split24_test_score,split25_test_score,split26_test_score,split27_test_score,split28_test_score,split29_test_score,split30_test_score,split31_test_score,split32_test_score,split33_test_score,split34_test_score,split35_test_score,split36_test_score,split37_test_score,split38_test_score,split39_test_score,mean_test_score,std_test_score,rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subset__BASE_TYPE,param_subset__COM_CAT#1,param_subset__COM_CAT#17,param_subset__COM_CAT#19,param_subset__COM_CAT#20,param_subset__COM_CAT#22,param_subset__COM_CAT#27,param_subset__COM_CAT#29,param_subset__COM_CAT#31,param_subset__COM_CAT#32,param_subset__COM_CAT#33,param_subset__COM_CAT#7,param_subset__CONTACT_DATE_0_HOLIDAYS,param_subset__CONTACT_DATE_3_HOLIDAYS,param_subset__COST,param_subset__ITC,param_subset__RENT_CHANNEL,param_subset__ROAM,param_subset__VAS,params
0,0.5379867111451383,0.5223121513726348,0.5024499739946895,0.5345391585228983,0.532798315651318,0.5757683473695723,0.5220771399633188,0.5151583586542936,0.581202832768238,0.535669364541179,0.5598053707809806,0.48430784812898636,0.5291958328776113,0.5528546428962048,0.5183953354685062,0.5341901398811969,0.5306655364759926,0.5376039046264902,0.5295365579918425,0.5521132736579892,0.5315268511429508,0.5316157169419229,0.4980564452109168,0.5401097697845665,0.5740525538663459,0.5254156185059609,0.5247529495496975,0.5503271194328105,0.5382669802034343,0.5455197965656787,0.5490268539049026,0.5172250964933891,0.5219225090232965,0.5438176747238325,0.521427007199365,0.5207905614409679,0.5537911517007547,0.5427307776440993,0.5124141140401303,0.5174509320850784,0.5337258151040225,0.019722965383635938,1,0.03053436279296875,0.008294797567381273,0.015499001741409302,0.004087849857718416,True,False,False,True,False,True,True,False,True,False,False,True,True,False,True,False,False,False,True,"{'subset__BASE_TYPE': True, 'subset__COM_CAT#1': False, 'subset__COM_CAT#17': False, 'subset__COM_CAT#19': True, 'subset__COM_CAT#20': False, 'subset__COM_CAT#22': True, 'subset__COM_CAT#27': True, 'subset__COM_CAT#29': False, 'subset__COM_CAT#31': True, 'subset__COM_CAT#32': False, 'subset__COM_CAT#33': False, 'subset__COM_CAT#7': True, 'subset__CONTACT_DATE_0_HOLIDAYS': True, 'subset__CONTACT_DATE_3_HOLIDAYS': False, 'subset__COST': True, 'subset__ITC': False, 'subset__RENT_CHANNEL': False, 'subset__ROAM': False, 'subset__VAS': True}"
1,0.5408509242043092,0.5239493328229246,0.5303304043141441,0.5620431961895376,0.49635992015749747,0.5449319151263261,0.5729928006350771,0.5317093701240043,0.5865757956906923,0.5449421688723614,0.5535812050039692,0.4707029646054036,0.5427717926282402,0.5313320299682818,0.5060838739700528,0.572281076346117,0.5250738269714535,0.5264375751941375,0.5234697927787358,0.5624743368645808,0.5304091928251121,0.5705696981297167,0.5093482247953793,0.5483698776381702,0.5510294761019359,0.5312602537460352,0.5359660288522077,0.5359899811119323,0.5508790878267527,0.5654735863502132,0.5202225507103556,0.5157948044126905,0.5140202887454883,0.5138015421634037,0.5832512112999917,0.5472441214311133,0.54558131904189,0.5500827135513506,0.5058819906380883,0.5374887082204156,0.5377896976623286,0.023960490215935333,1,0.028197431564331056,0.008502297112446171,0.014711391925811768,0.004043514807794872,False,False,True,False,False,True,True,True,False,False,False,False,False,True,False,True,True,False,False,"{'subset__BASE_TYPE': False, 'subset__COM_CAT#1': False, 'subset__COM_CAT#17': True, 'subset__COM_CAT#19': False, 'subset__COM_CAT#20': False, 'subset__COM_CAT#22': True, 'subset__COM_CAT#27': True, 'subset__COM_CAT#29': True, 'subset__COM_CAT#31': False, 'subset__COM_CAT#32': False, 'subset__COM_CAT#33': False, 'subset__COM_CAT#7': False, 'subset__CONTACT_DATE_0_HOLIDAYS': False, 'subset__CONTACT_DATE_3_HOLIDAYS': True, 'subset__COST': False, 'subset__ITC': True, 'subset__RENT_CHANNEL': True, 'subset__ROAM': False, 'subset__VAS': False}"
2,0.5350609756097561,0.5130461828721427,0.5009204511237032,0.5425905395417591,0.535105408509242,0.5751257792846987,0.526775204620733,0.5051736881005173,0.5785026796456305,0.5380413977906595,0.5556684733514002,0.48088609673975524,0.5271997703160888,0.5465178278464399,0.524537379212176,0.5326845692699351,0.5330238980640928,0.5338715410696707,0.52678889162629,0.523220004927322,0.5224727933938531,0.5375423821502789,0.5004448276806001,0.5340053653061784,0.5660136169747347,0.531301268730176,0.5204620733076017,0.5473570392269579,0.5333588537679098,0.5381917860658427,0.5468061372532917,0.5216015165202157,0.5216935086951766,0.5360248277370666,0.5261045413484438,0.5242328433385345,0.5473347096139123,0.5383626818330963,0.5157400563904628,0.5187854151268785,0.5315681319538672,0.018556064783391484,1,0.03848447799682617,0.01262493673087463,0.018928825855255127,0.010727511750948274,True,False,True,True,True,True,True,False,False,False,False,True,True,False,True,True,False,True,False,"{'subset__BASE_TYPE': True, 'subset__COM_CAT#1': False, 'subset__COM_CAT#17': True, 'subset__COM_CAT#19': True, 'subset__COM_CAT#20': True, 'subset__COM_CAT#22': True, 'subset__COM_CAT#27': True, 'subset__COM_CAT#29': False, 'subset__COM_CAT#31': False, 'subset__COM_CAT#32': False, 'subset__COM_CAT#33': False, 'subset__COM_CAT#7': True, 'subset__CONTACT_DATE_0_HOLIDAYS': True, 'subset__CONTACT_DATE_3_HOLIDAYS': False, 'subset__COST': True, 'subset__ITC': True, 'subset__RENT_CHANNEL': False, 'subset__ROAM': True, 'subset__VAS': False}"
3,0.5490197418790331,0.5675995296948485,0.5504913634994936,0.5192028687963647,0.5295820573116045,0.5015004648364869,0.5822178423804439,0.5225288111466972,0.5669330362025593,0.5872388712676364,0.5268367961457392,0.5096972434370809,0.5529503445258667,0.5251695286011157,0.5363766390189155,0.5833333333333334,0.5245543038390025,0.5841593295417259,0.5450884180558977,0.5400310695026143,0.5652069889532976,0.5445251832002626,0.5322876461087843,0.5504468807314336,0.566160587334573,0.5049628130810456,0.5488489228326627,0.5262482549067915,0.5351669309854533,0.5470715301323417,0.5403116531165312,0.5144226821056089,0.5155959477195668,0.5423958219402821,0.5575196408529742,0.5626488461854315,0.5888965602099967,0.5592256370994203,0.5579268292682926,0.5114697106567025,0.544397924253206,0.023389603824139186,1,0.03231624364852905,0.009950725930290854,0.014790266752243042,0.0035811484834516287,False,True,False,False,False,True,False,False,False,True,True,False,False,True,False,True,True,True,False,"{'subset__BASE_TYPE': False, 'subset__COM_CAT#1': True, 'subset__COM_CAT#17': False, 'subset__COM_CAT#19': False, 'subset__COM_CAT#20': False, 'subset__COM_CAT#22': True, 'subset__COM_CAT#27': False, 'subset__COM_CAT#29': False, 'subset__COM_CAT#31': False, 'subset__COM_CAT#32': True, 'subset__COM_CAT#33': True, 'subset__COM_CAT#7': False, 'subset__CONTACT_DATE_0_HOLIDAYS': False, 'subset__CONTACT_DATE_3_HOLIDAYS': True, 'subset__COST': False, 'subset__ITC': True, 'subset__RENT_CHANNEL': True, 'subset__ROAM': True, 'subset__VAS': False}"
4,0.550653505413978,0.5738338072842611,0.55259916235526,0.5129000027374011,0.5269605162419337,0.4999658208465492,0.5808559853275301,0.5271550190249378,0.5639491961063108,0.5873003937438478,0.5260737455859407,0.5052215926199666,0.5510226402712458,0.5291138029093295,0.5324039856560181,0.5774958254633051,0.5229205403040578,0.5862613474789456,0.5437984177821575,0.5394459500150557,0.5647694957891283,0.542060866236465,0.524924037119159,0.5520174646190906,0.5652274964453681,0.503144482117467,0.5499028222605459,0.5288590512167748,0.5369066498960954,0.5463059170950453,0.5363389997536339,0.5103473762010347,0.5114705238980641,0.5463469320791863,0.5543579425693247,0.5609619227505407,0.5859468992671988,0.5576875751941376,0.5514973584079275,0.5181079083518109,0.543429797268087,0.023632014196400482,1,0.027469056844711303,0.009906647482419876,0.01470211148262024,0.006018836784329179,False,True,False,False,False,False,True,False,True,False,False,False,True,True,True,False,True,True,False,"{'subset__BASE_TYPE': False, 'subset__COM_CAT#1': True, 'subset__COM_CAT#17': False, 'subset__COM_CAT#19': False, 'subset__COM_CAT#20': False, 'subset__COM_CAT#22': False, 'subset__COM_CAT#27': True, 'subset__COM_CAT#29': False, 'subset__COM_CAT#31': True, 'subset__COM_CAT#32': False, 'subset__COM_CAT#33': False, 'subset__COM_CAT#7': False, 'subset__CONTACT_DATE_0_HOLIDAYS': True, 'subset__CONTACT_DATE_3_HOLIDAYS': True, 'subset__COST': True, 'subset__ITC': False, 'subset__RENT_CHANNEL': True, 'subset__ROAM': True, 'subset__VAS': False}"
5,0.5408201629662036,0.5187780269058296,0.5229941693356328,0.5646026662286825,0.4966504429618287,0.5494435633818222,0.5718636226766307,0.5269599791957515,0.578571037952532,0.5429324346494586,0.5520995866524322,0.46908447619829735,0.5352523788690802,0.5325283003390572,0.5051428923380143,0.5668678656483535,0.5183644591490758,0.5274390243902438,0.5199488105992172,0.559901179819879,0.5307373126982391,0.5651762277151919,0.5049718047685527,0.5454100626864855,0.5477585311167013,0.5376756808487368,0.5244997399468945,0.5337453122005967,0.5457009460789675,0.5616967898939078,0.5201575374339602,0.5160343270099367,0.513063272448868,0.5101238652521054,0.5803153486080316,0.5426829268292683,0.5396546538335338,0.5534630318276277,0.5074902137910269,0.5435725821904683,0.5356051803929285,0.023520202465226583,1,0.03272537589073181,0.008879622147494031,0.01741388440132141,0.005788778379380918,False,False,True,True,False,True,True,False,False,False,False,False,True,True,False,True,False,False,False,"{'subset__BASE_TYPE': False, 'subset__COM_CAT#1': False, 'subset__COM_CAT#17': True, 'subset__COM_CAT#19': True, 'subset__COM_CAT#20': False, 'subset__COM_CAT#22': True, 'subset__COM_CAT#27': True, 'subset__COM_CAT#29': False, 'subset__COM_CAT#31': False, 'subset__COM_CAT#32': False, 'subset__COM_CAT#33': False, 'subset__COM_CAT#7': False, 'subset__CONTACT_DATE_0_HOLIDAYS': True, 'subset__CONTACT_DATE_3_HOLIDAYS': True, 'subset__COST': False, 'subset__ITC': True, 'subset__RENT_CHANNEL': False, 'subset__ROAM': False, 'subset__VAS': False}"
6,0.49931983484633047,0.5508825057420978,0.5508917084120336,0.5475452355533657,0.5072391447008641,0.5455608115498195,0.5094953601051162,0.5251875119761298,0.5661229902657771,0.5608320573116046,0.5320173277490351,0.48586474501108645,0.5543448539866564,0.5182516679426884,0.5152131066765213,0.5284587063042347,0.542997375041015,0.5507321174669146,0.5158974569543675,0.5181044866004216,0.5340561084983048,0.5702655036640052,0.5259539842873177,0.5371807505953847,0.5344286612709176,0.534206496773488,0.5735676548684678,0.5223200843119542,0.4930240347807065,0.5748284206496774,0.5169513563822506,0.5067716459992884,0.5038930055780378,0.5188292956360057,0.5904129369576524,0.5167836905641783,0.5018285847096139,0.5226129279230012,0.4957296542662396,0.5371910158495524,0.530896442187053,0.024435610132291355,1,0.028308427333831786,0.008516205775278273,0.015912735462188722,0.005182921669645087,False,False,True,False,False,False,False,True,False,False,False,False,False,True,True,False,True,True,False,"{'subset__BASE_TYPE': False, 'subset__COM_CAT#1': False, 'subset__COM_CAT#17': True, 'subset__COM_CAT#19': False, 'subset__COM_CAT#20': False, 'subset__COM_CAT#22': False, 'subset__COM_CAT#27': False, 'subset__COM_CAT#29': True, 'subset__COM_CAT#31': False, 'subset__COM_CAT#32': False, 'subset__COM_CAT#33': False, 'subset__COM_CAT#7': False, 'subset__CONTACT_DATE_0_HOLIDAYS': False, 'subset__CONTACT_DATE_3_HOLIDAYS': True, 'subset__COST': True, 'subset__ITC': False, 'subset__RENT_CHANNEL': True, 'subset__ROAM': True, 'subset__VAS': False}"
7,0.5286079514382588,0.526174395712567,0.5496153951438504,0.5276682817333224,0.48305397571912934,0.5544473914470086,0.5403698228901481,0.5707276012154061,0.5626093732910423,0.5274185168981734,0.5527770934274999,0.486347211956968,0.5416712238871266,0.541869462977141,0.4831102351427555,0.5646779447592456,0.5100418352838237,0.5261128732363557,0.5254578303358791,0.5690509430346828,0.5510568194246965,0.5365306792081374,0.48595028879581725,0.5599969888587775,0.5539141966531773,0.5214440008749864,0.5259642495414854,0.5349360816840492,0.567339768128623,0.5642909876408181,0.4999247214694369,0.4966603706441105,0.5034657661599038,0.5278013234168216,0.5619063261339684,0.5343543839478798,0.5274526960516241,0.5577969484851799,0.4815088554925953,0.5542895075415402,0.5329611347099139,0.02637050880139262,1,0.03005765676498413,0.008357543009436641,0.01539919376373291,0.0062986482846752075,False,False,True,False,True,True,False,True,True,False,True,False,False,True,True,False,False,True,True,"{'subset__BASE_TYPE': False, 'subset__COM_CAT#1': False, 'subset__COM_CAT#17': True, 'subset__COM_CAT#19': False, 'subset__COM_CAT#20': True, 'subset__COM_CAT#22': True, 'subset__COM_CAT#27': False, 'subset__COM_CAT#29': True, 'subset__COM_CAT#31': True, 'subset__COM_CAT#32': False, 'subset__COM_CAT#33': True, 'subset__COM_CAT#7': False, 'subset__CONTACT_DATE_0_HOLIDAYS': False, 'subset__CONTACT_DATE_3_HOLIDAYS': True, 'subset__COST': True, 'subset__ITC': False, 'subset__RENT_CHANNEL': False, 'subset__ROAM': True, 'subset__VAS': True}"
8,0.5225582412774801,0.493704199934376,0.5032403985656018,0.5502929019189182,0.5230059881876846,0.5524855080389368,0.5235519148120774,0.5077913279132792,0.5322651208574867,0.5297426993328229,0.55397812816512,0.47140100188880674,0.514615006015531,0.5234161380290931,0.5142036900166981,0.5429087624209575,0.5233511976375369,0.5320600459367824,0.5349531904409953,0.5124962360734718,0.527162173247293,0.528806190528273,0.49805644521091674,0.5418890805069666,0.5714105053046046,0.519406923329323,0.5147682789959213,0.5409104596096466,0.5343090342338401,0.545205348353932,0.5326879910213242,0.5091052804467437,0.5156369627037077,0.523354615552882,0.5066518847006651,0.5104945115107716,0.5465896040686864,0.5133298698457835,0.508205359831376,0.5066929457173359,0.5239196070932299,0.018700606293214142,1,0.04308584928512573,0.01629624209701518,0.019033747911453246,0.007318169299467865,False,False,False,True,True,True,True,True,False,True,False,True,True,True,True,True,False,False,True,"{'subset__BASE_TYPE': False, 'subset__COM_CAT#1': False, 'subset__COM_CAT#17': False, 'subset__COM_CAT#19': True, 'subset__COM_CAT#20': True, 'subset__COM_CAT#22': True, 'subset__COM_CAT#27': True, 'subset__COM_CAT#29': True, 'subset__COM_CAT#31': False, 'subset__COM_CAT#32': True, 'subset__COM_CAT#33': False, 'subset__COM_CAT#7': True, 'subset__CONTACT_DATE_0_HOLIDAYS': True, 'subset__CONTACT_DATE_3_HOLIDAYS': True, 'subset__COST': True, 'subset__ITC': True, 'subset__RENT_CHANNEL': False, 'subset__ROAM': False, 'subset__VAS': True}"
9,0.532706031937001,0.504371513726348,0.4969820152746982,0.5416495579097205,0.5393880564366182,0.5698451000765612,0.5277059209986039,0.5020290985738141,0.5834108060811549,0.5346269003609319,0.5540157674304016,0.48541307382770793,0.5294487586131468,0.5492282347150825,0.5228470340258958,0.5338137472283814,0.5349891993875096,0.5349994531335447,0.5257521009553531,0.5287700856806548,0.5228761074045718,0.5459026030843268,0.496800662451069,0.5334305110727875,0.570487668161435,0.5229957344416494,0.5334647285866798,0.552540992581643,0.5316293886033031,0.5437458985015858,0.5501628753661274,0.526063480331773,0.5255523351197637,0.539094115716942,0.5209376967507049,0.5198461580575402,0.5501784151810127,0.539801624193372,0.5162670061044045,0.5173756535545154,0.5322824354742615,0.019664850740966057,1,0.034194886684417725,0.011751795527861755,0.01672254204750061,0.006100997217782473,True,False,False,True,False,True,True,True,False,False,False,True,True,False,True,False,True,False,True,"{'subset__BASE_TYPE': True, 'subset__COM_CAT#1': False, 'subset__COM_CAT#17': False, 'subset__COM_CAT#19': True, 'subset__COM_CAT#20': False, 'subset__COM_CAT#22': True, 'subset__COM_CAT#27': True, 'subset__COM_CAT#29': True, 'subset__COM_CAT#31': False, 'subset__COM_CAT#32': False, 'subset__COM_CAT#33': False, 'subset__COM_CAT#7': True, 'subset__CONTACT_DATE_0_HOLIDAYS': True, 'subset__CONTACT_DATE_3_HOLIDAYS': False, 'subset__COST': True, 'subset__ITC': False, 'subset__RENT_CHANNEL': True, 'subset__ROAM': False, 'subset__VAS': True}"
