,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,split10_test_score,split11_test_score,split12_test_score,split13_test_score,split14_test_score,split15_test_score,split16_test_score,split17_test_score,split18_test_score,split19_test_score,split20_test_score,split21_test_score,split22_test_score,split23_test_score,split24_test_score,split25_test_score,split26_test_score,split27_test_score,split28_test_score,split29_test_score,split30_test_score,split31_test_score,split32_test_score,split33_test_score,split34_test_score,split35_test_score,split36_test_score,split37_test_score,split38_test_score,split39_test_score,split40_test_score,split41_test_score,split42_test_score,split43_test_score,split44_test_score,split45_test_score,split46_test_score,split47_test_score,split48_test_score,split49_test_score,mean_test_score,std_test_score,rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subset__ACT,param_subset__BASE_TYPE,param_subset__COM_CAT#1,param_subset__COM_CAT#19,param_subset__COM_CAT#20,param_subset__COM_CAT#21,param_subset__COM_CAT#22,param_subset__COM_CAT#23,param_subset__COM_CAT#25,param_subset__COM_CAT#27,param_subset__COM_CAT#28,param_subset__COM_CAT#31,param_subset__COM_CAT#7,param_subset__ITC,param_subset__RENT_CHANNEL,param_subset__REVENUE,params
0,0.5465593067315979,0.5397128024841662,0.5430385893875764,0.5325277348398835,0.5565537666032858,0.5283375853248157,0.5402582657346484,0.5018980069217406,0.53295179404402,0.5470594572042187,0.5179130815424812,0.5094960193152127,0.543814036359657,0.5322079805206352,0.5526534478749161,0.5027452703719409,0.5218510184260564,0.5367221591453155,0.5529227596678659,0.5056837612683474,0.5230633489733663,0.5334852878814823,0.5115402240674117,0.5134621698151923,0.5355833549922712,0.5316189144084374,0.5299953490280838,0.5540931972696059,0.5248331121841785,0.5176189759654186,0.5084914435796068,0.532809871003926,0.5311769010847708,0.5365460377823073,0.5206027796396865,0.5446621547679302,0.5310879854451938,0.5280708384060846,0.5400214423484673,0.5376438039478545,0.5384337852071734,0.5419151744798435,0.5133818037563438,0.5315496628045361,0.5098285980055538,0.5391844383951411,0.5075980123934722,0.520510444167818,0.5354345922875943,0.5331723732268169,0.530046458421679,0.013970627714953563,1,0.010285158157348633,0.0024559771990359143,0.008094468116760255,0.0016494100437827784,True,False,False,True,False,True,True,False,True,False,False,True,True,False,True,False,"{'subset__ACT': True, 'subset__BASE_TYPE': False, 'subset__COM_CAT#1': False, 'subset__COM_CAT#19': True, 'subset__COM_CAT#20': False, 'subset__COM_CAT#21': True, 'subset__COM_CAT#22': True, 'subset__COM_CAT#23': False, 'subset__COM_CAT#25': True, 'subset__COM_CAT#27': False, 'subset__COM_CAT#28': False, 'subset__COM_CAT#31': True, 'subset__COM_CAT#7': True, 'subset__ITC': False, 'subset__RENT_CHANNEL': True, 'subset__REVENUE': False}"
1,0.5367922657072898,0.5376583382350929,0.5221391392966089,0.543700326935967,0.5858095768983489,0.5217407288346579,0.5417852208527694,0.5557466861825097,0.5502031380381106,0.5306476820376729,0.5594495095960494,0.5335853179760064,0.5403865094455768,0.5462429722446411,0.5280409148735347,0.5204300781089696,0.5401907240468928,0.5765255871852044,0.5593477695853796,0.5258436726262944,0.5348916939113306,0.5355046988495684,0.5305938196790829,0.5416450077288208,0.5248408068068342,0.5401454112690313,0.5391408355334255,0.5395135972531907,0.5114367741405962,0.524925447656047,0.5416937403389738,0.5461113087014212,0.5532929565134126,0.5415654966280453,0.5321575379943367,0.5672698110884643,0.5594973872481294,0.540278784728397,0.5373197748382419,0.5464721010081666,0.5520327483140227,0.559653844575462,0.5453897240879306,0.5410422622874573,0.5663302121663953,0.5535648331805808,0.5377224600905571,0.5396435508802648,0.5420194793647319,0.5677024198733294,0.5429932937088765,0.014662238939248983,1,0.010052366256713867,0.002146730801836091,0.007844252586364746,0.0018732843210340566,False,False,True,False,False,True,True,True,False,False,False,False,False,True,False,True,"{'subset__ACT': False, 'subset__BASE_TYPE': False, 'subset__COM_CAT#1': True, 'subset__COM_CAT#19': False, 'subset__COM_CAT#20': False, 'subset__COM_CAT#21': True, 'subset__COM_CAT#22': True, 'subset__COM_CAT#23': True, 'subset__COM_CAT#25': False, 'subset__COM_CAT#27': False, 'subset__COM_CAT#28': False, 'subset__COM_CAT#31': False, 'subset__COM_CAT#7': False, 'subset__ITC': True, 'subset__RENT_CHANNEL': False, 'subset__REVENUE': True}"
2,0.5584227049505492,0.5427513234750968,0.5340495602095673,0.5409883999288676,0.5810671244682161,0.5378455740530484,0.5517711311437287,0.5509418218130583,0.5571419777574108,0.5419545025511948,0.5570342530402309,0.5369547077411324,0.5504938237828817,0.5542419599742828,0.5444663693692461,0.5273928566543097,0.5376728725223315,0.5641526339548308,0.5521302135343282,0.5177814179992614,0.5478998809898363,0.5382730530894765,0.5355611260823769,0.5502151074511306,0.5439687837708439,0.5500560852495794,0.5469953353487546,0.5530330492592643,0.5085666798900182,0.5235934229785372,0.5446766890551688,0.5469423279482374,0.5604386960863439,0.5453794645910565,0.5387005321259045,0.5739675526312189,0.5627847010382611,0.5507776698630699,0.5505417014349616,0.5656043527625405,0.558709970863029,0.5661788845874999,0.54239908074908,0.5493447601329631,0.5583508884724293,0.5581952861031695,0.5316950056769216,0.5311683515040423,0.5498098573245968,0.5642312900975337,0.5477462963216284,0.01351613445660085,1,0.011843461990356446,0.0027231164782607993,0.009434714317321777,0.0022181466019494077,True,False,True,True,True,True,True,False,False,False,False,True,True,False,True,True,"{'subset__ACT': True, 'subset__BASE_TYPE': False, 'subset__COM_CAT#1': True, 'subset__COM_CAT#19': True, 'subset__COM_CAT#20': True, 'subset__COM_CAT#21': True, 'subset__COM_CAT#22': True, 'subset__COM_CAT#23': False, 'subset__COM_CAT#25': False, 'subset__COM_CAT#27': False, 'subset__COM_CAT#28': False, 'subset__COM_CAT#31': True, 'subset__COM_CAT#7': True, 'subset__ITC': False, 'subset__RENT_CHANNEL': True, 'subset__REVENUE': True}"
3,0.50003590823906,0.5373933012325076,0.5244013583573861,0.5398872139310288,0.5632651874752062,0.5070713582205929,0.5347147175902494,0.5373120802155862,0.5201103237897213,0.5531818119639412,0.5171667031448778,0.5237789488803469,0.5416159391543438,0.5297465562288826,0.5420853111363418,0.49840293831990484,0.5199564313366073,0.552827004363706,0.5491464098600605,0.5208780761391462,0.5161364786670862,0.5220151703760447,0.515715839295241,0.5567281780501485,0.5357252780323652,0.5378404443046113,0.5110349438463537,0.5268807367686689,0.5391895681435782,0.5341897733335157,0.5398453209854588,0.5317471581193658,0.5227410297798996,0.5507135480076056,0.5304356524356046,0.5420092198678577,0.5176959221919757,0.5553482757205587,0.5472142046154056,0.5264455631095851,0.5313615720285078,0.5419963954967648,0.5346488858186396,0.5386372652285132,0.5151840553739244,0.5258761610330629,0.527580947430338,0.545429907117355,0.5325627881208705,0.5410721858200074,0.5321396009739683,0.014262630316252354,1,0.010470542907714844,0.002037483978524529,0.008249216079711914,0.002206529984421437,False,True,False,False,False,True,False,False,False,True,True,False,False,True,False,True,"{'subset__ACT': False, 'subset__BASE_TYPE': True, 'subset__COM_CAT#1': False, 'subset__COM_CAT#19': False, 'subset__COM_CAT#20': False, 'subset__COM_CAT#21': True, 'subset__COM_CAT#22': False, 'subset__COM_CAT#23': False, 'subset__COM_CAT#25': False, 'subset__COM_CAT#27': True, 'subset__COM_CAT#28': True, 'subset__COM_CAT#31': False, 'subset__COM_CAT#7': False, 'subset__ITC': True, 'subset__RENT_CHANNEL': False, 'subset__REVENUE': True}"
4,0.5339768887733746,0.5319916761282026,0.5470945104852059,0.5295969385661328,0.5639482989754183,0.5278040914873534,0.5370196845546694,0.5058393636376072,0.5422571577089859,0.5451460610371667,0.5015808174767109,0.5075270508734252,0.5527209895626718,0.533730660848392,0.5441756836244751,0.49633821457395727,0.5225486642135069,0.5446689944325132,0.5476331340711051,0.5093840198076687,0.5135869936938292,0.5265703869882221,0.5173026414784619,0.5451691449051339,0.5382055114017209,0.5389065770214628,0.517409511237569,0.5529082253806273,0.5216389888239881,0.522340909401803,0.5155636567582726,0.5299252424661094,0.5301757451814563,0.5446365060257445,0.5213500129953628,0.549244730038439,0.5241602601808407,0.5368273189882767,0.5467739012078848,0.5349823194670533,0.5452349766767437,0.5446595898937117,0.5134048876243109,0.5352234176435987,0.5157620070311751,0.527474077671231,0.5077057371106521,0.5263044950275638,0.5342291014048671,0.5385543342954462,0.530824282177202,0.0148849070478005,1,0.010734062194824218,0.0026838896253937716,0.00827505111694336,0.0023379049161603594,False,True,False,False,False,False,True,False,True,False,False,False,True,True,True,False,"{'subset__ACT': False, 'subset__BASE_TYPE': True, 'subset__COM_CAT#1': False, 'subset__COM_CAT#19': False, 'subset__COM_CAT#20': False, 'subset__COM_CAT#21': False, 'subset__COM_CAT#22': True, 'subset__COM_CAT#23': False, 'subset__COM_CAT#25': True, 'subset__COM_CAT#27': False, 'subset__COM_CAT#28': False, 'subset__COM_CAT#31': False, 'subset__COM_CAT#7': True, 'subset__ITC': True, 'subset__RENT_CHANNEL': True, 'subset__REVENUE': False}"
5,0.5570428026209595,0.5429291547542509,0.5333912424934681,0.5404523412171867,0.5803882877583684,0.5377369943777957,0.5503348015813305,0.5525465781158092,0.5569299481553425,0.5413551769421228,0.5573104044977634,0.5368598073950454,0.5515522618770775,0.5517574518145629,0.5448468257116671,0.5273569484152497,0.5357936746781938,0.5645365101295432,0.5528902712610974,0.5182670341846436,0.5471697467956171,0.5379840772608512,0.5365562972791813,0.5545266610125439,0.5444834685307033,0.5504946787409546,0.546011278606897,0.5547327059081022,0.5083982531496656,0.5233882330410518,0.5459890496970028,0.5466490773292478,0.559647859868952,0.5459001340574259,0.5379071310342941,0.5737050805028522,0.561222692639153,0.5508871044963954,0.5508195628086399,0.565352140131048,0.556088669411652,0.5667918895257377,0.5415030846887269,0.5489343802579921,0.5620494370956048,0.558561208158352,0.530403164028836,0.5310845656129023,0.5497782238759011,0.5637679028220456,0.5477013255269962,0.013577319966874769,1,0.012634921073913574,0.004421889515130182,0.00957209587097168,0.0024939671615029527,False,False,True,True,False,True,True,False,False,False,False,False,True,True,False,True,"{'subset__ACT': False, 'subset__BASE_TYPE': False, 'subset__COM_CAT#1': True, 'subset__COM_CAT#19': True, 'subset__COM_CAT#20': False, 'subset__COM_CAT#21': True, 'subset__COM_CAT#22': True, 'subset__COM_CAT#23': False, 'subset__COM_CAT#25': False, 'subset__COM_CAT#27': False, 'subset__COM_CAT#28': False, 'subset__COM_CAT#31': False, 'subset__COM_CAT#7': True, 'subset__ITC': True, 'subset__RENT_CHANNEL': False, 'subset__REVENUE': True}"
6,0.5374129652681833,0.5375010259496874,0.5225418245489242,0.5439200511606911,0.5858437752212631,0.5218142552289236,0.5421571276144618,0.5557877241700067,0.5512085687317894,0.5306570865764743,0.5598829733389874,0.5335083717494493,0.5404608907979153,0.5462036441732897,0.5284273559224656,0.5204890702159966,0.5399607403252944,0.5766931589674843,0.5594170211892809,0.5259026647333215,0.5346685498543151,0.5359954447833878,0.5309640165246297,0.5412825055059299,0.5251896297005595,0.5402582657346483,0.5393844985841894,0.5398513056919689,0.5116111855874588,0.5249570811047426,0.5421844862727933,0.546113018617567,0.5533254449201811,0.5420228991970234,0.5323516134768751,0.5676058096110967,0.5593520443757438,0.5405805849281151,0.5373086603832948,0.5469517324870389,0.5518848405674186,0.5595717686004678,0.5452589155027837,0.5414227186298783,0.5664045935187338,0.5538213206024376,0.5375369341887474,0.5401026633653886,0.542132333830349,0.568078601425386,0.5431592752691408,0.01465740724655093,1,0.010780968666076661,0.002229924388356897,0.008281064033508301,0.0017376213244732323,False,False,True,False,False,False,False,True,False,False,False,False,False,True,True,False,"{'subset__ACT': False, 'subset__BASE_TYPE': False, 'subset__COM_CAT#1': True, 'subset__COM_CAT#19': False, 'subset__COM_CAT#20': False, 'subset__COM_CAT#21': False, 'subset__COM_CAT#22': False, 'subset__COM_CAT#23': True, 'subset__COM_CAT#25': False, 'subset__COM_CAT#27': False, 'subset__COM_CAT#28': False, 'subset__COM_CAT#31': False, 'subset__COM_CAT#7': False, 'subset__ITC': True, 'subset__RENT_CHANNEL': True, 'subset__REVENUE': False}"
7,0.5381764428272438,0.5389493249251056,0.525193049532851,0.5438063417370012,0.5884847407083156,0.5252289577719108,0.5443150417903506,0.5575412431774346,0.5536571686524492,0.5303587062090476,0.5648143715032214,0.5341495903040915,0.5420340136519705,0.5488548691572166,0.5303339124249347,0.520588245352448,0.5442962327127477,0.5761853138722077,0.559481143044745,0.5249707604339083,0.5378746426275255,0.53528668454099,0.5284530046646513,0.5446920783004802,0.5273825971574354,0.5394161320328851,0.5398342065305117,0.5435729381831115,0.5139554806232303,0.5263369834343323,0.5452170225572137,0.5460446219717385,0.5499115973352666,0.5448092075564615,0.5307938798681313,0.5710222220702297,0.5635977661655472,0.5424931261370942,0.5363673515450803,0.551098279140391,0.5528543630220374,0.563973947717604,0.5439226160349097,0.5443321409518077,0.5736614776411365,0.5567478420858242,0.5396298715510991,0.5442757137189991,0.5460437670136656,0.5687429038479953,0.5448752787163318,0.01521868394988614,1,0.0116841459274292,0.00207641826352768,0.009209108352661134,0.0016760736556105577,False,False,True,False,True,True,False,True,True,False,True,False,False,True,True,False,"{'subset__ACT': False, 'subset__BASE_TYPE': False, 'subset__COM_CAT#1': True, 'subset__COM_CAT#19': False, 'subset__COM_CAT#20': True, 'subset__COM_CAT#21': True, 'subset__COM_CAT#22': False, 'subset__COM_CAT#23': True, 'subset__COM_CAT#25': True, 'subset__COM_CAT#27': False, 'subset__COM_CAT#28': True, 'subset__COM_CAT#31': False, 'subset__COM_CAT#7': False, 'subset__ITC': True, 'subset__RENT_CHANNEL': True, 'subset__REVENUE': False}"
8,0.5431086959495506,0.5412927650028042,0.5417800911043322,0.5331313352393199,0.5567760557022283,0.524675799898773,0.5361972148885819,0.5030573300685335,0.5315291438107875,0.5484162756658413,0.5180225161758067,0.5079579497421447,0.5436319302901386,0.5311136341873794,0.5525918908936706,0.5014807873821867,0.5174240455248075,0.5352892494152086,0.546463551427438,0.5055281588990875,0.5227162359957868,0.5330321601028685,0.5103056646102075,0.5346360614475466,0.5347472059970179,0.5297918690067439,0.5260112444085742,0.5568256432704539,0.5217945911932478,0.5178395551482156,0.5091771199540375,0.529696113702584,0.5279810678084347,0.5379567186025197,0.5193494111048794,0.5431326347755906,0.5295507708301985,0.5290309563219019,0.5421904709793031,0.5330201906898486,0.5354585311136342,0.5424127600782458,0.5146078136328195,0.5291096124646046,0.5054135945173248,0.5342342311533042,0.5053383582069135,0.5202094989261727,0.5319549129310699,0.5333809829965939,0.5292074880647853,0.013869310080133887,1,0.011640377044677734,0.002712464099876781,0.009049725532531739,0.0016133505585353407,False,False,False,True,True,True,True,True,False,True,False,True,True,True,True,True,"{'subset__ACT': False, 'subset__BASE_TYPE': False, 'subset__COM_CAT#1': False, 'subset__COM_CAT#19': True, 'subset__COM_CAT#20': True, 'subset__COM_CAT#21': True, 'subset__COM_CAT#22': True, 'subset__COM_CAT#23': True, 'subset__COM_CAT#25': False, 'subset__COM_CAT#27': True, 'subset__COM_CAT#28': False, 'subset__COM_CAT#31': True, 'subset__COM_CAT#7': True, 'subset__ITC': True, 'subset__RENT_CHANNEL': True, 'subset__REVENUE': True}"
9,0.5471834261247828,0.5404805548335909,0.5418775563246379,0.5343419558704842,0.5584449338604435,0.5266131348918649,0.5398684048534259,0.5031718944502961,0.5325533835820692,0.5485428094606241,0.5168751624420338,0.5097670410243083,0.5427718424688452,0.5339520949892617,0.5535408943545409,0.5018997168378863,0.5197221728246447,0.5389724087930727,0.5525696619837763,0.5054563424209677,0.5213397534984885,0.5348532207980521,0.512690997633476,0.5132330410516668,0.5362108942177476,0.5318386386331614,0.5293011230729245,0.5557193275241782,0.5242038630425564,0.5184602547091091,0.5063916665526722,0.5349712050121063,0.5321105153003297,0.5361424975719191,0.5218527283422021,0.543855929305227,0.5310554970384253,0.5278972819172948,0.5417869307689152,0.5362895503604503,0.5390989425878555,0.542358042761583,0.5154285733827614,0.530183439804112,0.5093891495561058,0.5355833549922713,0.506708001039629,0.5192485260522823,0.5336648290767821,0.5356637210511197,0.5301227377809392,0.014267825376431778,1,0.009239201545715331,0.0017906540344935391,0.007409858703613281,0.0014729869727666941,True,False,False,True,False,True,True,True,False,False,False,True,True,False,True,False,"{'subset__ACT': True, 'subset__BASE_TYPE': False, 'subset__COM_CAT#1': False, 'subset__COM_CAT#19': True, 'subset__COM_CAT#20': False, 'subset__COM_CAT#21': True, 'subset__COM_CAT#22': True, 'subset__COM_CAT#23': True, 'subset__COM_CAT#25': False, 'subset__COM_CAT#27': False, 'subset__COM_CAT#28': False, 'subset__COM_CAT#31': True, 'subset__COM_CAT#7': True, 'subset__ITC': False, 'subset__RENT_CHANNEL': True, 'subset__REVENUE': False}"
