,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,split10_test_score,split11_test_score,split12_test_score,split13_test_score,split14_test_score,split15_test_score,split16_test_score,split17_test_score,split18_test_score,split19_test_score,split20_test_score,split21_test_score,split22_test_score,split23_test_score,split24_test_score,split25_test_score,split26_test_score,split27_test_score,split28_test_score,split29_test_score,split30_test_score,split31_test_score,split32_test_score,split33_test_score,split34_test_score,split35_test_score,split36_test_score,split37_test_score,split38_test_score,split39_test_score,split40_test_score,split41_test_score,split42_test_score,split43_test_score,split44_test_score,split45_test_score,split46_test_score,split47_test_score,split48_test_score,split49_test_score,mean_test_score,std_test_score,rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subset__BASE_TYPE,param_subset__COM_CAT#1,param_subset__COM_CAT#17,param_subset__COM_CAT#19,param_subset__COM_CAT#20,param_subset__COM_CAT#21,param_subset__COM_CAT#22,param_subset__COM_CAT#25,param_subset__COM_CAT#27,param_subset__COM_CAT#28,param_subset__COM_CAT#29,param_subset__COM_CAT#30,param_subset__COM_CAT#31,param_subset__COM_CAT#32,param_subset__COM_CAT#33,param_subset__COM_CAT#7,param_subset__COST,param_subset__ITC,param_subset__RENT_CHANNEL,param_subset__REVENUE,param_subset__ROAM,param_subset__VAS,params
0,0.5086521756973038,0.5303116835150403,0.5192690450460309,0.5412722460090557,0.5520583970562084,0.5235369957457287,0.5398735346018632,0.529007017495862,0.5257581768190088,0.5419220141444264,0.5376061857926487,0.5292429859239702,0.5424879963886571,0.5216937061406508,0.4639122197447437,0.49653570988878704,0.5222904668755044,0.5420109297840034,0.5030727193138449,0.5144966690833481,0.5219211249880306,0.5367358384744813,0.5020262506326689,0.4537792566652531,0.5389741187092185,0.5422315089668003,0.5333331053445138,0.5152353528582958,0.5243748546571276,0.5261685566939798,0.5210114495985116,0.5343453757027755,0.5247595857899129,0.5477853166080735,0.5332373500403541,0.5350635404839746,0.5318762567883671,0.5509486614776411,0.535774865600591,0.5320540880675212,0.5329620535408943,0.5412260782731215,0.5363972750776302,0.5357988044266309,0.5035446561700614,0.4630281930974105,0.5324046208773923,0.5394699943914751,0.5399658700737315,0.5426162400995855,0.5258812223848542,0.020733060569514235,1,0.022312922477722166,0.004286665582617225,0.013929147720336914,0.0021128445034542943,True,False,False,True,False,True,True,False,True,False,False,True,True,False,True,False,False,False,True,False,True,True,"{'subset__BASE_TYPE': True, 'subset__COM_CAT#1': False, 'subset__COM_CAT#17': False, 'subset__COM_CAT#19': True, 'subset__COM_CAT#20': False, 'subset__COM_CAT#21': True, 'subset__COM_CAT#22': True, 'subset__COM_CAT#25': False, 'subset__COM_CAT#27': True, 'subset__COM_CAT#28': False, 'subset__COM_CAT#29': False, 'subset__COM_CAT#30': True, 'subset__COM_CAT#31': True, 'subset__COM_CAT#32': False, 'subset__COM_CAT#33': True, 'subset__COM_CAT#7': False, 'subset__COST': False, 'subset__ITC': False, 'subset__RENT_CHANNEL': True, 'subset__REVENUE': False, 'subset__ROAM': True, 'subset__VAS': True}"
1,0.5423084551933574,0.5440867679848981,0.5398538705661874,0.5282640589305501,0.5581525381995267,0.5176215408396372,0.531288045634242,0.500926774550976,0.5326722227541961,0.5381550688754224,0.5218518733841293,0.5096584613490555,0.5398991833440488,0.5334681887200252,0.5299466164179308,0.5127850430214902,0.5083845738204998,0.5016962368165465,0.52000516394676,0.5067900770146232,0.5227632586897938,0.5281999370750858,0.518347400243492,0.5403061433867283,0.5395153071693364,0.5265464481621821,0.5284307757547569,0.5432719929414661,0.5182080420776165,0.4914880374266446,0.5135220168802922,0.5270773771254258,0.5305844151402815,0.533979453647593,0.5215492182263382,0.5405275775275981,0.5306416973311628,0.5335092267075223,0.5452341217186709,0.5281794180813373,0.5329483742117287,0.5345257718561482,0.5145556611903752,0.5214662872932712,0.5162561727972861,0.534437711174644,0.5119352146970713,0.5176318003365115,0.5320045004992955,0.534532611520731,0.5265998146450898,0.013047843971619228,1,0.022239403724670412,0.004868087973890242,0.013896641731262207,0.0032497846701556306,False,False,True,False,False,True,True,True,False,False,False,False,False,True,False,True,True,False,False,True,True,False,"{'subset__BASE_TYPE': False, 'subset__COM_CAT#1': False, 'subset__COM_CAT#17': True, 'subset__COM_CAT#19': False, 'subset__COM_CAT#20': False, 'subset__COM_CAT#21': True, 'subset__COM_CAT#22': True, 'subset__COM_CAT#25': True, 'subset__COM_CAT#27': False, 'subset__COM_CAT#28': False, 'subset__COM_CAT#29': False, 'subset__COM_CAT#30': False, 'subset__COM_CAT#31': False, 'subset__COM_CAT#32': True, 'subset__COM_CAT#33': False, 'subset__COM_CAT#7': True, 'subset__COST': True, 'subset__ITC': False, 'subset__RENT_CHANNEL': False, 'subset__REVENUE': True, 'subset__ROAM': True, 'subset__VAS': False}"
2,0.5490250058137149,0.5279349000725004,0.5516428874328003,0.5188620850033514,0.5645664336620932,0.5293934585447929,0.5391656293175383,0.509661026223274,0.5450562904395169,0.537842154220757,0.5317206544191073,0.5111743020122294,0.5561074784892549,0.5358159035880881,0.515655992230141,0.5104715264763416,0.5219843918854219,0.5202436972490869,0.5236994377795713,0.5126191811553562,0.5359937348672421,0.5402873343091255,0.5166272246009055,0.509874765741488,0.5439277457833467,0.5403369218773512,0.5356346524766425,0.5395691695279263,0.5258043445549431,0.5181610193836095,0.5176771131143729,0.5278117861100091,0.5312572671436193,0.5433480842099503,0.5308554368493769,0.5477836066919278,0.5260368931507599,0.5636396591111172,0.55062206749381,0.5413851004746727,0.5422041503084689,0.5370658522906037,0.539155369820664,0.5358894299823537,0.5121643434605967,0.5135613449516436,0.519031366701777,0.5389433402185957,0.5361168488297333,0.5425683624475056,0.5323195354499816,0.01399742949735934,1,0.027344489097595216,0.00651304843949161,0.015389080047607423,0.003973762997345912,True,False,True,True,True,True,True,False,False,False,False,True,True,False,True,True,False,True,False,False,True,True,"{'subset__BASE_TYPE': True, 'subset__COM_CAT#1': False, 'subset__COM_CAT#17': True, 'subset__COM_CAT#19': True, 'subset__COM_CAT#20': True, 'subset__COM_CAT#21': True, 'subset__COM_CAT#22': True, 'subset__COM_CAT#25': False, 'subset__COM_CAT#27': False, 'subset__COM_CAT#28': False, 'subset__COM_CAT#29': False, 'subset__COM_CAT#30': True, 'subset__COM_CAT#31': True, 'subset__COM_CAT#32': False, 'subset__COM_CAT#33': True, 'subset__COM_CAT#7': True, 'subset__COST': False, 'subset__ITC': True, 'subset__RENT_CHANNEL': False, 'subset__REVENUE': False, 'subset__ROAM': True, 'subset__VAS': True}"
3,0.5541316703828845,0.5336237910892849,0.5266986306991506,0.5262891057822524,0.5822666306444333,0.5363553821320602,0.5526577226652805,0.5513308277362078,0.551466766069792,0.5396743293708877,0.5510623709013309,0.5377994063171142,0.5454880442663093,0.5549849185395948,0.533569928730695,0.5225563588361627,0.5268602177749203,0.5468234887761103,0.5402984487640725,0.5216706222726837,0.5491028069983448,0.5375668577212973,0.5317386085386373,0.5446783989713144,0.5450041379970726,0.5502279318222234,0.5455709751993761,0.5471389683049943,0.5029692693870293,0.5095515915899484,0.5367820062104155,0.5397871838365047,0.5520088094879827,0.5338204314460419,0.5372744620603805,0.5718019438326745,0.5550661395565161,0.5481948415249717,0.5494541947662887,0.5645972121527161,0.5527158598142348,0.5620682461732076,0.5400034882289373,0.5465729860607635,0.5549584148393363,0.5558056782895366,0.53310141170677,0.5265267841265064,0.547253532686757,0.5616869348727138,0.5433727753990945,0.014384610329389449,1,0.029627618789672853,0.007045473543990338,0.015250496864318848,0.004725955975273246,False,True,False,False,False,True,False,False,False,True,True,False,False,True,False,True,True,True,False,True,True,False,"{'subset__BASE_TYPE': False, 'subset__COM_CAT#1': True, 'subset__COM_CAT#17': False, 'subset__COM_CAT#19': False, 'subset__COM_CAT#20': False, 'subset__COM_CAT#21': True, 'subset__COM_CAT#22': False, 'subset__COM_CAT#25': False, 'subset__COM_CAT#27': False, 'subset__COM_CAT#28': True, 'subset__COM_CAT#29': True, 'subset__COM_CAT#30': False, 'subset__COM_CAT#31': False, 'subset__COM_CAT#32': True, 'subset__COM_CAT#33': False, 'subset__COM_CAT#7': True, 'subset__COST': True, 'subset__ITC': True, 'subset__RENT_CHANNEL': False, 'subset__REVENUE': True, 'subset__ROAM': True, 'subset__VAS': False}"
4,0.5416022598251782,0.5339572247376989,0.5218441787614735,0.5432027413375647,0.5908170663310671,0.5225007865614271,0.5521250837858911,0.5563502865819461,0.549678193781377,0.531657387521716,0.5620443073471677,0.5361065893328592,0.5408122785658591,0.5505297320219417,0.5138930686839117,0.5222545586364444,0.543397671778176,0.5720199581412527,0.5562032337934149,0.5257256884122402,0.536903410256761,0.5416056796574696,0.5251597061680096,0.512323365662148,0.5314675868295419,0.5445501552603861,0.5453743348426193,0.5438148913177298,0.5180054170143495,0.52712952956787,0.5326559785508118,0.5448305815082828,0.5543103566201113,0.5404104482716168,0.5380883821457396,0.567348467231167,0.5611175327961917,0.5398530156081146,0.538780898184753,0.5516360477682174,0.5543804631820856,0.56004541537283,0.5493704088751488,0.5460702707139242,0.5473458681586255,0.539791458626869,0.5437499145041927,0.5447091774619373,0.5450716796848283,0.5689985363117793,0.5432324254818544,0.015183261492866657,1,0.02457653045654297,0.0060998529139872325,0.014526658058166504,0.0034506258635641587,False,True,False,False,False,False,True,False,True,False,False,False,True,True,True,False,True,True,False,False,True,True,"{'subset__BASE_TYPE': False, 'subset__COM_CAT#1': True, 'subset__COM_CAT#17': False, 'subset__COM_CAT#19': False, 'subset__COM_CAT#20': False, 'subset__COM_CAT#21': False, 'subset__COM_CAT#22': True, 'subset__COM_CAT#25': False, 'subset__COM_CAT#27': True, 'subset__COM_CAT#28': False, 'subset__COM_CAT#29': False, 'subset__COM_CAT#30': False, 'subset__COM_CAT#31': True, 'subset__COM_CAT#32': True, 'subset__COM_CAT#33': True, 'subset__COM_CAT#7': False, 'subset__COST': True, 'subset__ITC': True, 'subset__RENT_CHANNEL': False, 'subset__REVENUE': False, 'subset__ROAM': True, 'subset__VAS': True}"
5,0.5444903081952861,0.5413440624871757,0.5438268607307498,0.5279229306594804,0.5657958633708603,0.5243167175081734,0.5374984610754688,0.5071115412500171,0.5378883219566912,0.5449519855546283,0.5369205094182181,0.5119574436069655,0.5478468735893192,0.5318369287170157,0.51995130158817,0.5084452758436726,0.5164049355019631,0.517955829446124,0.5363459775932587,0.5072090064703227,0.5314402281712105,0.5354311724553029,0.5123849226433936,0.5050254435522482,0.5406789051064935,0.5329945419476628,0.5318642873753471,0.5441705538760379,0.5222613983010274,0.5107622122211126,0.5163006306170745,0.5311957101623735,0.5325875819049833,0.5394528952300179,0.5242551605269278,0.5449896037098341,0.52827004363706,0.5413440624871757,0.5482777724580387,0.5388527146628729,0.5367221591453155,0.5354192030422829,0.5215466533521196,0.5291455207036647,0.509084784482169,0.5109143947580811,0.5113675225366948,0.5182345457778751,0.5360484521839048,0.5380541838228253,0.5293819679082938,0.013557587264005903,1,0.02473027229309082,0.005032948485379214,0.015224833488464356,0.004187942891917302,False,False,True,True,False,True,True,False,False,False,False,False,True,True,False,True,False,False,False,True,True,False,"{'subset__BASE_TYPE': False, 'subset__COM_CAT#1': False, 'subset__COM_CAT#17': True, 'subset__COM_CAT#19': True, 'subset__COM_CAT#20': False, 'subset__COM_CAT#21': True, 'subset__COM_CAT#22': True, 'subset__COM_CAT#25': False, 'subset__COM_CAT#27': False, 'subset__COM_CAT#28': False, 'subset__COM_CAT#29': False, 'subset__COM_CAT#30': False, 'subset__COM_CAT#31': True, 'subset__COM_CAT#32': True, 'subset__COM_CAT#33': False, 'subset__COM_CAT#7': True, 'subset__COST': False, 'subset__ITC': False, 'subset__RENT_CHANNEL': False, 'subset__REVENUE': True, 'subset__ROAM': True, 'subset__VAS': False}"
6,0.5377882918621671,0.5446168419900688,0.5327252301547132,0.5536691380654692,0.5633660725278031,0.5110110050203138,0.532744894190389,0.543409641191196,0.5269739271986101,0.5504690299987689,0.5516334828939988,0.5330731980903656,0.558115775002394,0.5303441719218089,0.4619458161771747,0.5203420174274653,0.5115692926418888,0.4850852564190253,0.5480306895749832,0.5241252068998536,0.5290865285966376,0.5534827572055867,0.5116197351681873,0.44538613326402476,0.5491814631410477,0.5367118996484412,0.5461155834917856,0.547657072897145,0.5434258853945801,0.5363964201195573,0.5550772540114632,0.5296371215955569,0.5218048506901222,0.5627188692666512,0.5288839035333707,0.5472227541961343,0.5296533657989412,0.5637781623189199,0.5536007414196408,0.528763354445098,0.5275715428915366,0.546968831648496,0.5324764373555121,0.5494653092212358,0.5282067767396688,0.5603993680149926,0.5339597896119175,0.5482418642189787,0.5471295637661928,0.5436302203739929,0.5351858507858774,0.022693305687607006,1,0.020288848876953126,0.005250482791025981,0.013716878890991211,0.00424247379322718,False,False,True,False,False,False,False,True,False,False,False,False,False,True,True,False,True,True,False,False,False,True,"{'subset__BASE_TYPE': False, 'subset__COM_CAT#1': False, 'subset__COM_CAT#17': True, 'subset__COM_CAT#19': False, 'subset__COM_CAT#20': False, 'subset__COM_CAT#21': False, 'subset__COM_CAT#22': False, 'subset__COM_CAT#25': True, 'subset__COM_CAT#27': False, 'subset__COM_CAT#28': False, 'subset__COM_CAT#29': False, 'subset__COM_CAT#30': False, 'subset__COM_CAT#31': False, 'subset__COM_CAT#32': True, 'subset__COM_CAT#33': True, 'subset__COM_CAT#7': False, 'subset__COST': True, 'subset__ITC': True, 'subset__RENT_CHANNEL': False, 'subset__REVENUE': False, 'subset__ROAM': False, 'subset__VAS': True}"
7,0.5341658345074758,0.5495602095673228,0.5249733253081269,0.5544386003310398,0.5590228855176942,0.5158953804905408,0.5359133688083937,0.5467798859143947,0.5256624215148489,0.5518771459447629,0.5557731898827681,0.5319694472183084,0.5455265173795878,0.5236925981149885,0.4904629426972902,0.5226828926309455,0.513095392801937,0.5181088669411652,0.5209695566529418,0.5153935201017742,0.534651450692858,0.5520361681463142,0.5112264544546735,0.4588619824083827,0.5542778682133428,0.5401898690888198,0.5466978099394005,0.5476553629809994,0.5461104537433485,0.5355876297826354,0.5603942382665554,0.5325140555107178,0.521508180238841,0.5099371776808066,0.5328868172304829,0.5445826436671546,0.5360646963872892,0.5580507981888568,0.5506460063198501,0.534687358931918,0.5197820198897446,0.5467200388492948,0.5363246036414375,0.5439730585612081,0.5159466779749121,0.5516651163426946,0.5387997072623558,0.5486419845970754,0.5511435919182524,0.5430180703938279,0.5348109174726072,0.018829884566060776,1,0.022714157104492188,0.006930620099789302,0.014882769584655762,0.004720864208138019,False,False,True,False,True,True,False,True,True,False,True,False,False,True,True,False,False,True,True,False,False,True,"{'subset__BASE_TYPE': False, 'subset__COM_CAT#1': False, 'subset__COM_CAT#17': True, 'subset__COM_CAT#19': False, 'subset__COM_CAT#20': True, 'subset__COM_CAT#21': True, 'subset__COM_CAT#22': False, 'subset__COM_CAT#25': True, 'subset__COM_CAT#27': True, 'subset__COM_CAT#28': False, 'subset__COM_CAT#29': True, 'subset__COM_CAT#30': False, 'subset__COM_CAT#31': False, 'subset__COM_CAT#32': True, 'subset__COM_CAT#33': True, 'subset__COM_CAT#7': False, 'subset__COST': False, 'subset__ITC': True, 'subset__RENT_CHANNEL': True, 'subset__REVENUE': False, 'subset__ROAM': False, 'subset__VAS': True}"
8,0.553445139050381,0.5352772800021888,0.5470073047617745,0.5285761186271425,0.5617262629440652,0.5232463100009576,0.52945843535833,0.5075407302025909,0.5356791102964311,0.5461010492045469,0.5337879430392733,0.511401720859609,0.5456667305035361,0.5240841689123565,0.5241200771514165,0.5106835560784099,0.5189510006429285,0.5183610795726578,0.5345539854725524,0.5052631218965021,0.5274783524615954,0.533333105344514,0.5085991682967866,0.4978985130569197,0.5407849199075278,0.5323054457409409,0.5348925488694034,0.5422315089668004,0.5241149474029794,0.5081032926145301,0.5136912985787176,0.5254623613258006,0.5287744689000451,0.5353986840485343,0.5223793825150814,0.5419425331381749,0.529220757014076,0.5453606555134536,0.5457556461431131,0.5334750283846081,0.538466273613942,0.5323139953216695,0.5204420475219895,0.5266216844725935,0.510398000082076,0.5087564805821922,0.5139443661682831,0.5255119488940263,0.538680013132156,0.5393332010998181,0.5284120350738,0.013649475236507388,1,0.028715391159057618,0.006953428983694792,0.01602433204650879,0.003876832095595802,False,False,False,True,True,True,True,True,False,True,False,True,True,True,True,True,False,False,True,False,True,True,"{'subset__BASE_TYPE': False, 'subset__COM_CAT#1': False, 'subset__COM_CAT#17': False, 'subset__COM_CAT#19': True, 'subset__COM_CAT#20': True, 'subset__COM_CAT#21': True, 'subset__COM_CAT#22': True, 'subset__COM_CAT#25': True, 'subset__COM_CAT#27': False, 'subset__COM_CAT#28': True, 'subset__COM_CAT#29': False, 'subset__COM_CAT#30': True, 'subset__COM_CAT#31': True, 'subset__COM_CAT#32': True, 'subset__COM_CAT#33': True, 'subset__COM_CAT#7': True, 'subset__COST': False, 'subset__ITC': False, 'subset__RENT_CHANNEL': True, 'subset__REVENUE': False, 'subset__ROAM': True, 'subset__VAS': True}"
9,0.5205429325745866,0.5403933491101596,0.5248570510102184,0.5568598415933683,0.5613859896310686,0.5201496518610728,0.5466157339644063,0.5359013993953736,0.5307032543124085,0.5534519787149639,0.5480247048684733,0.5297525409353926,0.5467935652435604,0.5306605064087657,0.4638489528473523,0.5039430666320124,0.5251939044909238,0.5398598552726974,0.5082435057384787,0.5119403444455084,0.524539006607116,0.545150335827531,0.5037720750174411,0.45533186052555985,0.5469064197091775,0.5485428094606241,0.5354875996881112,0.5225914121171498,0.5385021818530019,0.5325910017372748,0.52475274612533,0.5446288114030888,0.531936103853467,0.5612372269263916,0.5305134536202344,0.5359355977182878,0.5373343091254804,0.5574104345922876,0.5368367235270782,0.5424572178980342,0.5380695730681367,0.552422609195245,0.542994131567788,0.5421887610631575,0.5119146957033227,0.5318882262013871,0.5389057220633899,0.543272847899539,0.5411115138913588,0.5510751952724239,0.5329884546461842,0.020319141479978434,1,0.023826169967651366,0.005973915632928733,0.014794812202453614,0.002550633581212052,True,False,False,True,False,True,True,True,False,False,False,True,True,False,True,False,True,False,True,True,True,True,"{'subset__BASE_TYPE': True, 'subset__COM_CAT#1': False, 'subset__COM_CAT#17': False, 'subset__COM_CAT#19': True, 'subset__COM_CAT#20': False, 'subset__COM_CAT#21': True, 'subset__COM_CAT#22': True, 'subset__COM_CAT#25': True, 'subset__COM_CAT#27': False, 'subset__COM_CAT#28': False, 'subset__COM_CAT#29': False, 'subset__COM_CAT#30': True, 'subset__COM_CAT#31': True, 'subset__COM_CAT#32': False, 'subset__COM_CAT#33': True, 'subset__COM_CAT#7': False, 'subset__COST': True, 'subset__ITC': False, 'subset__RENT_CHANNEL': True, 'subset__REVENUE': True, 'subset__ROAM': True, 'subset__VAS': True}"
