,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,split10_test_score,split11_test_score,split12_test_score,split13_test_score,split14_test_score,split15_test_score,split16_test_score,split17_test_score,split18_test_score,split19_test_score,split20_test_score,split21_test_score,split22_test_score,split23_test_score,split24_test_score,split25_test_score,split26_test_score,split27_test_score,split28_test_score,split29_test_score,split30_test_score,split31_test_score,split32_test_score,split33_test_score,split34_test_score,split35_test_score,split36_test_score,split37_test_score,split38_test_score,split39_test_score,split40_test_score,split41_test_score,split42_test_score,split43_test_score,split44_test_score,split45_test_score,split46_test_score,split47_test_score,split48_test_score,split49_test_score,mean_test_score,std_test_score,rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subset__BASE_TYPE,param_subset__COM_CAT#1,param_subset__COM_CAT#17,param_subset__COM_CAT#18,param_subset__COM_CAT#19,param_subset__COM_CAT#20,param_subset__COM_CAT#21,param_subset__COM_CAT#22,param_subset__COM_CAT#25,param_subset__COM_CAT#26,param_subset__COM_CAT#27,param_subset__COM_CAT#28,param_subset__COM_CAT#29,param_subset__COM_CAT#30,param_subset__COM_CAT#31,param_subset__COM_CAT#32,param_subset__COM_CAT#33,param_subset__COM_CAT#7,param_subset__COST,param_subset__ITC,param_subset__RENT_CHANNEL,param_subset__REVENUE,param_subset__ROAM,param_subset__VAS,params
0,0.5447118241235889,0.5085703885314176,0.5608063980814321,0.5117715705063006,0.5408712782244681,0.5129339614633732,0.5662451955504642,0.5259359977730909,0.5574553279873238,0.49856000342601414,0.588924963924964,0.5499180968491376,0.55111720180294,0.5313105574767406,0.46701926062332044,0.5621445547916136,0.517842039334925,0.5191910324079526,0.513848591586994,0.5545646285451217,0.537857567269332,0.5475412995299938,0.4911298352301318,0.5330021519651402,0.5894885603246148,0.5018568033273916,0.5649604402428188,0.5370170123015321,0.49838870271832814,0.5252400886481162,0.5545263559969442,0.5054976820872992,0.5719944755521771,0.503142297356616,0.5539008383028382,0.5496456158220865,0.5509459010952539,0.5535368242990054,0.4975857306510498,0.5349614038092996,0.5011883541295307,0.5046197659604081,0.5457533483935205,0.571908825198334,0.5254542145327237,0.5754498769204652,0.5420489705898097,0.49721101035298654,0.5300043895806344,0.5199404730040791,0.5339950654808009,0.027277679153144815,1,0.041887826919555664,0.005334661769570048,0.01843820571899414,0.0022777976583998765,True,False,False,True,False,True,True,False,True,False,False,True,True,False,True,False,False,False,True,False,True,True,False,False,"{'subset__BASE_TYPE': True, 'subset__COM_CAT#1': False, 'subset__COM_CAT#17': False, 'subset__COM_CAT#18': True, 'subset__COM_CAT#19': False, 'subset__COM_CAT#20': True, 'subset__COM_CAT#21': True, 'subset__COM_CAT#22': False, 'subset__COM_CAT#25': True, 'subset__COM_CAT#26': False, 'subset__COM_CAT#27': False, 'subset__COM_CAT#28': True, 'subset__COM_CAT#29': True, 'subset__COM_CAT#30': False, 'subset__COM_CAT#31': True, 'subset__COM_CAT#32': False, 'subset__COM_CAT#33': False, 'subset__COM_CAT#7': False, 'subset__COST': True, 'subset__ITC': False, 'subset__RENT_CHANNEL': True, 'subset__REVENUE': True, 'subset__ROAM': False, 'subset__VAS': False}"
1,0.55193213649096,0.543387257368607,0.5429161804224704,0.5463100756935002,0.5649497339485884,0.5361493082081317,0.5692911362590067,0.5470273974069355,0.5938620815177242,0.5343511450381679,0.5825481707834649,0.5592058070939905,0.5769514897808422,0.5454053938310333,0.5014078776912947,0.5547597827009592,0.5194801023521729,0.5490776527520529,0.5393028061197177,0.6035994561202531,0.5373535777947542,0.5668126291446742,0.5545699816922368,0.5597036497757031,0.5680599124225132,0.5430513114336644,0.589804396004411,0.5786698500048179,0.5212627003415308,0.5385105403466699,0.5817046515575928,0.5267817950172906,0.5802490284037987,0.514667623095618,0.5633652024024924,0.5790414650708768,0.5329539736411036,0.5451645022108498,0.5159684378446089,0.5368778304765371,0.5335763093116035,0.5053049687911523,0.5659721850475895,0.6143699881160134,0.5398060019485456,0.5564468211527036,0.5533226984143979,0.5130188537841397,0.5615986638544801,0.560404912047793,0.552007918170847,0.024563095185161067,1,0.04189707279205322,0.009903529154589984,0.018794755935668945,0.006200500499882532,False,False,True,False,False,True,True,True,False,False,False,False,False,True,False,True,True,False,False,True,True,False,True,True,"{'subset__BASE_TYPE': False, 'subset__COM_CAT#1': False, 'subset__COM_CAT#17': True, 'subset__COM_CAT#18': False, 'subset__COM_CAT#19': False, 'subset__COM_CAT#20': True, 'subset__COM_CAT#21': True, 'subset__COM_CAT#22': True, 'subset__COM_CAT#25': False, 'subset__COM_CAT#26': False, 'subset__COM_CAT#27': False, 'subset__COM_CAT#28': False, 'subset__COM_CAT#29': False, 'subset__COM_CAT#30': True, 'subset__COM_CAT#31': False, 'subset__COM_CAT#32': True, 'subset__COM_CAT#33': True, 'subset__COM_CAT#7': False, 'subset__COST': False, 'subset__ITC': True, 'subset__RENT_CHANNEL': True, 'subset__REVENUE': False, 'subset__ROAM': True, 'subset__VAS': True}"
2,0.5345895934131228,0.5374987955418992,0.5578942860507692,0.49133325482050905,0.5613952442641028,0.5399796282149223,0.5420917957667313,0.5327023757266898,0.548740404483796,0.5003800734451784,0.5810733384262796,0.557658747577701,0.5530229221759472,0.5129278502831816,0.48404226844962156,0.5438948306595366,0.5660846011370084,0.5158720811965354,0.5087202766506429,0.5361283898804107,0.5510249554367201,0.5454321595666092,0.5300900399344775,0.516482339967667,0.5625622303352141,0.5187590187590188,0.522884703917433,0.5624230485102192,0.483603310386176,0.5416100125263643,0.5882883456412867,0.4896309540378789,0.5535903557701572,0.5162468014945987,0.5427234671263236,0.5428656311009252,0.5522520689913601,0.5608492232583535,0.5065468989218762,0.5274669978480349,0.4843285799168152,0.5235699067481772,0.5406250334571695,0.5030673532970033,0.5191267946425703,0.546865715983363,0.5345759772170058,0.4975214928856675,0.523109536096271,0.5059901716218965,0.532008166200871,0.025189689275007917,1,0.05748377799987793,0.008346454060579397,0.021597309112548826,0.005607183185400986,True,False,True,True,True,True,True,False,False,False,False,True,True,False,True,True,False,True,False,False,True,True,False,False,"{'subset__BASE_TYPE': True, 'subset__COM_CAT#1': False, 'subset__COM_CAT#17': True, 'subset__COM_CAT#18': True, 'subset__COM_CAT#19': True, 'subset__COM_CAT#20': True, 'subset__COM_CAT#21': True, 'subset__COM_CAT#22': False, 'subset__COM_CAT#25': False, 'subset__COM_CAT#26': False, 'subset__COM_CAT#27': False, 'subset__COM_CAT#28': True, 'subset__COM_CAT#29': True, 'subset__COM_CAT#30': False, 'subset__COM_CAT#31': True, 'subset__COM_CAT#32': True, 'subset__COM_CAT#33': False, 'subset__COM_CAT#7': True, 'subset__COST': False, 'subset__ITC': False, 'subset__RENT_CHANNEL': True, 'subset__REVENUE': True, 'subset__ROAM': False, 'subset__VAS': False}"
3,0.5708927510398099,0.5630654261640419,0.5894189694121175,0.5043842274873398,0.5249188998212049,0.5930735930735932,0.5352397674592894,0.5242229906962304,0.5733113497425136,0.5245709452587176,0.5640331890331891,0.5813838955922186,0.5961264627474492,0.5268888579595945,0.500112416089419,0.556786350903998,0.5508763101827564,0.5510529640375577,0.5384088305514813,0.60096570773958,0.4969442322383499,0.5953609627099772,0.5524501354346221,0.562562230335214,0.536647645150584,0.5628660555131143,0.5160755007869127,0.5604156183420232,0.5226919906212862,0.5618877337987003,0.595747389865037,0.4968255837606929,0.5190143785531514,0.5682900977484664,0.5753723113818614,0.5635557253204312,0.5589863280622679,0.5861696091131976,0.5259092320375148,0.5252722075308074,0.5136130209659621,0.5422202712974957,0.5759343918289562,0.567546010299455,0.559275398006488,0.5783942364824718,0.5753455456462855,0.5317388092459557,0.5343404387439376,0.5042075736325385,0.5507120992349877,0.028849419490795246,1,0.06393085479736328,0.01286760437360672,0.0192015266418457,0.003620936836998131,False,True,False,False,False,True,False,False,False,True,True,False,False,True,False,True,True,True,False,True,True,False,True,True,"{'subset__BASE_TYPE': False, 'subset__COM_CAT#1': True, 'subset__COM_CAT#17': False, 'subset__COM_CAT#18': False, 'subset__COM_CAT#19': False, 'subset__COM_CAT#20': True, 'subset__COM_CAT#21': False, 'subset__COM_CAT#22': False, 'subset__COM_CAT#25': False, 'subset__COM_CAT#26': True, 'subset__COM_CAT#27': True, 'subset__COM_CAT#28': False, 'subset__COM_CAT#29': False, 'subset__COM_CAT#30': True, 'subset__COM_CAT#31': False, 'subset__COM_CAT#32': True, 'subset__COM_CAT#33': True, 'subset__COM_CAT#7': True, 'subset__COST': False, 'subset__ITC': True, 'subset__RENT_CHANNEL': True, 'subset__REVENUE': False, 'subset__ROAM': True, 'subset__VAS': True}"
4,0.5731049995755878,0.5709024335406786,0.5937496654283052,0.5090200528890936,0.5317602218344164,0.5923308717426365,0.5348971660439172,0.5349292849266084,0.5675299508581094,0.5301649839940902,0.5732217129275953,0.5916833506418423,0.6008586447972764,0.5273706411999615,0.49572283545496393,0.5631419234360411,0.5444578867916449,0.5588471462372729,0.5360213269381069,0.5935783647206192,0.5002334267040149,0.5995417706069398,0.5471130477607785,0.5658918878408616,0.5468560966992495,0.5638952550717257,0.5141269552369838,0.5576801601661616,0.5197691722963931,0.5739216085136452,0.5990684152448859,0.49873130413370026,0.5225956339732128,0.568846825048446,0.5813089515326059,0.5629827688651219,0.5775296296692827,0.5904521268053489,0.5236662633962507,0.5244799417577594,0.4990450725744843,0.5384088305514813,0.5730543986809846,0.5738894896309541,0.5494791387856921,0.5812431033019269,0.5667376850850615,0.5437512713724398,0.5361926276457929,0.5070072695737824,0.5526197614204852,0.029876634139026602,1,0.06503314971923828,0.014853512914180581,0.019261021614074707,0.0033834784820194535,False,True,False,False,False,False,True,False,True,False,False,False,True,True,True,False,True,True,False,False,True,True,False,False,"{'subset__BASE_TYPE': False, 'subset__COM_CAT#1': True, 'subset__COM_CAT#17': False, 'subset__COM_CAT#18': False, 'subset__COM_CAT#19': False, 'subset__COM_CAT#20': False, 'subset__COM_CAT#21': True, 'subset__COM_CAT#22': False, 'subset__COM_CAT#25': True, 'subset__COM_CAT#26': False, 'subset__COM_CAT#27': False, 'subset__COM_CAT#28': False, 'subset__COM_CAT#29': True, 'subset__COM_CAT#30': True, 'subset__COM_CAT#31': True, 'subset__COM_CAT#32': False, 'subset__COM_CAT#33': True, 'subset__COM_CAT#7': True, 'subset__COST': False, 'subset__ITC': False, 'subset__RENT_CHANNEL': True, 'subset__REVENUE': True, 'subset__ROAM': False, 'subset__VAS': False}"
5,0.5462078770902301,0.5414012397888719,0.5520218836654069,0.5400415404216139,0.5442598203483828,0.5347593582887701,0.5606511568150916,0.5407909810177404,0.5527766774086486,0.5355288374035094,0.5786913250148544,0.5580977056411465,0.5715287517531557,0.541063991520615,0.46967977473956934,0.5480540701128936,0.5097801997794503,0.5354431870496664,0.5293566587796965,0.589151312056358,0.5314171122994653,0.5630386604284658,0.5417759600869352,0.5507692472404526,0.5551695341691381,0.5407223495458788,0.5807522242326264,0.5608652826996992,0.5180026337483807,0.5396454075350898,0.5637520159578984,0.5260323544211641,0.5752010106741754,0.5009689196278493,0.5560849223258353,0.577481750275868,0.5364067535304006,0.5402396068648759,0.5158827874907659,0.5225313962078306,0.5281120023767083,0.49811033906833824,0.5605815659025941,0.6470563044013576,0.538060875988994,0.5500435022493846,0.5294583685748853,0.5060222905045877,0.5524126634048157,0.5483549778915024,0.5446872652978276,0.02684068956433071,1,0.04159381866455078,0.010940372280441169,0.01940772533416748,0.007061026660839058,False,False,True,True,False,True,True,False,False,False,False,False,True,True,False,True,False,False,False,True,True,False,False,False,"{'subset__BASE_TYPE': False, 'subset__COM_CAT#1': False, 'subset__COM_CAT#17': True, 'subset__COM_CAT#18': True, 'subset__COM_CAT#19': False, 'subset__COM_CAT#20': True, 'subset__COM_CAT#21': True, 'subset__COM_CAT#22': False, 'subset__COM_CAT#25': False, 'subset__COM_CAT#26': False, 'subset__COM_CAT#27': False, 'subset__COM_CAT#28': False, 'subset__COM_CAT#29': True, 'subset__COM_CAT#30': True, 'subset__COM_CAT#31': False, 'subset__COM_CAT#32': True, 'subset__COM_CAT#33': False, 'subset__COM_CAT#7': False, 'subset__COST': False, 'subset__ITC': True, 'subset__RENT_CHANNEL': True, 'subset__REVENUE': False, 'subset__ROAM': False, 'subset__VAS': False}"
6,0.5307062218826925,0.5452394462704624,0.5535903557701574,0.5095232487179213,0.565335160540882,0.5381758764111705,0.5341905506247123,0.5498324464952946,0.5444685930858753,0.5228097598578204,0.5804261098378745,0.5444792993801055,0.5784503709730952,0.5141590741196749,0.4981745768337206,0.5294435956200662,0.5596822371872423,0.5269209768422856,0.5151440531888697,0.551598985043307,0.5506642050759698,0.5384837746110939,0.5435906769589842,0.536931361947689,0.5419847328244275,0.5457622442916561,0.5113968502082374,0.5647784332409023,0.4788068905709667,0.5722942517906278,0.6031215516509634,0.4965043949337816,0.5542541460124407,0.5202188366540689,0.5512670899221652,0.5530833545539429,0.5721229510829416,0.540271725747567,0.5148549832446495,0.5167285847349657,0.48021178168236994,0.5338158303266489,0.5348543408669957,0.5488153485434086,0.513591640525465,0.5342288430523725,0.5496932646702998,0.5042022204854233,0.5224778647366787,0.5189662002291147,0.5368102697410232,0.024792133351201163,1,0.049424238204956054,0.01193918303243092,0.017799491882324218,0.003154091942444614,False,False,True,False,False,False,False,True,False,False,False,False,False,True,True,False,True,True,False,False,False,True,True,False,"{'subset__BASE_TYPE': False, 'subset__COM_CAT#1': False, 'subset__COM_CAT#17': True, 'subset__COM_CAT#18': False, 'subset__COM_CAT#19': False, 'subset__COM_CAT#20': False, 'subset__COM_CAT#21': False, 'subset__COM_CAT#22': True, 'subset__COM_CAT#25': False, 'subset__COM_CAT#26': False, 'subset__COM_CAT#27': False, 'subset__COM_CAT#28': False, 'subset__COM_CAT#29': False, 'subset__COM_CAT#30': True, 'subset__COM_CAT#31': True, 'subset__COM_CAT#32': False, 'subset__COM_CAT#33': True, 'subset__COM_CAT#7': True, 'subset__COST': False, 'subset__ITC': False, 'subset__RENT_CHANNEL': False, 'subset__REVENUE': True, 'subset__ROAM': True, 'subset__VAS': False}"
7,0.5357673372379255,0.5447576630300954,0.545539222508913,0.5131526824620194,0.562305279273685,0.5421653509888804,0.5352183548708286,0.5519951179298309,0.540014774686038,0.5223493892059142,0.5810839487310075,0.5405500893975568,0.5787287346230849,0.5157436056657709,0.4955943599241994,0.527926322043969,0.5555389013200861,0.5236662633962507,0.5148549832446495,0.5483014464203505,0.5505368814192344,0.539875592861043,0.5337194736785758,0.53355887926512,0.5416421314090554,0.543364315423139,0.508184961939124,0.5640075800563151,0.4777897926190808,0.5677012515657955,0.603429250488074,0.49505904521268057,0.5485905163645708,0.5172638994464845,0.5527017333490359,0.5509400729988965,0.5702172307099344,0.5387942571437748,0.5136558782908472,0.5195443401175551,0.47554324760207106,0.5197370534137019,0.5357857884650385,0.5458068798646725,0.5117929830947614,0.5350564468211527,0.546898921876171,0.5041379827200411,0.5236448508077899,0.5207541513655879,0.5353041810940603,0.024724492428635995,1,0.05700377464294434,0.016200581409244696,0.019302482604980468,0.003409005523454722,False,False,True,False,True,True,False,True,True,False,True,False,False,True,True,False,False,True,True,False,False,True,True,True,"{'subset__BASE_TYPE': False, 'subset__COM_CAT#1': False, 'subset__COM_CAT#17': True, 'subset__COM_CAT#18': False, 'subset__COM_CAT#19': True, 'subset__COM_CAT#20': True, 'subset__COM_CAT#21': False, 'subset__COM_CAT#22': True, 'subset__COM_CAT#25': True, 'subset__COM_CAT#26': False, 'subset__COM_CAT#27': True, 'subset__COM_CAT#28': False, 'subset__COM_CAT#29': False, 'subset__COM_CAT#30': True, 'subset__COM_CAT#31': True, 'subset__COM_CAT#32': False, 'subset__COM_CAT#33': False, 'subset__COM_CAT#7': True, 'subset__COST': True, 'subset__ITC': False, 'subset__RENT_CHANNEL': False, 'subset__REVENUE': True, 'subset__ROAM': True, 'subset__VAS': True}"
8,0.5323295985060691,0.512403241865893,0.5643501814716871,0.5245227669346809,0.5280558440307056,0.5021538918597742,0.558793614766121,0.5265141376615312,0.5339335995631832,0.5370598374784536,0.6028881249469485,0.5319101099536417,0.5634615590505657,0.5213644101367194,0.48114086271318907,0.5452105084458025,0.505722514266137,0.5215892423155574,0.5200903611233044,0.5799278395768872,0.5227484933367286,0.5416956628802073,0.5218568996713168,0.5608278106698928,0.5450788518570067,0.5485633647398354,0.545367921801227,0.5270173334903591,0.506910912925709,0.5339657184458744,0.57703081232493,0.5026069826450971,0.5788786227423102,0.4888922197359828,0.5490294744280162,0.5786435786435786,0.5526589081721144,0.5382161172553344,0.4959904928107235,0.5170925987387985,0.5049231813937697,0.5094483046583086,0.5389334389687698,0.5959444557455328,0.5170176546791859,0.5581444699091759,0.5402396068648758,0.49494127597614634,0.5385373060822457,0.5240088648116228,0.5349784939876974,0.027015826768178937,1,0.047891459465026855,0.011883059263975202,0.02057804584503174,0.004500468013536459,False,False,False,True,True,True,True,True,False,True,False,True,True,True,True,True,False,False,True,False,True,True,True,True,"{'subset__BASE_TYPE': False, 'subset__COM_CAT#1': False, 'subset__COM_CAT#17': False, 'subset__COM_CAT#18': True, 'subset__COM_CAT#19': True, 'subset__COM_CAT#20': True, 'subset__COM_CAT#21': True, 'subset__COM_CAT#22': True, 'subset__COM_CAT#25': False, 'subset__COM_CAT#26': True, 'subset__COM_CAT#27': False, 'subset__COM_CAT#28': True, 'subset__COM_CAT#29': True, 'subset__COM_CAT#30': True, 'subset__COM_CAT#31': True, 'subset__COM_CAT#32': True, 'subset__COM_CAT#33': False, 'subset__COM_CAT#7': False, 'subset__COST': True, 'subset__ITC': False, 'subset__RENT_CHANNEL': True, 'subset__REVENUE': True, 'subset__ROAM': True, 'subset__VAS': True}"
9,0.5382501485442662,0.509801612367911,0.5604423840775992,0.5112790809717032,0.5465670267550293,0.510557253204312,0.5658490626639401,0.5218997248482382,0.5669518109696691,0.49388135284733886,0.5977739580680758,0.5469952785242445,0.5481836771838163,0.5290729419825915,0.4654133164887637,0.5627917833800187,0.520304487007912,0.5119107523312955,0.5175636756849351,0.5591683350641842,0.5373694932518462,0.5420917957667313,0.4962367375780221,0.5364388724130917,0.5927004485937283,0.5009549274255156,0.5714163356637367,0.5375095018361294,0.4979283320664219,0.5244478228750683,0.5541125541125541,0.5086239200025695,0.5721443636714024,0.5078851857006734,0.5479588450049784,0.5533804430863254,0.543440788839759,0.5587614958834299,0.49790691947796106,0.5314390330075051,0.5068012053306171,0.501472115456677,0.5489009988972517,0.5704420628887723,0.5260644733038553,0.5724789915966386,0.5461387749858141,0.4941597164973288,0.5308823057075255,0.5218461933770864,0.5343361643128267,0.02805598172987431,1,0.049748473167419434,0.00998845310730922,0.019174895286560058,0.003944839877344398,True,False,False,True,False,True,True,True,False,False,False,True,True,False,True,False,True,False,True,True,True,True,False,False,"{'subset__BASE_TYPE': True, 'subset__COM_CAT#1': False, 'subset__COM_CAT#17': False, 'subset__COM_CAT#18': True, 'subset__COM_CAT#19': False, 'subset__COM_CAT#20': True, 'subset__COM_CAT#21': True, 'subset__COM_CAT#22': True, 'subset__COM_CAT#25': False, 'subset__COM_CAT#26': False, 'subset__COM_CAT#27': False, 'subset__COM_CAT#28': True, 'subset__COM_CAT#29': True, 'subset__COM_CAT#30': False, 'subset__COM_CAT#31': True, 'subset__COM_CAT#32': False, 'subset__COM_CAT#33': True, 'subset__COM_CAT#7': False, 'subset__COST': True, 'subset__ITC': True, 'subset__RENT_CHANNEL': True, 'subset__REVENUE': True, 'subset__ROAM': False, 'subset__VAS': False}"
