,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,split10_test_score,split11_test_score,split12_test_score,split13_test_score,split14_test_score,split15_test_score,split16_test_score,split17_test_score,split18_test_score,split19_test_score,split20_test_score,split21_test_score,split22_test_score,split23_test_score,split24_test_score,split25_test_score,split26_test_score,split27_test_score,split28_test_score,split29_test_score,split30_test_score,split31_test_score,split32_test_score,split33_test_score,split34_test_score,split35_test_score,split36_test_score,split37_test_score,split38_test_score,split39_test_score,mean_test_score,std_test_score,rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subset__BASE_TYPE,param_subset__COM_CAT#1,param_subset__COM_CAT#17,param_subset__COM_CAT#19,param_subset__COM_CAT#20,param_subset__COM_CAT#21,param_subset__COM_CAT#22,param_subset__COM_CAT#25,param_subset__COM_CAT#27,param_subset__COM_CAT#28,param_subset__COM_CAT#29,param_subset__COM_CAT#30,param_subset__COM_CAT#31,param_subset__COM_CAT#32,param_subset__COM_CAT#33,param_subset__COM_CAT#7,param_subset__CONTACT_DATE_WEEKDAY,param_subset__COST,param_subset__ITC,param_subset__RENT_CHANNEL,param_subset__REVENUE,param_subset__ROAM,param_subset__VAS,params
0,0.5,0.5126052717926283,0.502621061564151,0.4940358873285703,0.5142185278355025,0.5,0.5018169499876817,0.5021351728668801,0.5,0.5076971453571038,0.4981317237414798,0.5124038487859626,0.5092420430930766,0.5,0.503257507322548,0.502621061564151,0.5142185278355025,0.5056327244886798,0.4871342147764912,0.5,0.5004101498414087,0.5,0.5054268977033205,0.4942788316772057,0.5070682489336104,0.5139724379306574,0.5090368454189592,0.5037433960198188,0.5037050202340588,0.4965547413321667,0.5,0.5124038487859626,0.5111697473476976,0.5059471727004266,0.5040616188990173,0.512646793134598,0.5048260964672427,0.5045800065623975,0.5062310092797897,0.5,0.5040965721850776,0.006044563628164381,1,0.17494526505470276,0.054379533621471264,0.023567676544189453,0.011866977016830628,True,False,False,True,False,True,True,False,True,False,False,True,True,False,True,False,False,False,True,False,True,True,False,"{'subset__BASE_TYPE': True, 'subset__COM_CAT#1': False, 'subset__COM_CAT#17': False, 'subset__COM_CAT#19': True, 'subset__COM_CAT#20': False, 'subset__COM_CAT#21': True, 'subset__COM_CAT#22': True, 'subset__COM_CAT#25': False, 'subset__COM_CAT#27': True, 'subset__COM_CAT#28': False, 'subset__COM_CAT#29': False, 'subset__COM_CAT#30': True, 'subset__COM_CAT#31': True, 'subset__COM_CAT#32': False, 'subset__COM_CAT#33': True, 'subset__COM_CAT#7': False, 'subset__CONTACT_DATE_WEEKDAY': False, 'subset__COST': False, 'subset__ITC': True, 'subset__RENT_CHANNEL': False, 'subset__REVENUE': True, 'subset__ROAM': True, 'subset__VAS': False}"
1,0.514707289729848,0.5395384447118013,0.49944225452355534,0.5214201636965864,0.5100452531991688,0.5243287214262277,0.536961758506474,0.5102002408912978,0.5512311331072951,0.5220865689598599,0.5235929758287482,0.493765568968821,0.5184430712020124,0.5068324127748004,0.498282280802606,0.5518087377843476,0.523077764409931,0.523921989500164,0.528551093591744,0.5134782787221812,0.5185866236465055,0.5063470687958,0.4991377186499138,0.5273329500971778,0.5323198075030078,0.5245953188231434,0.5025971093044264,0.532356081136569,0.5055267691129827,0.5363802909329543,0.5159966877446551,0.5118940078289671,0.5360726785518977,0.5251080061249043,0.5327256302866059,0.5114799759108701,0.5503903259324073,0.5206510445149294,0.5157468998932413,0.4701999671511867,0.5196813123613917,0.016292284698425988,1,0.23080041408538818,0.05031732499668662,0.02363375425338745,0.011658988317654216,False,False,True,False,False,True,True,True,False,False,False,False,False,True,False,True,True,False,False,True,True,False,True,"{'subset__BASE_TYPE': False, 'subset__COM_CAT#1': False, 'subset__COM_CAT#17': True, 'subset__COM_CAT#19': False, 'subset__COM_CAT#20': False, 'subset__COM_CAT#21': True, 'subset__COM_CAT#22': True, 'subset__COM_CAT#25': True, 'subset__COM_CAT#27': False, 'subset__COM_CAT#28': False, 'subset__COM_CAT#29': False, 'subset__COM_CAT#30': False, 'subset__COM_CAT#31': False, 'subset__COM_CAT#32': True, 'subset__COM_CAT#33': False, 'subset__COM_CAT#7': True, 'subset__CONTACT_DATE_WEEKDAY': True, 'subset__COST': False, 'subset__ITC': False, 'subset__RENT_CHANNEL': True, 'subset__REVENUE': True, 'subset__ROAM': False, 'subset__VAS': True}"
2,0.5194821174669145,0.5349584381494039,0.4979914319345214,0.5339437737811721,0.5184567428633927,0.5607329377665974,0.5292799266376502,0.504605677369905,0.5504415946625834,0.5275689051733565,0.5418172237277928,0.49514111302729186,0.5153361861533413,0.5266905009296731,0.5069256248118037,0.5280309873805809,0.5277603084326807,0.5221515093514165,0.5078631846924531,0.5228093947606143,0.5051952313245106,0.5152439024390243,0.49138060825052693,0.527647751224987,0.562455567100514,0.527210024062124,0.5105081985163287,0.541286852262462,0.5225274800393744,0.5279243683692443,0.519815362295037,0.5183884919657277,0.5277398009406103,0.5309902384337745,0.5366811748925571,0.5204894473187156,0.5568365142732143,0.5301425954281964,0.5176254414059293,0.4927424653034409,0.5238736141663519,0.016691740570599186,1,0.2405378222465515,0.05597421806883608,0.0229167103767395,0.010980878530078637,True,False,True,True,True,True,True,False,False,False,False,True,True,False,True,True,False,True,False,False,True,True,False,"{'subset__BASE_TYPE': True, 'subset__COM_CAT#1': False, 'subset__COM_CAT#17': True, 'subset__COM_CAT#19': True, 'subset__COM_CAT#20': True, 'subset__COM_CAT#21': True, 'subset__COM_CAT#22': True, 'subset__COM_CAT#25': False, 'subset__COM_CAT#27': False, 'subset__COM_CAT#28': False, 'subset__COM_CAT#29': False, 'subset__COM_CAT#30': True, 'subset__COM_CAT#31': True, 'subset__COM_CAT#32': False, 'subset__COM_CAT#33': True, 'subset__COM_CAT#7': True, 'subset__CONTACT_DATE_WEEKDAY': False, 'subset__COST': True, 'subset__ITC': False, 'subset__RENT_CHANNEL': False, 'subset__REVENUE': True, 'subset__ROAM': True, 'subset__VAS': False}"
3,0.5379730394837581,0.5629033140107185,0.5381491062385371,0.5120377213873148,0.5401126544897735,0.5212799409384228,0.575463305138102,0.5283936930278392,0.5768996773487916,0.5866236465055233,0.5422209903917221,0.5188572719060525,0.5558384829924532,0.5503664005249918,0.5251875119761298,0.5821802031151624,0.5359257081920594,0.5697254730394838,0.5580226383071913,0.5252217294900222,0.5522941047796128,0.5494982500273432,0.516407297911363,0.56145465495059,0.5709012359181888,0.5184875041014985,0.5355554186854999,0.547312556458898,0.5419514929454228,0.5619873126982391,0.5338103254769921,0.5208829487284772,0.528102099967188,0.5449319151263261,0.5688866989679997,0.5615025594700391,0.5965663622443399,0.5652924368369244,0.5433604336043361,0.4937108209465933,0.5464102780912207,0.02252658386018221,1,0.25197226405143736,0.061917680074181886,0.021839720010757447,0.010774508128793072,False,True,False,False,False,True,False,False,False,True,True,False,False,True,False,True,True,True,False,True,True,False,True,"{'subset__BASE_TYPE': False, 'subset__COM_CAT#1': True, 'subset__COM_CAT#17': False, 'subset__COM_CAT#19': False, 'subset__COM_CAT#20': False, 'subset__COM_CAT#21': True, 'subset__COM_CAT#22': False, 'subset__COM_CAT#25': False, 'subset__COM_CAT#27': False, 'subset__COM_CAT#28': True, 'subset__COM_CAT#29': True, 'subset__COM_CAT#30': False, 'subset__COM_CAT#31': False, 'subset__COM_CAT#32': True, 'subset__COM_CAT#33': False, 'subset__COM_CAT#7': True, 'subset__CONTACT_DATE_WEEKDAY': True, 'subset__COST': True, 'subset__ITC': False, 'subset__RENT_CHANNEL': True, 'subset__REVENUE': True, 'subset__ROAM': False, 'subset__VAS': True}"
4,0.5163239636880674,0.5694759652192934,0.5325819167282583,0.49659193561632586,0.5301391775128513,0.4965068905173356,0.5764213955270866,0.515490268539049,0.5472048288307996,0.5796750246089906,0.5144945388847828,0.5192952560838738,0.5413191786065843,0.5240518702832768,0.5213654156743588,0.5652288467329118,0.5224693754785081,0.5718719238761896,0.5397573293914757,0.5088315403356054,0.5591436071311385,0.5253164989609537,0.5283355232542225,0.5314801127809258,0.5469792464180246,0.5015927485508038,0.5487702225507104,0.5221284662341573,0.5285703543694629,0.5371937547850816,0.5232815964523281,0.5100667925871177,0.5156506343650881,0.533697227387072,0.5542689770332047,0.5549635925652187,0.5740388822049656,0.5526256425680849,0.5390079658372342,0.5075210095535299,0.5345951792253715,0.022257187414210195,1,0.22385621666908265,0.0503306384617045,0.028385245800018312,0.016078289241200618,False,True,False,False,False,False,True,False,True,False,False,False,True,True,True,False,True,True,False,False,True,True,False,"{'subset__BASE_TYPE': False, 'subset__COM_CAT#1': True, 'subset__COM_CAT#17': False, 'subset__COM_CAT#19': False, 'subset__COM_CAT#20': False, 'subset__COM_CAT#21': False, 'subset__COM_CAT#22': True, 'subset__COM_CAT#25': False, 'subset__COM_CAT#27': True, 'subset__COM_CAT#28': False, 'subset__COM_CAT#29': False, 'subset__COM_CAT#30': False, 'subset__COM_CAT#31': True, 'subset__COM_CAT#32': True, 'subset__COM_CAT#33': True, 'subset__COM_CAT#7': False, 'subset__CONTACT_DATE_WEEKDAY': True, 'subset__COST': True, 'subset__ITC': False, 'subset__RENT_CHANNEL': False, 'subset__REVENUE': True, 'subset__ROAM': True, 'subset__VAS': False}"
5,0.5194821174669145,0.5256206934266652,0.499141140401303,0.5302517040321918,0.5137810346713333,0.5525982992453243,0.5257760532150776,0.5034046426322849,0.5414251339822815,0.5196222519960625,0.5444040677780515,0.48427363061509404,0.513251257792847,0.5266905009296731,0.5030556239905833,0.5290369822890149,0.5214850158591272,0.5149978125341791,0.5246229229969067,0.5228093947606143,0.5066991140763426,0.5152439024390243,0.48935493142810216,0.5373655251704033,0.55169255167888,0.5134973476976923,0.5031822287919849,0.5346486545673537,0.5161804112435743,0.5323881658099092,0.519815362295037,0.5100770578412854,0.5205006562397463,0.5253130810456086,0.5328453915852289,0.5096664476745778,0.5509337744722739,0.5297221918407524,0.5127939284443348,0.4927424653034409,0.5205122272960656,0.015980422164593243,1,0.19727904200553895,0.048001161747066846,0.025172656774520873,0.014244878518545294,False,False,True,True,False,True,True,False,False,False,False,False,True,True,False,True,False,False,False,True,True,False,False,"{'subset__BASE_TYPE': False, 'subset__COM_CAT#1': False, 'subset__COM_CAT#17': True, 'subset__COM_CAT#19': True, 'subset__COM_CAT#20': False, 'subset__COM_CAT#21': True, 'subset__COM_CAT#22': True, 'subset__COM_CAT#25': False, 'subset__COM_CAT#27': False, 'subset__COM_CAT#28': False, 'subset__COM_CAT#29': False, 'subset__COM_CAT#30': False, 'subset__COM_CAT#31': True, 'subset__COM_CAT#32': True, 'subset__COM_CAT#33': False, 'subset__COM_CAT#7': True, 'subset__CONTACT_DATE_WEEKDAY': False, 'subset__COST': False, 'subset__ITC': False, 'subset__RENT_CHANNEL': True, 'subset__REVENUE': True, 'subset__ROAM': False, 'subset__VAS': False}"
6,0.486044651646068,0.5016235097889096,0.48657304754865727,0.48962182803646215,0.500611806846768,0.4752816362244339,0.5168658125975198,0.5120137691275902,0.5085584600240621,0.48359742425899593,0.4833531794913909,0.5105047767649393,0.5095428196434431,0.4808835994750082,0.48544729134160036,0.5225630286605896,0.5178517718473148,0.5207262386525211,0.4995449070652323,0.48472872354986174,0.5162043366509899,0.4719252433555726,0.5124996578248611,0.4829049300594016,0.48558665098982823,0.5277329651099202,0.499141140401303,0.5081506118091484,0.4843732910423274,0.5050482609646724,0.5044037940379403,0.4915653828255454,0.5079398173466039,0.4931710051405447,0.507996632996633,0.496845145219129,0.5107869408290495,0.48941129826096474,0.4921333935561578,0.4823266540746216,0.49865222727959363,0.01417071500723285,1,0.2198621392250061,0.04856747213169262,0.02422686815261841,0.01066319631858406,False,False,True,False,False,False,False,True,False,False,False,False,False,True,True,False,True,True,False,False,False,True,True,"{'subset__BASE_TYPE': False, 'subset__COM_CAT#1': False, 'subset__COM_CAT#17': True, 'subset__COM_CAT#19': False, 'subset__COM_CAT#20': False, 'subset__COM_CAT#21': False, 'subset__COM_CAT#22': False, 'subset__COM_CAT#25': True, 'subset__COM_CAT#27': False, 'subset__COM_CAT#28': False, 'subset__COM_CAT#29': False, 'subset__COM_CAT#30': False, 'subset__COM_CAT#31': False, 'subset__COM_CAT#32': True, 'subset__COM_CAT#33': True, 'subset__COM_CAT#7': False, 'subset__CONTACT_DATE_WEEKDAY': True, 'subset__COST': True, 'subset__ITC': False, 'subset__RENT_CHANNEL': False, 'subset__REVENUE': False, 'subset__ROAM': True, 'subset__VAS': True}"
7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,1,0.15524068474769592,0.05274287691768073,0.030103206634521484,0.013943288244295918,False,False,True,False,True,True,False,True,True,False,True,False,False,True,True,False,False,True,True,False,False,True,True,"{'subset__BASE_TYPE': False, 'subset__COM_CAT#1': False, 'subset__COM_CAT#17': True, 'subset__COM_CAT#19': False, 'subset__COM_CAT#20': True, 'subset__COM_CAT#21': True, 'subset__COM_CAT#22': False, 'subset__COM_CAT#25': True, 'subset__COM_CAT#27': True, 'subset__COM_CAT#28': False, 'subset__COM_CAT#29': True, 'subset__COM_CAT#30': False, 'subset__COM_CAT#31': False, 'subset__COM_CAT#32': True, 'subset__COM_CAT#33': True, 'subset__COM_CAT#7': False, 'subset__CONTACT_DATE_WEEKDAY': False, 'subset__COST': True, 'subset__ITC': True, 'subset__RENT_CHANNEL': False, 'subset__REVENUE': False, 'subset__ROAM': True, 'subset__VAS': True}"
8,0.5194821174669145,0.5256206934266652,0.499141140401303,0.5302517040321918,0.5137810346713333,0.5525982992453243,0.5257760532150776,0.5034046426322849,0.5414251339822815,0.5196222519960625,0.5444040677780515,0.48427363061509404,0.513251257792847,0.5266905009296731,0.5030556239905833,0.5290369822890149,0.5214850158591272,0.5149978125341791,0.5246229229969067,0.5228093947606143,0.5066991140763426,0.5152439024390243,0.48935493142810216,0.5373655251704033,0.55169255167888,0.5134973476976923,0.5031822287919849,0.5346486545673537,0.5161804112435743,0.5323881658099092,0.519815362295037,0.5100770578412854,0.5205006562397463,0.5253130810456086,0.5328453915852289,0.5096664476745778,0.5509337744722739,0.5297221918407524,0.5127939284443348,0.4927424653034409,0.5205122272960656,0.015980422164593243,1,0.2160969316959381,0.04807198008082981,0.023065710067749025,0.01270158826936969,False,False,False,True,True,True,True,True,False,True,False,True,True,True,True,True,False,False,True,False,True,True,True,"{'subset__BASE_TYPE': False, 'subset__COM_CAT#1': False, 'subset__COM_CAT#17': False, 'subset__COM_CAT#19': True, 'subset__COM_CAT#20': True, 'subset__COM_CAT#21': True, 'subset__COM_CAT#22': True, 'subset__COM_CAT#25': True, 'subset__COM_CAT#27': False, 'subset__COM_CAT#28': True, 'subset__COM_CAT#29': False, 'subset__COM_CAT#30': True, 'subset__COM_CAT#31': True, 'subset__COM_CAT#32': True, 'subset__COM_CAT#33': True, 'subset__COM_CAT#7': True, 'subset__CONTACT_DATE_WEEKDAY': False, 'subset__COST': False, 'subset__ITC': True, 'subset__RENT_CHANNEL': False, 'subset__REVENUE': True, 'subset__ROAM': True, 'subset__VAS': True}"
9,0.486044651646068,0.5134187356447555,0.49316676247570557,0.4820631792176508,0.5089925352728863,0.4752816362244339,0.5221797925049958,0.516451780679423,0.5085584600240621,0.4992036257245981,0.48297336508718625,0.5157400563904628,0.5135554522585584,0.4808835994750082,0.496711696914949,0.5227991295064466,0.5269605162419336,0.5290659520944986,0.48595371054720654,0.48472872354986174,0.5228214207590506,0.4719252433555726,0.5189393939393939,0.47569872163368104,0.49125355463195886,0.5340014218527837,0.507418357011853,0.5087699488105992,0.4787268948922674,0.4918380181559663,0.5044037940379403,0.49935328898743536,0.5172878158153779,0.5027856010062343,0.5045748816074019,0.5014747748487586,0.5126086897079734,0.49858156513179475,0.4991514056554707,0.4823266540746216,0.5017175679107903,0.01638605176766964,1,0.21949461102485657,0.060420990541047374,0.023779356479644777,0.013389525474879718,True,False,False,True,False,True,True,True,False,False,False,True,True,False,True,False,True,False,True,True,True,True,False,"{'subset__BASE_TYPE': True, 'subset__COM_CAT#1': False, 'subset__COM_CAT#17': False, 'subset__COM_CAT#19': True, 'subset__COM_CAT#20': False, 'subset__COM_CAT#21': True, 'subset__COM_CAT#22': True, 'subset__COM_CAT#25': True, 'subset__COM_CAT#27': False, 'subset__COM_CAT#28': False, 'subset__COM_CAT#29': False, 'subset__COM_CAT#30': True, 'subset__COM_CAT#31': True, 'subset__COM_CAT#32': False, 'subset__COM_CAT#33': True, 'subset__COM_CAT#7': False, 'subset__CONTACT_DATE_WEEKDAY': True, 'subset__COST': False, 'subset__ITC': True, 'subset__RENT_CHANNEL': True, 'subset__REVENUE': True, 'subset__ROAM': True, 'subset__VAS': False}"
