,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,split10_test_score,split11_test_score,split12_test_score,split13_test_score,split14_test_score,split15_test_score,split16_test_score,split17_test_score,split18_test_score,split19_test_score,split20_test_score,split21_test_score,split22_test_score,split23_test_score,split24_test_score,split25_test_score,split26_test_score,split27_test_score,split28_test_score,split29_test_score,split30_test_score,split31_test_score,split32_test_score,split33_test_score,split34_test_score,split35_test_score,split36_test_score,split37_test_score,split38_test_score,split39_test_score,mean_test_score,std_test_score,rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subset__BASE_TYPE,param_subset__COM_CAT#1,param_subset__COM_CAT#17,param_subset__COM_CAT#19,param_subset__COM_CAT#20,param_subset__COM_CAT#21,param_subset__COM_CAT#22,param_subset__COM_CAT#23,param_subset__COM_CAT#25,param_subset__COM_CAT#27,param_subset__COM_CAT#28,param_subset__COM_CAT#29,param_subset__COM_CAT#31,param_subset__COM_CAT#32,param_subset__COM_CAT#33,param_subset__COM_CAT#7,param_subset__CONTACT_DATE_0_HOLIDAYS,param_subset__CONTACT_DATE_3_HOLIDAYS,param_subset__COST,param_subset__ITC,param_subset__RENT_CHANNEL,param_subset__REVENUE,param_subset__ROAM,param_subset__VAS,params
0,0.5602715191950126,0.5225924204309308,0.5457830335879117,0.5236032410829159,0.5003007765503664,0.551501148419556,0.5600517368810051,0.5301593167446825,0.5835748660177185,0.532101060920923,0.5438805398154991,0.48523172100407874,0.5402356994421962,0.5425667177075358,0.4925268949659194,0.573820864471271,0.5245474680083124,0.5288608771737942,0.5016971886890587,0.5988270236237716,0.5342064967734879,0.5364281417477852,0.49478525088281183,0.5537009663025924,0.5477414415399758,0.5232554960078748,0.5317401658865073,0.5474733787741918,0.5531075686317402,0.5622402384337745,0.5211258930771125,0.511832416303961,0.5120584053374166,0.5325317182544023,0.5689072294763352,0.5316717308587228,0.5569287979875315,0.56296483648693,0.4813309244203553,0.5467411239768963,0.5363245902430611,0.025956488225955518,1,0.031936264038085936,0.010568299841966208,0.019397014379501344,0.00856483306106593,True,False,False,True,False,True,True,False,True,False,False,True,True,False,True,False,False,False,True,False,True,True,False,False,"{'subset__BASE_TYPE': True, 'subset__COM_CAT#1': False, 'subset__COM_CAT#17': False, 'subset__COM_CAT#19': True, 'subset__COM_CAT#20': False, 'subset__COM_CAT#21': True, 'subset__COM_CAT#22': True, 'subset__COM_CAT#23': False, 'subset__COM_CAT#25': True, 'subset__COM_CAT#27': False, 'subset__COM_CAT#28': False, 'subset__COM_CAT#29': True, 'subset__COM_CAT#31': True, 'subset__COM_CAT#32': False, 'subset__COM_CAT#33': True, 'subset__COM_CAT#7': False, 'subset__CONTACT_DATE_0_HOLIDAYS': False, 'subset__CONTACT_DATE_3_HOLIDAYS': False, 'subset__COST': True, 'subset__ITC': False, 'subset__RENT_CHANNEL': True, 'subset__REVENUE': True, 'subset__ROAM': False, 'subset__VAS': False}"
1,0.5208663731816691,0.498779804221809,0.5096938216856916,0.5426213353042622,0.528765175544132,0.5502980422180903,0.5326948345241028,0.5076202403438176,0.5373543968062999,0.5363461117795034,0.5538104623470477,0.4762154060934549,0.5171408454555397,0.5263384556491305,0.520243081218691,0.5371670635898278,0.5315473586350213,0.5340185114295088,0.5390764008650188,0.5355485751827215,0.5280405774909768,0.5313525374603522,0.5018066847335141,0.5434322903835099,0.5686625013671661,0.5164538444711801,0.5252148859872438,0.5440379403794038,0.5398152958547522,0.5381473531663568,0.5331499274588705,0.5165954942377706,0.5122224652739802,0.5237716012249809,0.5136698967999781,0.5198769538200433,0.5478952477305041,0.5268613966969267,0.5073567654868468,0.5073396567299007,0.5270479871963734,0.016973664882067686,1,0.03347793221473694,0.016542754427586317,0.01554538607597351,0.007675867138128928,False,False,True,False,False,True,True,True,False,False,False,False,False,True,False,True,True,False,False,True,True,False,True,True,"{'subset__BASE_TYPE': False, 'subset__COM_CAT#1': False, 'subset__COM_CAT#17': True, 'subset__COM_CAT#19': False, 'subset__COM_CAT#20': False, 'subset__COM_CAT#21': True, 'subset__COM_CAT#22': True, 'subset__COM_CAT#23': True, 'subset__COM_CAT#25': False, 'subset__COM_CAT#27': False, 'subset__COM_CAT#28': False, 'subset__COM_CAT#29': False, 'subset__COM_CAT#31': False, 'subset__COM_CAT#32': True, 'subset__COM_CAT#33': False, 'subset__COM_CAT#7': True, 'subset__CONTACT_DATE_0_HOLIDAYS': True, 'subset__CONTACT_DATE_3_HOLIDAYS': False, 'subset__COST': False, 'subset__ITC': True, 'subset__RENT_CHANNEL': True, 'subset__REVENUE': False, 'subset__ROAM': True, 'subset__VAS': True}"
2,0.5348627365197418,0.52819780159685,0.5068366592756837,0.5361131641619447,0.5339125560538116,0.5725691786065843,0.5238975117023899,0.5145150693931182,0.5831373728535492,0.5379251886689269,0.557102187183488,0.48412307355396783,0.532702614021656,0.5532101060920923,0.520407325285374,0.5320070624948674,0.5344320791862628,0.5365853658536586,0.5269154964276915,0.5554597465166571,0.5290522804331182,0.5342611834190091,0.4998631299444308,0.5398839341928773,0.5693768456742864,0.5234742425899596,0.5288111466973257,0.5510525307273275,0.5380208902985891,0.5518634474461337,0.5464605403629794,0.5192849908297063,0.5205758503773379,0.5428606584272121,0.5350524212312829,0.5202772987325833,0.5520753581975281,0.5457385431477633,0.5119829733650871,0.5178889162629,0.5345731083227032,0.01905866848893466,1,0.03801535964012146,0.013121625915821947,0.022283852100372314,0.008171017821777564,True,False,True,True,True,True,True,False,False,False,False,True,True,False,True,True,False,True,False,False,True,True,False,False,"{'subset__BASE_TYPE': True, 'subset__COM_CAT#1': False, 'subset__COM_CAT#17': True, 'subset__COM_CAT#19': True, 'subset__COM_CAT#20': True, 'subset__COM_CAT#21': True, 'subset__COM_CAT#22': True, 'subset__COM_CAT#23': False, 'subset__COM_CAT#25': False, 'subset__COM_CAT#27': False, 'subset__COM_CAT#28': False, 'subset__COM_CAT#29': True, 'subset__COM_CAT#31': True, 'subset__COM_CAT#32': False, 'subset__COM_CAT#33': True, 'subset__COM_CAT#7': True, 'subset__CONTACT_DATE_0_HOLIDAYS': False, 'subset__CONTACT_DATE_3_HOLIDAYS': True, 'subset__COST': False, 'subset__ITC': False, 'subset__RENT_CHANNEL': True, 'subset__REVENUE': True, 'subset__ROAM': False, 'subset__VAS': False}"
3,0.5509850432024499,0.5692332932297933,0.5347307766006952,0.5166091812433276,0.5477311877939408,0.5151857978781581,0.5617249733103391,0.5271892365388301,0.5761443180575303,0.590793503226512,0.5451910705975747,0.5050197092880019,0.5575713660724051,0.553005031171388,0.5365203525772632,0.5751861432755743,0.5271245761784972,0.5819616099748441,0.5524451835427445,0.5382004325093757,0.5505919829377667,0.5568980367494258,0.5194526566477786,0.5599353973337713,0.5862374220715301,0.5154899923438696,0.5446538556294653,0.5568626645862418,0.5471262167778628,0.5637543749316416,0.5467753414907887,0.5170882264378199,0.521006507710817,0.5562759761566226,0.5471483123922148,0.556879773343188,0.5950795690692333,0.5566656185059609,0.5543408338123785,0.5061591525006159,0.5480281186048244,0.02253294300934751,1,0.040258318185806274,0.010129922935863839,0.017638927698135375,0.006498096562526735,False,True,False,False,False,True,False,False,False,True,True,False,False,True,False,True,True,True,False,True,True,False,True,True,"{'subset__BASE_TYPE': False, 'subset__COM_CAT#1': True, 'subset__COM_CAT#17': False, 'subset__COM_CAT#19': False, 'subset__COM_CAT#20': False, 'subset__COM_CAT#21': True, 'subset__COM_CAT#22': False, 'subset__COM_CAT#23': False, 'subset__COM_CAT#25': False, 'subset__COM_CAT#27': True, 'subset__COM_CAT#28': True, 'subset__COM_CAT#29': False, 'subset__COM_CAT#31': False, 'subset__COM_CAT#32': True, 'subset__COM_CAT#33': False, 'subset__COM_CAT#7': True, 'subset__CONTACT_DATE_0_HOLIDAYS': True, 'subset__CONTACT_DATE_3_HOLIDAYS': True, 'subset__COST': False, 'subset__ITC': True, 'subset__RENT_CHANNEL': True, 'subset__REVENUE': False, 'subset__ROAM': True, 'subset__VAS': True}"
4,0.5528136279120639,0.5754538991578256,0.5536872792970354,0.5137896580986012,0.5276987859564695,0.5014286886142404,0.5840655881306288,0.5263885467137499,0.564755824127748,0.5859537350978891,0.5228709862856205,0.5041608496893049,0.552868314557585,0.5285806081154982,0.5338890257589445,0.577790096082779,0.5252310510773269,0.589426337088483,0.5430387889737484,0.5399455257178833,0.569363174012906,0.5450481242480587,0.5252525252525253,0.5532424516164354,0.5664306026468335,0.5051883954938204,0.5505666420300567,0.5312953382059074,0.5375765613037297,0.5481789347041452,0.5365853658536586,0.5137828145958228,0.5114773597287542,0.5426419118451273,0.5577454764446634,0.558375078700282,0.589850158591272,0.5586856064748988,0.5512099312912321,0.51717719197394,0.5443399481418513,0.024056957363352723,1,0.035375022888183595,0.0075138493428294414,0.0175171434879303,0.004107666508162975,False,True,False,False,False,False,True,False,True,False,False,False,True,True,True,False,True,True,False,False,True,True,False,False,"{'subset__BASE_TYPE': False, 'subset__COM_CAT#1': True, 'subset__COM_CAT#17': False, 'subset__COM_CAT#19': False, 'subset__COM_CAT#20': False, 'subset__COM_CAT#21': False, 'subset__COM_CAT#22': True, 'subset__COM_CAT#23': False, 'subset__COM_CAT#25': True, 'subset__COM_CAT#27': False, 'subset__COM_CAT#28': False, 'subset__COM_CAT#29': False, 'subset__COM_CAT#31': True, 'subset__COM_CAT#32': True, 'subset__COM_CAT#33': True, 'subset__COM_CAT#7': False, 'subset__CONTACT_DATE_0_HOLIDAYS': True, 'subset__CONTACT_DATE_3_HOLIDAYS': True, 'subset__COST': False, 'subset__ITC': False, 'subset__RENT_CHANNEL': True, 'subset__REVENUE': True, 'subset__ROAM': False, 'subset__VAS': False}"
5,0.52349475008203,0.5057489336104124,0.5060017519367113,0.5392338014289234,0.5221754347588319,0.5621787159575632,0.5174098710684076,0.5153568202348691,0.5423137919720005,0.5317866127091764,0.5622005967534422,0.47775177246721967,0.5241578256589741,0.5321489117357542,0.5067271632312282,0.5351550737729599,0.522277972219184,0.5382328010499836,0.5429429799348499,0.5444827680600038,0.5325453899157826,0.5268579787815816,0.4946894418439134,0.5476718403547671,0.5792888001749973,0.5141980203434321,0.5204962908214941,0.5425255262653637,0.5411790440774362,0.5634365088045499,0.5311516246475596,0.5083216993786099,0.5123523460570928,0.5313081045608663,0.5225493416550326,0.5108948564233118,0.5482062780269058,0.5392171606693646,0.5067955982590129,0.5078152801730037,0.5283349823934387,0.02004929639317835,1,0.04258245229721069,0.00963241868641014,0.01736721396446228,0.00402509259650097,False,False,True,True,False,True,True,False,False,False,False,False,True,True,False,True,False,False,False,True,True,False,False,False,"{'subset__BASE_TYPE': False, 'subset__COM_CAT#1': False, 'subset__COM_CAT#17': True, 'subset__COM_CAT#19': True, 'subset__COM_CAT#20': False, 'subset__COM_CAT#21': True, 'subset__COM_CAT#22': True, 'subset__COM_CAT#23': False, 'subset__COM_CAT#25': False, 'subset__COM_CAT#27': False, 'subset__COM_CAT#28': False, 'subset__COM_CAT#29': False, 'subset__COM_CAT#31': True, 'subset__COM_CAT#32': True, 'subset__COM_CAT#33': False, 'subset__COM_CAT#7': True, 'subset__CONTACT_DATE_0_HOLIDAYS': False, 'subset__CONTACT_DATE_3_HOLIDAYS': False, 'subset__COST': False, 'subset__ITC': True, 'subset__RENT_CHANNEL': True, 'subset__REVENUE': False, 'subset__ROAM': False, 'subset__VAS': False}"
6,0.5327778081592475,0.5285703543694631,0.5636308888341408,0.5478292409186718,0.49811672864486495,0.5386361150607022,0.5998056445210918,0.5368214666995155,0.5833458656895987,0.5508961774034781,0.5404348361665435,0.4857381402096849,0.5436877939407196,0.5409192825112108,0.5222311187758342,0.5513468013468013,0.5367596795362573,0.5291479820627804,0.524657140510799,0.5614922942158714,0.5502023405884283,0.5644106146778957,0.5002532096028031,0.5540123456790124,0.5384447118013781,0.5291992507929564,0.5670560619747612,0.5355725274424462,0.5646020179372198,0.546569096576616,0.5201780679422956,0.5404314144151543,0.5135588701739036,0.5226436891611068,0.5895301250992308,0.5497043606799705,0.5613994312588865,0.5697869955156951,0.48985108537954064,0.537584517259314,0.5415462044880679,0.024532889599760518,1,0.03289687633514404,0.007902436537486825,0.019565361738204955,0.004937069369499412,False,False,True,False,False,False,False,True,False,False,False,False,False,True,True,False,True,True,False,False,False,True,True,False,"{'subset__BASE_TYPE': False, 'subset__COM_CAT#1': False, 'subset__COM_CAT#17': True, 'subset__COM_CAT#19': False, 'subset__COM_CAT#20': False, 'subset__COM_CAT#21': False, 'subset__COM_CAT#22': False, 'subset__COM_CAT#23': True, 'subset__COM_CAT#25': False, 'subset__COM_CAT#27': False, 'subset__COM_CAT#28': False, 'subset__COM_CAT#29': False, 'subset__COM_CAT#31': False, 'subset__COM_CAT#32': True, 'subset__COM_CAT#33': True, 'subset__COM_CAT#7': False, 'subset__CONTACT_DATE_0_HOLIDAYS': True, 'subset__CONTACT_DATE_3_HOLIDAYS': True, 'subset__COST': False, 'subset__ITC': False, 'subset__RENT_CHANNEL': False, 'subset__REVENUE': True, 'subset__ROAM': True, 'subset__VAS': False}"
7,0.5429290167341135,0.530118670020781,0.551446032137089,0.5548848922832662,0.503763124794925,0.549060756863174,0.5989399414196163,0.5321713065615504,0.5877994093842284,0.5555616318495024,0.5511107005009444,0.4695566778900112,0.5472219184075249,0.5271690090779831,0.5297623935835318,0.5697079193014153,0.5349379306573335,0.5335194957891283,0.5309531630669843,0.5707481317237415,0.5529708520179372,0.5680712020124685,0.5100223098190577,0.5538857408776108,0.5509303565569288,0.5296401618724708,0.5535914702581369,0.5473022912047303,0.5599365634911955,0.5758127802690582,0.5216117817743834,0.5282020749500425,0.5194752816362245,0.5182106529585475,0.5922983219731187,0.5473981002436288,0.5624111342010281,0.5757649294542272,0.49080233226574693,0.5420772768333744,0.5442953770041268,0.026038895712579294,1,0.035721433162689206,0.01178169108592526,0.018336796760559083,0.006134493854068064,False,False,True,False,True,True,False,True,True,False,True,False,False,True,True,False,False,True,True,False,False,True,True,True,"{'subset__BASE_TYPE': False, 'subset__COM_CAT#1': False, 'subset__COM_CAT#17': True, 'subset__COM_CAT#19': False, 'subset__COM_CAT#20': True, 'subset__COM_CAT#21': True, 'subset__COM_CAT#22': False, 'subset__COM_CAT#23': True, 'subset__COM_CAT#25': True, 'subset__COM_CAT#27': False, 'subset__COM_CAT#28': True, 'subset__COM_CAT#29': False, 'subset__COM_CAT#31': False, 'subset__COM_CAT#32': True, 'subset__COM_CAT#33': True, 'subset__COM_CAT#7': False, 'subset__CONTACT_DATE_0_HOLIDAYS': False, 'subset__CONTACT_DATE_3_HOLIDAYS': True, 'subset__COST': True, 'subset__ITC': False, 'subset__RENT_CHANNEL': False, 'subset__REVENUE': True, 'subset__ROAM': True, 'subset__VAS': True}"
8,0.5202203871814503,0.5008818221590288,0.5063781445895268,0.5377966658454464,0.5214850158591272,0.5499152356994422,0.5182516219101585,0.5147477484875859,0.5431204199934375,0.5298110576397244,0.5559661657222633,0.47495962333360703,0.5191198184403369,0.5311235371322323,0.5045714598560127,0.541745366948619,0.5224762113091983,0.531205567100514,0.5348813336618214,0.5441953409433085,0.5310483429946407,0.524711527944876,0.49156880457693464,0.5452081793545208,0.5693221590287652,0.5114568522366838,0.5225698721633681,0.5444690810544469,0.5382601443727442,0.5618369244230559,0.5276819687388793,0.5089855191481207,0.5107664333369791,0.5306313573225419,0.5150078015931674,0.5074183570118529,0.5502023405884283,0.5326342557147543,0.5049889135254988,0.5010744299362185,0.5258200925575119,0.01947274108503661,1,0.03660325407981872,0.01401529570982771,0.015229392051696777,0.00669370951404199,False,False,False,True,True,True,True,True,False,True,False,True,True,True,True,True,False,False,True,False,True,True,True,True,"{'subset__BASE_TYPE': False, 'subset__COM_CAT#1': False, 'subset__COM_CAT#17': False, 'subset__COM_CAT#19': True, 'subset__COM_CAT#20': True, 'subset__COM_CAT#21': True, 'subset__COM_CAT#22': True, 'subset__COM_CAT#23': True, 'subset__COM_CAT#25': False, 'subset__COM_CAT#27': True, 'subset__COM_CAT#28': False, 'subset__COM_CAT#29': True, 'subset__COM_CAT#31': True, 'subset__COM_CAT#32': True, 'subset__COM_CAT#33': True, 'subset__COM_CAT#7': True, 'subset__CONTACT_DATE_0_HOLIDAYS': False, 'subset__CONTACT_DATE_3_HOLIDAYS': False, 'subset__COST': True, 'subset__ITC': False, 'subset__RENT_CHANNEL': True, 'subset__REVENUE': True, 'subset__ROAM': True, 'subset__VAS': True}"
9,0.5551583178387838,0.5273296510992015,0.5410541731679943,0.5342722619145384,0.5050653505413978,0.5549805862408399,0.564417891653664,0.5248692890969313,0.5891597396915673,0.5436057639724379,0.5494374640716104,0.47825134817004733,0.5416575522257464,0.5403929235480696,0.4962634474829597,0.5792409186718129,0.5267075905063984,0.5244927813627912,0.5093619118009362,0.6024951411130273,0.5354574537897845,0.5414524773050421,0.4980496017081383,0.5523801702663491,0.5505851471070764,0.5281362791206388,0.5375982042648708,0.5415263748597082,0.5498537132232308,0.5631015531007328,0.5265938517971038,0.5167528948016753,0.5189899376572241,0.5303715957563163,0.5759697243437081,0.5359147025813692,0.5576465602099967,0.5702449961719348,0.48470477129013717,0.546262078782404,0.5387470374906589,0.02616745898816954,1,0.03644106388092041,0.009331205884989103,0.019145172834396363,0.004630376550876237,True,False,False,True,False,True,True,True,False,False,False,True,True,False,True,False,True,False,True,True,True,True,False,False,"{'subset__BASE_TYPE': True, 'subset__COM_CAT#1': False, 'subset__COM_CAT#17': False, 'subset__COM_CAT#19': True, 'subset__COM_CAT#20': False, 'subset__COM_CAT#21': True, 'subset__COM_CAT#22': True, 'subset__COM_CAT#23': True, 'subset__COM_CAT#25': False, 'subset__COM_CAT#27': False, 'subset__COM_CAT#28': False, 'subset__COM_CAT#29': True, 'subset__COM_CAT#31': True, 'subset__COM_CAT#32': False, 'subset__COM_CAT#33': True, 'subset__COM_CAT#7': False, 'subset__CONTACT_DATE_0_HOLIDAYS': True, 'subset__CONTACT_DATE_3_HOLIDAYS': False, 'subset__COST': True, 'subset__ITC': True, 'subset__RENT_CHANNEL': True, 'subset__REVENUE': True, 'subset__ROAM': False, 'subset__VAS': False}"
