,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,split10_test_score,split11_test_score,split12_test_score,split13_test_score,split14_test_score,split15_test_score,split16_test_score,split17_test_score,split18_test_score,split19_test_score,split20_test_score,split21_test_score,split22_test_score,split23_test_score,split24_test_score,split25_test_score,split26_test_score,split27_test_score,split28_test_score,split29_test_score,split30_test_score,split31_test_score,split32_test_score,split33_test_score,split34_test_score,split35_test_score,split36_test_score,split37_test_score,split38_test_score,split39_test_score,mean_test_score,std_test_score,rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subset__CONTACT_DATE_0_HOLIDAYS,param_subset__CONTACT_DATE_1_HOLIDAYS,param_subset__CONTACT_DATE_2_HOLIDAYS,param_subset__CONTACT_DATE_3_HOLIDAYS,param_subset__CONTACT_DATE_WEEKDAY,params
0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,1,0.014079451560974121,0.00406296781847076,0.006545364856719971,0.0024617956310192157,True,False,False,True,False,"{'subset__CONTACT_DATE_0_HOLIDAYS': True, 'subset__CONTACT_DATE_1_HOLIDAYS': False, 'subset__CONTACT_DATE_2_HOLIDAYS': False, 'subset__CONTACT_DATE_3_HOLIDAYS': True, 'subset__CONTACT_DATE_WEEKDAY': False}"
1,0.4986328338619709,0.5257198129716723,0.5280686266458623,0.5367667186772878,0.5281533686973642,0.5077620857486602,0.519962497604774,0.5238940899510005,0.5323574045718036,0.5234605709285792,0.5098204264870931,0.4897997591087022,0.46943016515366953,0.518894236027562,0.5206365826284526,0.5355348881771645,0.5117747183637756,0.49383408071748874,0.48896827352111905,0.4906072924365607,0.5377645466477086,0.5153259324073062,0.49381689523965955,0.5082019380799868,0.5293052061686536,0.49831154981953407,0.5057861815991896,0.5188059456352139,0.4895275073826972,0.5267041725910532,0.48850975883496206,0.5239625249787851,0.5114876134747895,0.5078338619709066,0.5411054994388328,0.4792504995757028,0.51057161216231,0.5093411626380838,0.4938750650132765,0.5215228162382634,0.5116275413154795,0.017276581528255664,1,0.04987276792526245,0.021936145261659556,0.02724141478538513,0.014248404870187619,False,False,True,False,False,"{'subset__CONTACT_DATE_0_HOLIDAYS': False, 'subset__CONTACT_DATE_1_HOLIDAYS': False, 'subset__CONTACT_DATE_2_HOLIDAYS': True, 'subset__CONTACT_DATE_3_HOLIDAYS': False, 'subset__CONTACT_DATE_WEEKDAY': False}"
2,0.5088694903204637,0.535949633599475,0.4910692288741069,0.5471483123922148,0.5080662802143717,0.49954541725910534,0.5326708822643782,0.5067887547562344,0.49248400415618504,0.552024089467352,0.5060770304672744,0.5374373819495771,0.5005126873017609,0.5121267636443181,0.5417351016944513,0.5050539268018943,0.5176740402493711,0.5479909493601662,0.5331807232213737,0.527527989926364,0.4805486437711911,0.5086746691457946,0.5262585201609592,0.542012263556979,0.5065863228699552,0.5154831565131794,0.4921128630478224,0.5242191563329774,0.5448669747347697,0.5121985398665646,0.5086057047439162,0.5323697681421258,0.5214576725363667,0.5012201957781909,0.5162635843530152,0.5561920013139525,0.5153327682379962,0.5487565623974625,0.5099744052996085,0.49684856697051827,0.5190966537915294,0.019094173642679152,1,0.05223373174667358,0.0178263182898419,0.030927032232284546,0.01341098276841075,True,False,True,True,True,"{'subset__CONTACT_DATE_0_HOLIDAYS': True, 'subset__CONTACT_DATE_1_HOLIDAYS': False, 'subset__CONTACT_DATE_2_HOLIDAYS': True, 'subset__CONTACT_DATE_3_HOLIDAYS': True, 'subset__CONTACT_DATE_WEEKDAY': True}"
3,0.5108006124904299,0.4890524171497321,0.5044688073143357,0.5091429197120254,0.4969033686973641,0.5076356228808925,0.5134201089485643,0.4886774246530344,0.4792190747019578,0.49581988953297607,0.5003490186417016,0.5079555719799623,0.5033187958000657,0.48933952203871817,0.4980530234595276,0.49733103391639977,0.5252173794159466,0.5200563272448868,0.4919075579644685,0.49457310229667956,0.5061419938750957,0.5007758667833315,0.5023131039391202,0.5232268484301004,0.5199572076998797,0.4919815706004594,0.510778516876078,0.5122430264706688,0.5322070162966204,0.5100008202996829,0.4953566833648136,0.5295844625112918,0.5233341080608116,0.4915714207590507,0.4882394404752128,0.5394870110317265,0.5208527015202887,0.46224912501367166,0.5176836111795461,0.49597602036626426,0.504929528342631,0.015308761578253997,1,0.05101000666618347,0.016106620466053854,0.023965007066726683,0.011439851250257444,False,True,False,False,False,"{'subset__CONTACT_DATE_0_HOLIDAYS': False, 'subset__CONTACT_DATE_1_HOLIDAYS': True, 'subset__CONTACT_DATE_2_HOLIDAYS': False, 'subset__CONTACT_DATE_3_HOLIDAYS': False, 'subset__CONTACT_DATE_WEEKDAY': False}"
4,0.5064598600021875,0.47122798862517773,0.5056766855547343,0.5108298431469163,0.5305971781690911,0.5248345728972984,0.47642071117680873,0.48132750266896607,0.501127912063874,0.4693447172700427,0.48978607210314523,0.5186417015685308,0.48255837799409385,0.49517732144810234,0.5165544332211,0.518053160329583,0.4601778683145576,0.5066854424149623,0.5051805316032958,0.5057759163450221,0.5040912446680521,0.5052123209012359,0.49264323451315317,0.5113704798664149,0.5087772066061468,0.4862907415509133,0.5187306671046508,0.5049820700227204,0.5132239144700864,0.5123352564803676,0.4848416413457064,0.5197811447811448,0.5171784425243355,0.5432297932844798,0.5324005639046289,0.48107771481755224,0.5009262550585148,0.521098791425134,0.5067032109715036,0.5031480112780926,0.503611735796674,0.017927855616168196,1,0.05414024591445923,0.020967283222322067,0.031009000539779664,0.011913730905197626,False,True,False,False,False,"{'subset__CONTACT_DATE_0_HOLIDAYS': False, 'subset__CONTACT_DATE_1_HOLIDAYS': True, 'subset__CONTACT_DATE_2_HOLIDAYS': False, 'subset__CONTACT_DATE_3_HOLIDAYS': False, 'subset__CONTACT_DATE_WEEKDAY': False}"
5,0.4934273487914251,0.49586090451711695,0.4840683255317402,0.5381388409843694,0.48797919173137916,0.4975937875970688,0.48627535517779413,0.509047110673127,0.4970127419884064,0.5510499835940063,0.5156955736224028,0.5256357614081191,0.48074346494586023,0.49970605928032374,0.5293688921737701,0.5119042730831348,0.530969730941704,0.5284780706551461,0.5350695299882292,0.4944567627494456,0.49749808596740674,0.535621513726348,0.4891941091128083,0.5269018094221346,0.5001914032593241,0.5214200754675709,0.5324553119268566,0.48515644247351564,0.49694438368150495,0.529650415618506,0.5200446196381155,0.5402397963373573,0.5135896314120091,0.49394003609318604,0.5258958145137006,0.5224090498480742,0.4748099639068139,0.5413499398446898,0.515312337466809,0.5025936875530371,0.5114410582888701,0.019757832368211624,1,0.05817614793777466,0.02613384110963521,0.029278492927551268,0.015041881397024299,False,False,True,True,False,"{'subset__CONTACT_DATE_0_HOLIDAYS': False, 'subset__CONTACT_DATE_1_HOLIDAYS': False, 'subset__CONTACT_DATE_2_HOLIDAYS': True, 'subset__CONTACT_DATE_3_HOLIDAYS': True, 'subset__CONTACT_DATE_WEEKDAY': False}"
6,0.5280850103904626,0.530217789565788,0.5147135309736935,0.5150728148695628,0.5046381111232637,0.521050940610303,0.5180052558101339,0.5104500287427116,0.5035341244668052,0.49590533741660286,0.48022912047302285,0.4648346609728723,0.4839528874548836,0.5134494968828612,0.4919417754783608,0.5194013303769401,0.5001640599365634,0.5383934430712021,0.4781897566450412,0.5060462347047713,0.5138528108935798,0.5423206278026905,0.517238783498946,0.5149462100681613,0.5182448321119983,0.5190856392868861,0.529218335112644,0.521680216802168,0.5056532319807503,0.5216046428962048,0.496845145219129,0.4968725192302428,0.5316328065186481,0.5353036475992562,0.5220258136924802,0.5002189920889107,0.4987763863064639,0.5052738433774472,0.5451602748350716,0.4968109277052367,0.5112780628492908,0.017559452828337534,1,0.04241940975189209,0.02003869504968545,0.023388361930847167,0.011519982658084058,False,False,True,False,False,"{'subset__CONTACT_DATE_0_HOLIDAYS': False, 'subset__CONTACT_DATE_1_HOLIDAYS': False, 'subset__CONTACT_DATE_2_HOLIDAYS': True, 'subset__CONTACT_DATE_3_HOLIDAYS': False, 'subset__CONTACT_DATE_WEEKDAY': False}"
7,0.5160095154763207,0.5132034069780159,0.4965063918315951,0.5036236347211958,0.5423582248714864,0.4990532374494149,0.5279625523527963,0.5265664777859901,0.5186413102920266,0.5268955758503773,0.5114115408830856,0.5201233199200679,0.48580197965656785,0.5559376025374603,0.5434357121348992,0.4951958610495196,0.5496623099639067,0.486280487804878,0.5228093947606143,0.5172353617475569,0.5215704637427541,0.5127009734222903,0.4965337658427089,0.5099265007801593,0.5019413759160013,0.512123345728973,0.534015630560346,0.5271960800416085,0.5154968281745598,0.49342393087608005,0.554761709233254,0.5076544578577098,0.5170793229793285,0.5054139779065953,0.4860871588513865,0.4611357477211136,0.499480476867549,0.49291124357431915,0.5301593167446826,0.5312303249295119,0.5142384681323734,0.020020156631423574,1,0.048398000001907346,0.02112652583327362,0.025805282592773437,0.014772816543535544,False,False,True,False,True,"{'subset__CONTACT_DATE_0_HOLIDAYS': False, 'subset__CONTACT_DATE_1_HOLIDAYS': False, 'subset__CONTACT_DATE_2_HOLIDAYS': True, 'subset__CONTACT_DATE_3_HOLIDAYS': False, 'subset__CONTACT_DATE_WEEKDAY': True}"
8,0.4951260527179263,0.4898795526632397,0.49636267827324737,0.48032835126331064,0.5177389806409274,0.47618396587553324,0.5017006104404478,0.5063815663409159,0.5015893306354587,0.462642185278355,0.5478463496756178,0.5188025238838248,0.5071092639177512,0.4520158864705238,0.5169958391503107,0.49400509156606714,0.47045895767253637,0.5042826479273762,0.5298171416057594,0.5224364238591881,0.49554645630537025,0.49406991687629875,0.49848758588595987,0.5153978812515398,0.500704090561085,0.4893087608006125,0.5064534231200898,0.512010347376201,0.5021943016515367,0.49571393415727877,0.5179641947934631,0.5237264241329282,0.4959634419774691,0.520490402493711,0.4593222194848211,0.4836440283594755,0.5168195614131029,0.49996923876189436,0.5066963674687253,0.484807423831814,0.5002720474780054,0.019281551485908818,1,0.04818616509437561,0.019182388558343606,0.028509742021560668,0.011401930798871874,False,False,False,True,True,"{'subset__CONTACT_DATE_0_HOLIDAYS': False, 'subset__CONTACT_DATE_1_HOLIDAYS': False, 'subset__CONTACT_DATE_2_HOLIDAYS': False, 'subset__CONTACT_DATE_3_HOLIDAYS': True, 'subset__CONTACT_DATE_WEEKDAY': True}"
9,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,1,0.01436469554901123,0.004463746480867872,0.007335048913955688,0.0031718979213656543,True,False,False,True,False,"{'subset__CONTACT_DATE_0_HOLIDAYS': True, 'subset__CONTACT_DATE_1_HOLIDAYS': False, 'subset__CONTACT_DATE_2_HOLIDAYS': False, 'subset__CONTACT_DATE_3_HOLIDAYS': True, 'subset__CONTACT_DATE_WEEKDAY': False}"
