,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,split10_test_score,split11_test_score,split12_test_score,split13_test_score,split14_test_score,split15_test_score,split16_test_score,split17_test_score,split18_test_score,split19_test_score,split20_test_score,split21_test_score,split22_test_score,split23_test_score,split24_test_score,split25_test_score,split26_test_score,split27_test_score,split28_test_score,split29_test_score,split30_test_score,split31_test_score,split32_test_score,split33_test_score,split34_test_score,split35_test_score,split36_test_score,split37_test_score,split38_test_score,split39_test_score,split40_test_score,split41_test_score,split42_test_score,split43_test_score,split44_test_score,split45_test_score,split46_test_score,split47_test_score,split48_test_score,split49_test_score,mean_test_score,std_test_score,rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subset__ACT,param_subset__BASE_TYPE,param_subset__COM_CAT#1,param_subset__COM_CAT#19,param_subset__COM_CAT#20,param_subset__COM_CAT#21,param_subset__COM_CAT#25,param_subset__COM_CAT#27,param_subset__COM_CAT#28,param_subset__COM_CAT#31,param_subset__COM_CAT#7,param_subset__ITC,param_subset__RENT_CHANNEL,param_subset__REVENUE,params
0,0.532584162072692,0.5434711981724416,0.521234593655527,0.5552020778901002,0.5630223793825151,0.5106784263299728,0.5262189992202783,0.5491241809501662,0.5228991970233781,0.5534263299727782,0.5448579401666143,0.530896474836874,0.5435464344828529,0.5292156272656389,0.5587142456533931,0.5152926350491771,0.5206788709081707,0.5543325855300056,0.5619280330492593,0.511918970493687,0.5300423717220908,0.5442594695156149,0.5077040271945064,0.5683043103566201,0.5426718123743212,0.5332920673570167,0.5383286253642121,0.5372402637374664,0.5469337783675088,0.5278169158584464,0.5460813851688713,0.5299295172564737,0.5211909907938115,0.5527500581371491,0.5221399942546818,0.5533587882850225,0.526695210866859,0.5483324897747014,0.5443569347359205,0.5319275542727384,0.5329808626184971,0.5423110200675759,0.530699834480117,0.5449212070640056,0.5274817722938867,0.5482948716194957,0.5281845478297744,0.5464507270563452,0.5430796273750735,0.5327936268005418,0.5375959604940974,0.014055505871909457,1,0.01090144157409668,0.004128978720227505,0.007822794914245606,0.0018241508106727816,True,False,False,True,False,True,True,False,True,False,False,True,True,False,"{'subset__ACT': True, 'subset__BASE_TYPE': False, 'subset__COM_CAT#1': False, 'subset__COM_CAT#19': True, 'subset__COM_CAT#20': False, 'subset__COM_CAT#21': True, 'subset__COM_CAT#25': True, 'subset__COM_CAT#27': False, 'subset__COM_CAT#28': True, 'subset__COM_CAT#31': False, 'subset__COM_CAT#7': False, 'subset__ITC': True, 'subset__RENT_CHANNEL': True, 'subset__REVENUE': False}"
1,0.5360458873096864,0.5380994966006867,0.5206027796396865,0.5447596199882359,0.5796667031448778,0.5252879498789379,0.5449554053869198,0.5544591193247883,0.5509050586159254,0.5312521373951822,0.5641278401707179,0.5314804112006347,0.5400240072226858,0.5470910906529144,0.5270602779639687,0.5210114495985118,0.543807196695074,0.57192334787902,0.5541786930768915,0.5249391269852127,0.5373736371968318,0.5318839514110228,0.5302005389655691,0.5423212795644501,0.5252725606336266,0.536933333789311,0.5399846791513344,0.5368213342817668,0.5111486532700437,0.5229675936692064,0.542601705812347,0.5461053239949113,0.5496251863808599,0.5431428942724649,0.5318138448490486,0.5675775959946925,0.5630548677892836,0.5389749736672913,0.5356286677701325,0.5456427916774962,0.5503211222521647,0.5610072432047932,0.5435319001956144,0.5400496559648715,0.5599000725004445,0.5571086343925693,0.5376121704991588,0.5395161621274093,0.542755598265461,0.5680238841087234,0.5426115891276692,0.014233194559179806,1,0.010370960235595703,0.0023582532182052007,0.007863779067993164,0.0019788203259911577,False,False,True,False,False,True,True,True,False,False,False,False,False,True,"{'subset__ACT': False, 'subset__BASE_TYPE': False, 'subset__COM_CAT#1': True, 'subset__COM_CAT#19': False, 'subset__COM_CAT#20': False, 'subset__COM_CAT#21': True, 'subset__COM_CAT#25': True, 'subset__COM_CAT#27': True, 'subset__COM_CAT#28': False, 'subset__COM_CAT#31': False, 'subset__COM_CAT#7': False, 'subset__ITC': False, 'subset__RENT_CHANNEL': False, 'subset__REVENUE': True}"
2,0.5383841976389478,0.5384842277334719,0.523404477244436,0.5444390107109147,0.5835849759927774,0.525679520676306,0.5437747082883055,0.5575557774646731,0.5527184246884532,0.5298876243109039,0.5641030463866052,0.53299368698959,0.5423631725100201,0.547805835601822,0.5291506504521019,0.5213893410667141,0.5423725770488216,0.5749216858405264,0.5595204711160964,0.52591719902056,0.53660075509897,0.5348104728944092,0.5303245078861333,0.5441842332052036,0.5266216844725935,0.5396760392870333,0.5402625405250127,0.5406301724963408,0.5134083074566024,0.5242346415331792,0.5442979426288935,0.5470671518268744,0.5524952806314378,0.5448126273887529,0.5310888404032666,0.5701151115549293,0.5622537720750175,0.5402599756507941,0.5364596870169487,0.5493584394621288,0.551525758176819,0.5621734060161689,0.5443107669999863,0.5425076604243327,0.5682487380818844,0.555803968373391,0.5386201660670561,0.5415005198145082,0.5447690245270372,0.5683026004404744,0.5441035080639646,0.014665455758067911,1,0.011410460472106934,0.0039674504515051345,0.008323602676391602,0.0023944546944966246,True,False,True,True,True,True,True,False,False,False,False,True,True,False,"{'subset__ACT': True, 'subset__BASE_TYPE': False, 'subset__COM_CAT#1': True, 'subset__COM_CAT#19': True, 'subset__COM_CAT#20': True, 'subset__COM_CAT#21': True, 'subset__COM_CAT#25': True, 'subset__COM_CAT#27': False, 'subset__COM_CAT#28': False, 'subset__COM_CAT#31': False, 'subset__COM_CAT#7': False, 'subset__ITC': True, 'subset__RENT_CHANNEL': True, 'subset__REVENUE': False}"
3,0.5362741611151389,0.5317924708972273,0.5464618415112923,0.5329073362242316,0.5642449694266993,0.5289557200114907,0.5424657674787629,0.5034728396919415,0.5411405824658359,0.5471201592273915,0.5018501292696607,0.5083153222165985,0.5504305568854904,0.5388458749982901,0.547651943148708,0.49529773059929133,0.5249647757273983,0.5452666101254394,0.5507451814563014,0.5090625555722748,0.5155328782676497,0.5280323652928061,0.5177916774961355,0.5164340040764401,0.5396683446643776,0.538756959358713,0.5208763662230004,0.5484966417246898,0.5229094565202523,0.5221348645062446,0.5083854287785727,0.5353901344678057,0.5337982025361476,0.5428607581084224,0.5254230332544492,0.5460018740680957,0.5288069573068137,0.5343231467928813,0.5474826614502825,0.5370675622067494,0.545162305240551,0.5464584216790008,0.5191305418382282,0.5330082212768286,0.506244613764141,0.5290566050640877,0.5085188022379383,0.5237336361024856,0.5335092267075223,0.5413423525710299,0.5308720914326361,0.015200623528131627,1,0.01045647144317627,0.0024485881913649723,0.008471431732177735,0.0027896824863179706,False,True,False,False,False,True,False,False,False,True,True,False,False,True,"{'subset__ACT': False, 'subset__BASE_TYPE': True, 'subset__COM_CAT#1': False, 'subset__COM_CAT#19': False, 'subset__COM_CAT#20': False, 'subset__COM_CAT#21': True, 'subset__COM_CAT#25': False, 'subset__COM_CAT#27': False, 'subset__COM_CAT#28': False, 'subset__COM_CAT#31': True, 'subset__COM_CAT#7': True, 'subset__ITC': False, 'subset__RENT_CHANNEL': False, 'subset__REVENUE': True}"
4,0.5080519951301588,0.5412047043213001,0.537212905079135,0.5474954858213754,0.5707862536421214,0.5120472142046154,0.5407225079682092,0.5460762554204341,0.5324388192003064,0.5553559703432143,0.5220656129023433,0.5288009726003037,0.5455196777150049,0.5382525340957279,0.5520224888171484,0.49877655499774287,0.5272124605009371,0.5582559881263423,0.5616450419271439,0.5193528309371708,0.5184303311765591,0.5302236228335362,0.5214449133414497,0.5672082541072185,0.5450545805233711,0.5425803318605256,0.5136203370586707,0.5349276021503905,0.5471218691435371,0.5398393362789489,0.5465353679055579,0.5401531058916871,0.5268311492004432,0.5597778134960262,0.5302954393116561,0.5566127587103129,0.5243757096152005,0.5628188993611754,0.5471449530115043,0.5375300945241646,0.5426555681709369,0.5445869184575188,0.5378336046400285,0.5490267157298606,0.5275134057425823,0.5279443046113018,0.5367931206653626,0.5483230852359,0.5420519677715006,0.544864779831197,0.5387483242821771,0.01520250361402229,1,0.011087861061096192,0.002982832188051814,0.008390626907348632,0.0018416024747828716,False,True,False,False,False,False,True,False,True,False,False,False,True,True,"{'subset__ACT': False, 'subset__BASE_TYPE': True, 'subset__COM_CAT#1': False, 'subset__COM_CAT#19': False, 'subset__COM_CAT#20': False, 'subset__COM_CAT#21': False, 'subset__COM_CAT#25': True, 'subset__COM_CAT#27': False, 'subset__COM_CAT#28': True, 'subset__COM_CAT#31': False, 'subset__COM_CAT#7': False, 'subset__ITC': False, 'subset__RENT_CHANNEL': True, 'subset__REVENUE': True}"
5,0.5355525765016484,0.536832448736714,0.5187663296991916,0.5447074675457916,0.5774805753525847,0.5272996662243683,0.5453392815616322,0.5544052569661984,0.5536101459584423,0.5303048438504576,0.5631369437642778,0.5320951260550183,0.5377925666525314,0.5480546284010233,0.5255974447013119,0.5207848857092048,0.5406318824124865,0.5703801485575147,0.5575993803263888,0.5214107150185354,0.5367580673843755,0.5310717412418096,0.529696968660657,0.5430659480459078,0.5251939044909237,0.5363930002872659,0.5382747630056222,0.5368050900783825,0.5102817257841675,0.5212516928169842,0.5399504808284202,0.545429907117355,0.549926986580578,0.5418476327920878,0.5292181921398574,0.568144433196996,0.562582930933067,0.5371248443976308,0.5331433046523398,0.5439773333515724,0.5510880196435166,0.5590263053499857,0.5427359342297854,0.5395785740667277,0.5634130952218104,0.5548156368411693,0.5368495478981711,0.5387449899456931,0.5373197748382419,0.5673339329439284,0.541856541455207,0.01453793496947638,1,0.010747876167297363,0.0030745332037007654,0.008766655921936034,0.002145953286627818,False,False,True,True,False,True,True,False,False,False,False,False,True,True,"{'subset__ACT': False, 'subset__BASE_TYPE': False, 'subset__COM_CAT#1': True, 'subset__COM_CAT#19': True, 'subset__COM_CAT#20': False, 'subset__COM_CAT#21': True, 'subset__COM_CAT#25': True, 'subset__COM_CAT#27': False, 'subset__COM_CAT#28': False, 'subset__COM_CAT#31': False, 'subset__COM_CAT#7': False, 'subset__ITC': False, 'subset__RENT_CHANNEL': True, 'subset__REVENUE': True}"
6,0.53536448572562,0.5368256090721311,0.519589654323352,0.543949974693241,0.5810611397617061,0.5215415236036826,0.5431086959495506,0.5522439229580182,0.5489925174069463,0.5318095700586842,0.5599163167038288,0.5317728068615515,0.5382841675444237,0.545138366414511,0.5255589715880333,0.5199675457915544,0.5412688261767643,0.5734092650096438,0.5530954611985829,0.5254794604872577,0.5351592957881346,0.5330381448093786,0.5306750406960044,0.5392605296636253,0.5237370559347769,0.5371385237267965,0.5391066372105112,0.5353559361448914,0.5097217282464468,0.5228658536585366,0.540640431993215,0.5447544902397986,0.5503809693172648,0.5399880989836259,0.5328175656265817,0.5646134563561003,0.5601121021025129,0.5388005622204287,0.5368076549526011,0.5426521483386455,0.5502843590550319,0.5582303393841566,0.5444988577760146,0.5385637388342476,0.55780029547351,0.5551687345252588,0.5358654911563137,0.5381123209717795,0.5401513959755414,0.5677007099571837,0.54144761500896,0.014119771913499416,1,0.010096883773803711,0.003215169562214549,0.007498350143432617,0.0020285071315535187,False,False,True,False,False,False,False,True,False,False,False,False,False,True,"{'subset__ACT': False, 'subset__BASE_TYPE': False, 'subset__COM_CAT#1': True, 'subset__COM_CAT#19': False, 'subset__COM_CAT#20': False, 'subset__COM_CAT#21': False, 'subset__COM_CAT#25': False, 'subset__COM_CAT#27': True, 'subset__COM_CAT#28': False, 'subset__COM_CAT#31': False, 'subset__COM_CAT#7': False, 'subset__ITC': False, 'subset__RENT_CHANNEL': False, 'subset__REVENUE': True}"
7,0.556451171634543,0.5428513535696209,0.5339435454085332,0.5400864191620043,0.5815775344377112,0.5376412390736358,0.5501167872727522,0.5521028548759969,0.5573565722336977,0.5411653762499486,0.5572804809652134,0.5363237486833645,0.5517497571919073,0.5527594626759504,0.5445929031640289,0.5272688877337455,0.5366623120802155,0.5640397794892139,0.5538067863151992,0.518484193535149,0.5476185997838665,0.5378524137176313,0.5362117491758204,0.5541633038315801,0.5446176969481417,0.549862009767041,0.5459445918772143,0.5555312367481499,0.5087086029301123,0.5235198965842716,0.5469260837448531,0.5464071241946296,0.5587809323830759,0.5461523466889183,0.5381550688754223,0.5735349438463537,0.5614723403964269,0.5510931493919539,0.5508152880182756,0.5650862481703898,0.5556021982681969,0.56715182687441,0.5420741966813948,0.5487992968824809,0.559201571754921,0.5585244449612191,0.5298303421200223,0.5312222138626321,0.5495311409928457,0.5634361790897775,0.5476817640862892,0.013524606353803193,1,0.011988973617553711,0.0035549213314037295,0.009147133827209473,0.0022144391765612074,False,False,True,False,True,True,False,True,True,False,True,False,False,True,"{'subset__ACT': False, 'subset__BASE_TYPE': False, 'subset__COM_CAT#1': True, 'subset__COM_CAT#19': False, 'subset__COM_CAT#20': True, 'subset__COM_CAT#21': True, 'subset__COM_CAT#25': False, 'subset__COM_CAT#27': True, 'subset__COM_CAT#28': True, 'subset__COM_CAT#31': False, 'subset__COM_CAT#7': True, 'subset__ITC': False, 'subset__RENT_CHANNEL': False, 'subset__REVENUE': True}"
8,0.5245971437560701,0.5441141266432294,0.512364403649645,0.558751008850526,0.5519814508296513,0.5175830677263586,0.5306314378342887,0.5388253560045415,0.5172564737425277,0.5543137764524028,0.5440064019260495,0.526368616883028,0.5365426179500157,0.5302569661983776,0.5582363240906666,0.5045312777861374,0.5229368151785836,0.5465370778217036,0.5572155041516764,0.5115521934804317,0.5278015266131348,0.5415817408314296,0.49339117409682226,0.5533254449201811,0.5367238690614613,0.5336836381543849,0.5408122785658591,0.5264797614324994,0.5436986170198213,0.5267413786027934,0.5351439065428232,0.5310281383800939,0.5219758423046933,0.5471064798982258,0.5283589592766371,0.5412226584408302,0.5276920919798094,0.5414705962819584,0.5347848241522236,0.535025922328769,0.5241645349712051,0.5464532919305638,0.5336819282382392,0.5375155602369259,0.507260303954694,0.5547498050695594,0.5330219006059944,0.5374009958551633,0.5404583259236966,0.5301560811457806,0.5340302723554435,0.014079225579297864,1,0.010362186431884766,0.003917090812495206,0.007504515647888184,0.0016887578647948836,False,False,False,True,True,True,True,True,False,True,False,True,True,True,"{'subset__ACT': False, 'subset__BASE_TYPE': False, 'subset__COM_CAT#1': False, 'subset__COM_CAT#19': True, 'subset__COM_CAT#20': True, 'subset__COM_CAT#21': True, 'subset__COM_CAT#25': True, 'subset__COM_CAT#27': True, 'subset__COM_CAT#28': False, 'subset__COM_CAT#31': True, 'subset__COM_CAT#7': False, 'subset__ITC': True, 'subset__RENT_CHANNEL': True, 'subset__REVENUE': True}"
9,0.5261377782033569,0.5439935775549567,0.5157260987921153,0.5560493413403007,0.5527175697303803,0.5146428669138066,0.5266062952272821,0.5429206051735224,0.5189014130747028,0.5524089298660793,0.5429778873644036,0.526440433361148,0.5390040422417685,0.5270389040121473,0.5523507927171252,0.5148625911385306,0.5181712788804836,0.5496799036975226,0.5552302915065045,0.5131330109571426,0.5323276746508352,0.5365665567760557,0.5041619358986634,0.5669055989494275,0.5381251453428725,0.53299368698959,0.5366828310739641,0.5333245557637853,0.5458950043089887,0.5245877392172688,0.5449100926090584,0.5260770761801841,0.5190809542700026,0.5503228321683105,0.5247416316703829,0.5440021271356852,0.5267866913806547,0.5420348686100434,0.540902049163509,0.530165485684582,0.523433545818913,0.5458642258183658,0.5300295473509979,0.5400812894135671,0.5154260085085427,0.5504715948729875,0.5275894970110666,0.5424221646170472,0.5377335745455043,0.532203705730271,0.5346968660656881,0.013420033931923106,1,0.010379672050476074,0.002639010424198328,0.008561201095581054,0.003190872233671706,True,False,False,True,False,True,True,True,False,False,False,True,True,False,"{'subset__ACT': True, 'subset__BASE_TYPE': False, 'subset__COM_CAT#1': False, 'subset__COM_CAT#19': True, 'subset__COM_CAT#20': False, 'subset__COM_CAT#21': True, 'subset__COM_CAT#25': True, 'subset__COM_CAT#27': True, 'subset__COM_CAT#28': False, 'subset__COM_CAT#31': False, 'subset__COM_CAT#7': False, 'subset__ITC': True, 'subset__RENT_CHANNEL': True, 'subset__REVENUE': False}"
