,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,split10_test_score,split11_test_score,split12_test_score,split13_test_score,split14_test_score,split15_test_score,split16_test_score,split17_test_score,split18_test_score,split19_test_score,mean_test_score,std_test_score,rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subset__CONTACT_DATE_WEEKDAY,params
0,0.495478126752664,0.49111869553917076,0.5012431090379328,0.504931398164234,0.5081409107697359,0.5056606774003803,0.49657845779242993,0.5028606897117766,0.5118215052733814,0.5166349192235613,0.5175232206612588,0.5087599004144837,0.5183397056208363,0.5260804960124755,0.5016594736194137,0.4993194533740065,0.4705039464864643,0.4738365730544574,0.47945108271890347,0.48814771623599584,0.5009045028931782,0.014429714178805349,1,0.022126209735870362,0.007667159995210471,0.017542850971221925,0.005480701686870827,True,{'subset__CONTACT_DATE_WEEKDAY': True}
1,0.4946838707029807,0.4978651696920783,0.4710776233533507,0.49421107888869137,0.5017022215230565,0.49958876516695616,0.5091275323858118,0.4989817449352284,0.4591073553752924,0.4618680149925448,0.49371434824836186,0.501966403567569,0.5007737370559349,0.5036207474385456,0.5027179117136096,0.49114348932328356,0.47869957457286305,0.48769971820581914,0.4780412568567638,0.4865942574176162,0.4906592410708178,0.013750137359112976,1,0.008769381046295165,0.0036882244040345666,0.0070279955863952635,0.006411915740589365,True,{'subset__CONTACT_DATE_WEEKDAY': True}
2,0.4924951780364691,0.4925627197242247,0.48648909757465497,0.5030222767875463,0.5002068998536312,0.49743170594914027,0.4906279496053514,0.48775016073211763,0.5020048766808476,0.4990715155328782,0.49004401324159064,0.4916513344185601,0.49062880456342417,0.4948728164370819,0.4875560852495794,0.48223910099448725,0.4913649234641533,0.5015132757889553,0.5075945925611808,0.5055871510061147,0.4947357239100995,0.006772942191731692,1,0.021142446994781496,0.013993896217844177,0.019036900997161866,0.012060870664759662,True,{'subset__CONTACT_DATE_WEEKDAY': True}
3,0.5138451910318318,0.5144958141252752,0.479280946062405,0.4963801075195272,0.49028340150199035,0.4970503946486464,0.4921309658974324,0.4910417493126137,0.4957115303065538,0.49629290179609586,0.4904586679069258,0.4789876954434154,0.48042573492195945,0.4910887720066207,0.5152362078163686,0.515983441172045,0.49563372912192394,0.4859735578567227,0.4953105549703842,0.4861103511483796,0.49508608572835583,0.011296314686891564,1,0.009183228015899658,0.006634190320881999,0.006962764263153076,0.006182599844853511,True,{'subset__CONTACT_DATE_WEEKDAY': True}
4,0.5122891673392337,0.50352926692475,0.4860376797121869,0.49217456875914806,0.4881340369068301,0.49977001627840173,0.4808643284133346,0.49815585543684937,0.5045022092116602,0.49392723280850304,0.5110905161210895,0.5103039546940618,0.48878295008412787,0.4907767123100283,0.5082332462416043,0.5059847065099927,0.4857256200155944,0.49817295459830646,0.5093472566105358,0.4996272382802347,0.49837147586282365,0.009414005439583978,1,0.013959050178527832,0.012165034305184223,0.013776063919067383,0.008568801198841887,True,{'subset__CONTACT_DATE_WEEKDAY': True}
5,0.5048416275665841,0.49751976663064434,0.4955935460924996,0.4926037577117218,0.5013234750967812,0.5009464385866518,0.5093438367782444,0.51296458421679,0.4922335608661751,0.48683963038452593,0.4928602451335786,0.49790877255379395,0.4888282628619892,0.4757174808147408,0.5118753676319713,0.49910143906542825,0.4917658988003228,0.49650065660779996,0.4911033062938593,0.48071898554094905,0.49602953196175253,0.00928050063913141,1,0.01365584135055542,0.0084991882304562,0.00842665433883667,0.003743005138745685,True,{'subset__CONTACT_DATE_WEEKDAY': True}
6,0.5067900770146232,0.512667913765509,0.5027067972586624,0.49535244791595423,0.5199230879717659,0.5096157134454126,0.5064669028630835,0.4966203507379998,0.48008289673474414,0.4826776944858624,0.4912828474891592,0.4865677537173577,0.4848450132005526,0.47682465151908954,0.501597916638168,0.4938605460788203,0.49993844301875434,0.49038086672229597,0.497914757260304,0.4969572042187051,0.4966536941028412,0.011001156542818129,1,0.014075148105621337,0.007550344688555839,0.011169183254241943,0.005486143955604547,True,{'subset__CONTACT_DATE_WEEKDAY': True}
7,0.5200008891563956,0.5082853986840485,0.5047398875559143,0.49637497777109013,0.4839438873917623,0.46401566967155927,0.4832812948852988,0.47646385921234424,0.48125589921070266,0.4600409695908513,0.5038943340218596,0.49464625254777506,0.48817507489432715,0.4994040942232193,0.49368014992544773,0.4879100378917417,0.5169529636266637,0.5106681668330985,0.48632580058273944,0.4733971246050094,0.49167283661409245,0.015996387892322213,1,0.013132154941558838,0.008916176394630838,0.01049445867538452,0.011727326249592267,True,{'subset__CONTACT_DATE_WEEKDAY': True}
8,0.4938639659111117,0.49827212973475776,0.4887649959645979,0.4926550551960932,0.488782095126055,0.49828922889621496,0.4925336511497477,0.4884358371065483,0.5117548185436986,0.5149104687906105,0.5255495670492318,0.5097277129529567,0.4761603490964803,0.47464279851716074,0.5232787984077262,0.5189877638400613,0.5006625925064635,0.4958440488078465,0.4832470965623846,0.48928823030518587,0.49828256022324663,0.014343702378375274,1,0.012960350513458252,0.006384425169319383,0.01687268018722534,0.009539077525327837,True,{'subset__CONTACT_DATE_WEEKDAY': True}
9,0.5075133715442596,0.5012533685348071,0.5047133838556557,0.5084922985376796,0.447261911275871,0.4697464536339139,0.5099739408779393,0.5007532180621862,0.488306738437547,0.4953686921193385,0.5025409353925283,0.494533398082158,0.5011704376017401,0.5009113853056646,0.49987261124714444,0.49949728465316057,0.4943333378931097,0.5013209102225628,0.49858931917978744,0.5028487202987566,0.4964500858377906,0.014031929582492102,1,0.01339033842086792,0.011346446626721329,0.016911280155181885,0.013989511018831058,True,{'subset__CONTACT_DATE_WEEKDAY': True}
