,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,split10_test_score,split11_test_score,split12_test_score,split13_test_score,split14_test_score,split15_test_score,split16_test_score,split17_test_score,split18_test_score,split19_test_score,split20_test_score,split21_test_score,split22_test_score,split23_test_score,split24_test_score,split25_test_score,split26_test_score,split27_test_score,split28_test_score,split29_test_score,split30_test_score,split31_test_score,split32_test_score,split33_test_score,split34_test_score,split35_test_score,split36_test_score,split37_test_score,split38_test_score,split39_test_score,split40_test_score,split41_test_score,split42_test_score,split43_test_score,split44_test_score,split45_test_score,split46_test_score,split47_test_score,split48_test_score,split49_test_score,mean_test_score,std_test_score,rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subset__ACT,param_subset__ARPU_GROUP,param_subset__BASE_TYPE,param_subset__COM_CAT#1,param_subset__COM_CAT#17,param_subset__COM_CAT#18,param_subset__COM_CAT#19,param_subset__COM_CAT#20,param_subset__COM_CAT#21,param_subset__COM_CAT#22,param_subset__COM_CAT#23,param_subset__COM_CAT#25,param_subset__COM_CAT#26,param_subset__COM_CAT#27,param_subset__COM_CAT#28,param_subset__COM_CAT#29,param_subset__COM_CAT#30,param_subset__COM_CAT#31,param_subset__COM_CAT#32,param_subset__COM_CAT#33,param_subset__COM_CAT#34,param_subset__COM_CAT#7,param_subset__COST,param_subset__DEVICE_TYPE_ID,param_subset__INTERNET_TYPE_ID,param_subset__ITC,param_subset__RENT_CHANNEL,param_subset__REVENUE,param_subset__ROAM,params
0,0.5530014158105686,0.5478733772895777,0.5463541167941124,0.5377780323652928,0.5566948346853071,0.5301962641752048,0.548459878527557,0.5531467586829542,0.540325807422404,0.5494217063595201,0.5684513631451513,0.5313709765673091,0.5628496778517982,0.5577985855573642,0.5456282573902576,0.5311666415878966,0.5448357112567199,0.543884997879704,0.5217903164028835,0.5046911549457614,0.5315188843139133,0.5256974747958361,0.5264318837804194,0.542637614051407,0.5564768203767287,0.5469893506422444,0.5394443456492894,0.5499210018740681,0.5225520840457983,0.5240927184930851,0.549213951547816,0.5373505533288647,0.5517489022338344,0.5555072979221098,0.5291822839007976,0.560348925488694,0.5416834808420996,0.5391305760365512,0.5523661819624366,0.5578704020354841,0.5506588306909429,0.5534998563670438,0.5329611985828215,0.5482196353090845,0.5590912821635228,0.5477254695429736,0.5366794112416727,0.5442167216119722,0.5564221030600659,0.561733957566721,0.5441418614831129,0.012732234148773267,1,0.020320034027099608,0.0038951234823471864,0.015427827835083008,0.0029805346533881534,True,False,False,True,False,True,True,False,True,False,False,True,True,False,True,False,False,False,True,False,True,True,False,False,True,False,True,False,True,"{'subset__ACT': True, 'subset__ARPU_GROUP': False, 'subset__BASE_TYPE': False, 'subset__COM_CAT#1': True, 'subset__COM_CAT#17': False, 'subset__COM_CAT#18': True, 'subset__COM_CAT#19': True, 'subset__COM_CAT#20': False, 'subset__COM_CAT#21': True, 'subset__COM_CAT#22': False, 'subset__COM_CAT#23': False, 'subset__COM_CAT#25': True, 'subset__COM_CAT#26': True, 'subset__COM_CAT#27': False, 'subset__COM_CAT#28': True, 'subset__COM_CAT#29': False, 'subset__COM_CAT#30': False, 'subset__COM_CAT#31': False, 'subset__COM_CAT#32': True, 'subset__COM_CAT#33': False, 'subset__COM_CAT#34': True, 'subset__COM_CAT#7': True, 'subset__COST': False, 'subset__DEVICE_TYPE_ID': False, 'subset__INTERNET_TYPE_ID': True, 'subset__ITC': False, 'subset__RENT_CHANNEL': True, 'subset__REVENUE': False, 'subset__ROAM': True}"
1,0.5269978660246502,0.5289343460596693,0.5208336183193576,0.5305168734525259,0.5378096658139885,0.5181370805575695,0.5187765891960658,0.5234420953996416,0.5118163755249443,0.5566785904819228,0.5503715647784633,0.5086530306553767,0.5372864314734005,0.5384560141170677,0.5303809351189417,0.5084922985376796,0.5369555626992053,0.5438157462758026,0.5040277074812252,0.506119789885504,0.5088881441254122,0.49901166846777834,0.5072295254640712,0.5121840074962725,0.531235038233725,0.5314402281712105,0.5112025156286336,0.52119355566803,0.5351832346141745,0.5130090420365785,0.5244150376865518,0.5156200839910811,0.5245937239237788,0.5246604106534615,0.5135134672995636,0.5203839103730353,0.5028974529089093,0.5232505847913218,0.538745844903766,0.5249562261466697,0.5169837421172866,0.5179130815424812,0.5069046413963859,0.5328765577336088,0.5204497421446452,0.5199504466300973,0.5319266993146656,0.5443860033103977,0.5358911398984993,0.5282931275050271,0.5235538213206025,0.012809058407124799,1,0.029358510971069337,0.012404630881678688,0.02212306022644043,0.00948620561216628,False,False,True,False,False,True,True,True,False,False,False,False,False,True,False,True,True,False,False,True,True,False,True,True,False,True,False,True,True,"{'subset__ACT': False, 'subset__ARPU_GROUP': False, 'subset__BASE_TYPE': True, 'subset__COM_CAT#1': False, 'subset__COM_CAT#17': False, 'subset__COM_CAT#18': True, 'subset__COM_CAT#19': True, 'subset__COM_CAT#20': True, 'subset__COM_CAT#21': False, 'subset__COM_CAT#22': False, 'subset__COM_CAT#23': False, 'subset__COM_CAT#25': False, 'subset__COM_CAT#26': False, 'subset__COM_CAT#27': True, 'subset__COM_CAT#28': False, 'subset__COM_CAT#29': True, 'subset__COM_CAT#30': True, 'subset__COM_CAT#31': False, 'subset__COM_CAT#32': False, 'subset__COM_CAT#33': True, 'subset__COM_CAT#34': True, 'subset__COM_CAT#7': False, 'subset__COST': True, 'subset__DEVICE_TYPE_ID': True, 'subset__INTERNET_TYPE_ID': False, 'subset__ITC': True, 'subset__RENT_CHANNEL': False, 'subset__REVENUE': True, 'subset__ROAM': True}"
2,0.5504391064662189,0.5485735879512469,0.5422468982121117,0.5399846791513344,0.5674134440447041,0.5393007126930495,0.5518703062801801,0.5514394074114606,0.5468841907992832,0.5503348015813304,0.5628650670971096,0.5310161689670738,0.5700108066700409,0.5570701612792908,0.5437670136656498,0.5273774674089982,0.5516103990260317,0.563195080913232,0.5361955049724362,0.5112597978195149,0.5467063595201291,0.5269328892111131,0.5288343159651451,0.5463934448654638,0.5555637251549184,0.5481597882439846,0.5387586692748587,0.5504408163823646,0.5190279468694855,0.5241440159774564,0.5469457477805288,0.5442475001025949,0.5520361681463141,0.5572137942355306,0.5308263682748998,0.5611602806998345,0.5401180526107,0.5420006702871291,0.5536332298264093,0.5598863931712789,0.559101541660397,0.5505673501771473,0.5309768408957225,0.5525029752540935,0.551632627935926,0.5505194725250674,0.5399932287320629,0.5459420270029958,0.5620152387726906,0.5617621711831252,0.5464179650629933,0.012536958612778778,1,0.032825961112976074,0.014731035198476563,0.022017135620117187,0.011438021659838152,True,False,True,True,True,True,True,False,False,False,False,True,True,False,True,True,False,True,False,False,True,True,False,False,False,True,False,False,False,"{'subset__ACT': True, 'subset__ARPU_GROUP': False, 'subset__BASE_TYPE': True, 'subset__COM_CAT#1': True, 'subset__COM_CAT#17': True, 'subset__COM_CAT#18': True, 'subset__COM_CAT#19': True, 'subset__COM_CAT#20': False, 'subset__COM_CAT#21': False, 'subset__COM_CAT#22': False, 'subset__COM_CAT#23': False, 'subset__COM_CAT#25': True, 'subset__COM_CAT#26': True, 'subset__COM_CAT#27': False, 'subset__COM_CAT#28': True, 'subset__COM_CAT#29': True, 'subset__COM_CAT#30': False, 'subset__COM_CAT#31': True, 'subset__COM_CAT#32': False, 'subset__COM_CAT#33': False, 'subset__COM_CAT#34': True, 'subset__COM_CAT#7': True, 'subset__COST': False, 'subset__DEVICE_TYPE_ID': False, 'subset__INTERNET_TYPE_ID': False, 'subset__ITC': True, 'subset__RENT_CHANNEL': False, 'subset__REVENUE': False, 'subset__ROAM': False}"
3,0.5229983721598293,0.5246039834206531,0.5079066522577732,0.5201120337058671,0.5163604776821744,0.5091104332243547,0.518097752486218,0.5267071802798791,0.5132603997099981,0.5323909415482265,0.5481341395017988,0.5200487668084757,0.5263463879731338,0.5273791773251439,0.5312435878144536,0.5182123168679807,0.5202864451527297,0.5251340574258239,0.49718034827572055,0.4983858391584477,0.5020125713035033,0.49666737343200695,0.50823495615775,0.49586542275966783,0.5298500061556981,0.5284273559224656,0.5135459557063322,0.5159073499035607,0.5299594407890237,0.5140674801307744,0.5212132197037057,0.5157500376181553,0.5258932601945201,0.5260437328153427,0.513362994678741,0.5197461116506847,0.5130500800240756,0.519869225613176,0.5406002489637908,0.5222357495588417,0.5110204095591152,0.527610016004815,0.5154319932150527,0.5256829405085975,0.5307100939769913,0.519643516681942,0.5317787915680615,0.5260215039054486,0.5259360080981629,0.5366264038411556,0.5201332708643968,0.01090015381141278,1,0.030182924270629883,0.008827909030081817,0.0242390775680542,0.009923939660606831,False,True,False,False,False,True,False,False,False,True,True,False,False,True,False,True,True,True,False,True,True,False,True,True,True,False,False,False,False,"{'subset__ACT': False, 'subset__ARPU_GROUP': True, 'subset__BASE_TYPE': False, 'subset__COM_CAT#1': False, 'subset__COM_CAT#17': False, 'subset__COM_CAT#18': True, 'subset__COM_CAT#19': False, 'subset__COM_CAT#20': False, 'subset__COM_CAT#21': False, 'subset__COM_CAT#22': True, 'subset__COM_CAT#23': True, 'subset__COM_CAT#25': False, 'subset__COM_CAT#26': False, 'subset__COM_CAT#27': True, 'subset__COM_CAT#28': False, 'subset__COM_CAT#29': True, 'subset__COM_CAT#30': True, 'subset__COM_CAT#31': True, 'subset__COM_CAT#32': False, 'subset__COM_CAT#33': True, 'subset__COM_CAT#34': True, 'subset__COM_CAT#7': False, 'subset__COST': True, 'subset__DEVICE_TYPE_ID': True, 'subset__INTERNET_TYPE_ID': True, 'subset__ITC': False, 'subset__RENT_CHANNEL': False, 'subset__REVENUE': False, 'subset__ROAM': False}"
4,0.5241269168159994,0.5275980465917952,0.51290473715169,0.517533480158133,0.5248433716810528,0.5101945200607363,0.5237285063540483,0.5172103060065935,0.5196127381913191,0.5323174151539608,0.5401864492565285,0.5161330588347948,0.5330714881742199,0.5309546119858282,0.5313359232863221,0.5150318728369561,0.5181764086289209,0.5250742103607239,0.4853169500567692,0.4930628701968456,0.5108990055127697,0.5095344924284912,0.5078348357796534,0.5101278333310535,0.5325414141690492,0.5268764619783046,0.5142692502359685,0.5237524451800883,0.5221040860156217,0.5131372857475069,0.522287047043213,0.5163143099462403,0.5237404757670684,0.5243030381790077,0.5117231850950029,0.5277861373678234,0.5194844944803907,0.518342270495055,0.5425085153824056,0.5247322271315815,0.5207395729313434,0.5329124659726687,0.5093412719040258,0.5274185053964954,0.530486094961903,0.5283110816245572,0.5228974871072323,0.5206267184657264,0.5386475247253875,0.5350054033350204,0.5213419763894779,0.010684894530774999,1,0.09112184047698975,0.03403139075295158,0.06341771602630615,0.023344347061406874,False,True,False,False,False,False,True,False,True,False,False,False,True,True,True,False,True,True,False,False,True,True,False,False,True,True,False,False,False,"{'subset__ACT': False, 'subset__ARPU_GROUP': True, 'subset__BASE_TYPE': False, 'subset__COM_CAT#1': False, 'subset__COM_CAT#17': False, 'subset__COM_CAT#18': False, 'subset__COM_CAT#19': True, 'subset__COM_CAT#20': False, 'subset__COM_CAT#21': True, 'subset__COM_CAT#22': False, 'subset__COM_CAT#23': False, 'subset__COM_CAT#25': False, 'subset__COM_CAT#26': True, 'subset__COM_CAT#27': True, 'subset__COM_CAT#28': True, 'subset__COM_CAT#29': False, 'subset__COM_CAT#30': True, 'subset__COM_CAT#31': True, 'subset__COM_CAT#32': False, 'subset__COM_CAT#33': False, 'subset__COM_CAT#34': True, 'subset__COM_CAT#7': True, 'subset__COST': False, 'subset__DEVICE_TYPE_ID': False, 'subset__INTERNET_TYPE_ID': True, 'subset__ITC': True, 'subset__RENT_CHANNEL': False, 'subset__REVENUE': False, 'subset__ROAM': False}"
5,0.546968831648496,0.5481272998372161,0.5325559484562876,0.5400906939523685,0.5702040271945064,0.5339999726413416,0.5527611725920961,0.5608328317579306,0.5395751542344364,0.5514471020341163,0.5632275693200005,0.5325961314857119,0.5577276240373172,0.5591477093963312,0.5333125863507654,0.5281836928717016,0.5595948524684349,0.5713240222699478,0.5445663994637703,0.5178720435549841,0.5409114537023104,0.5213200894628127,0.5284948976102212,0.5433566337906789,0.5501860388766535,0.5445723841702803,0.5387979973462101,0.542143448285296,0.5202531017878883,0.524206427916775,0.5509828598005553,0.5456017536899991,0.5560151430173864,0.551300049245585,0.5330210456479214,0.5526560127491348,0.5345232069819297,0.5388219361722502,0.5489181360546079,0.560741351244135,0.5563879047371517,0.548406016168967,0.535608148776384,0.5444509801239348,0.5601993078259442,0.5495379806574285,0.5502835040969591,0.5489018918512236,0.5583483235982106,0.5691840622135891,0.5458449550634037,0.012863742119099096,1,0.02994873046875,0.012263610404531555,0.021056027412414552,0.008305894900011311,False,False,True,True,False,True,True,False,False,False,False,False,True,True,False,True,False,False,False,True,True,False,False,False,False,False,True,True,False,"{'subset__ACT': False, 'subset__ARPU_GROUP': False, 'subset__BASE_TYPE': True, 'subset__COM_CAT#1': True, 'subset__COM_CAT#17': False, 'subset__COM_CAT#18': True, 'subset__COM_CAT#19': True, 'subset__COM_CAT#20': False, 'subset__COM_CAT#21': False, 'subset__COM_CAT#22': False, 'subset__COM_CAT#23': False, 'subset__COM_CAT#25': False, 'subset__COM_CAT#26': True, 'subset__COM_CAT#27': True, 'subset__COM_CAT#28': False, 'subset__COM_CAT#29': True, 'subset__COM_CAT#30': False, 'subset__COM_CAT#31': False, 'subset__COM_CAT#32': False, 'subset__COM_CAT#33': True, 'subset__COM_CAT#34': True, 'subset__COM_CAT#7': False, 'subset__COST': False, 'subset__DEVICE_TYPE_ID': False, 'subset__INTERNET_TYPE_ID': False, 'subset__ITC': False, 'subset__RENT_CHANNEL': True, 'subset__REVENUE': True, 'subset__ROAM': False}"
6,0.5330321601028686,0.5284598443292341,0.5484231153304242,0.5241747944680792,0.5344240318454783,0.5165006908061228,0.5324918266008235,0.5121575037960138,0.5310520772061338,0.5564221030600659,0.5239730243628853,0.5132433005485411,0.5374899114947403,0.5362433826245161,0.5409439421090789,0.5089633804358233,0.5061214998016497,0.5164374239087315,0.4992151484891181,0.4954806916268827,0.5086658550264695,0.5209738314433061,0.5138691298578717,0.520748122512072,0.5428522085276938,0.538483372775399,0.5173898472018932,0.5555705648195013,0.5373257595447519,0.5199239429298387,0.5135733143646635,0.520997770269346,0.5317172345868159,0.5473612574039369,0.5219142853234477,0.548578717699684,0.5312658167243479,0.5326747876284147,0.5503348015813304,0.5297217624447698,0.5407267827585736,0.5470859609044773,0.5226786178405811,0.5270765221673529,0.5212884560141171,0.5266729819569649,0.5092523562644488,0.5168597731967224,0.5291386810390818,0.5460429120555927,0.5277203055962135,0.014291033199198253,1,0.02123857498168945,0.006982485218969275,0.01607156276702881,0.004859230092717039,False,False,True,False,False,False,False,True,False,False,False,False,False,True,True,False,True,True,False,False,False,True,True,False,True,True,False,True,False,"{'subset__ACT': False, 'subset__ARPU_GROUP': False, 'subset__BASE_TYPE': True, 'subset__COM_CAT#1': False, 'subset__COM_CAT#17': False, 'subset__COM_CAT#18': False, 'subset__COM_CAT#19': False, 'subset__COM_CAT#20': True, 'subset__COM_CAT#21': False, 'subset__COM_CAT#22': False, 'subset__COM_CAT#23': False, 'subset__COM_CAT#25': False, 'subset__COM_CAT#26': False, 'subset__COM_CAT#27': True, 'subset__COM_CAT#28': True, 'subset__COM_CAT#29': False, 'subset__COM_CAT#30': True, 'subset__COM_CAT#31': True, 'subset__COM_CAT#32': False, 'subset__COM_CAT#33': False, 'subset__COM_CAT#34': False, 'subset__COM_CAT#7': True, 'subset__COST': True, 'subset__DEVICE_TYPE_ID': False, 'subset__INTERNET_TYPE_ID': True, 'subset__ITC': True, 'subset__RENT_CHANNEL': False, 'subset__REVENUE': True, 'subset__ROAM': False}"
7,0.5313154042925735,0.5301988290494234,0.5475254093539252,0.5222186503973845,0.5287436904094223,0.5174411446862646,0.5174633735961589,0.5206079093881236,0.5246245024144016,0.5526141198035649,0.5287505300740052,0.5106835560784099,0.5287146218349452,0.5361647264818133,0.5327038562028917,0.5130329808626185,0.5052990301355621,0.5176241057138558,0.4953387685867885,0.49969734484220896,0.5066755126328605,0.5208284885709205,0.5121609236283052,0.520878076139146,0.5464105440269209,0.5366691517447985,0.5216030805849281,0.5551276965377617,0.5359629563766193,0.5213517229115083,0.5111862714252493,0.5190518856955254,0.5291386810390818,0.5449468558061912,0.5262437930043911,0.5433686032036988,0.5266045853111364,0.5389963476191127,0.5552525204163987,0.5283333105344513,0.5341931931658073,0.5462566515738068,0.5256059942820404,0.5288599647073308,0.5222118107328017,0.5194896242288278,0.5080468653817216,0.5260488625637798,0.5236566898759285,0.5412277881892671,0.5267430201222931,0.013633289943993227,1,0.021671571731567384,0.007194224089273152,0.01621767520904541,0.004389247774460333,False,False,True,False,True,True,False,True,True,False,True,False,False,True,True,False,False,True,True,False,False,True,True,True,True,False,False,True,False,"{'subset__ACT': False, 'subset__ARPU_GROUP': False, 'subset__BASE_TYPE': True, 'subset__COM_CAT#1': False, 'subset__COM_CAT#17': True, 'subset__COM_CAT#18': True, 'subset__COM_CAT#19': False, 'subset__COM_CAT#20': True, 'subset__COM_CAT#21': True, 'subset__COM_CAT#22': False, 'subset__COM_CAT#23': True, 'subset__COM_CAT#25': False, 'subset__COM_CAT#26': False, 'subset__COM_CAT#27': True, 'subset__COM_CAT#28': True, 'subset__COM_CAT#29': False, 'subset__COM_CAT#30': False, 'subset__COM_CAT#31': True, 'subset__COM_CAT#32': True, 'subset__COM_CAT#33': False, 'subset__COM_CAT#34': False, 'subset__COM_CAT#7': True, 'subset__COST': True, 'subset__DEVICE_TYPE_ID': True, 'subset__INTERNET_TYPE_ID': True, 'subset__ITC': False, 'subset__RENT_CHANNEL': False, 'subset__REVENUE': True, 'subset__ROAM': False}"
8,0.5537888321956691,0.5482290398478858,0.5472731967224327,0.5385748532891947,0.551418888417712,0.5292754743307388,0.5425555380764128,0.5498303763183453,0.5355081186818599,0.5505853042966773,0.5709512605501826,0.5302501265337948,0.5570599017824166,0.5553063827749887,0.5449417260577541,0.5293216420666731,0.5443261562452978,0.5427521784331697,0.5232770884915804,0.5071525792375142,0.5274783524615954,0.5257778408546845,0.526695210866859,0.5384731132785248,0.5571984049902193,0.5480691626882618,0.5396700545805233,0.550165519882905,0.5267268443155548,0.5240568102540252,0.5491387152374048,0.537088081200498,0.5473159446260756,0.5539786328878432,0.5316727767670273,0.5581046605474468,0.5397589702201004,0.5411132238075045,0.5548361558349177,0.5544291957922384,0.5454016935009507,0.5536058711680779,0.53428381872153,0.5497423156368412,0.5552439708356701,0.5405002188692667,0.5374728123332831,0.5467140541427848,0.5487069614106124,0.55775241782143,0.5430710093976991,0.01186713427044588,1,0.07838640213012696,0.029535691691218398,0.055199480056762694,0.01904687079819153,False,False,False,True,True,True,True,True,False,True,False,True,True,True,True,True,False,False,True,False,True,True,True,True,True,True,False,True,True,"{'subset__ACT': False, 'subset__ARPU_GROUP': False, 'subset__BASE_TYPE': False, 'subset__COM_CAT#1': True, 'subset__COM_CAT#17': True, 'subset__COM_CAT#18': True, 'subset__COM_CAT#19': True, 'subset__COM_CAT#20': True, 'subset__COM_CAT#21': False, 'subset__COM_CAT#22': True, 'subset__COM_CAT#23': False, 'subset__COM_CAT#25': True, 'subset__COM_CAT#26': True, 'subset__COM_CAT#27': True, 'subset__COM_CAT#28': True, 'subset__COM_CAT#29': True, 'subset__COM_CAT#30': False, 'subset__COM_CAT#31': False, 'subset__COM_CAT#32': True, 'subset__COM_CAT#33': False, 'subset__COM_CAT#34': True, 'subset__COM_CAT#7': True, 'subset__COST': True, 'subset__DEVICE_TYPE_ID': True, 'subset__INTERNET_TYPE_ID': True, 'subset__ITC': True, 'subset__RENT_CHANNEL': False, 'subset__REVENUE': True, 'subset__ROAM': True}"
9,0.5524910058410735,0.5476724621424566,0.5457924093402459,0.5376968113483716,0.5568658262998782,0.5298491511976253,0.5484102909593314,0.5521122594147982,0.5401206174849185,0.5494071720722815,0.568215394717043,0.5310905503194123,0.562417069066933,0.5576746166368001,0.5453127778613737,0.5309614516504111,0.5448793141184356,0.5433754428682817,0.5218373390968907,0.5040593409299208,0.5312281985691422,0.5255709410010533,0.5264583874806779,0.5416518473934038,0.5560390818434263,0.5470355183781787,0.5394571700203822,0.5494960877118586,0.5224905270645528,0.5230761733444592,0.549042104975172,0.5368948606760324,0.5515120788476533,0.5553730695046715,0.5283803332284585,0.5606011381201865,0.5416877556324637,0.5384688384881605,0.5514445371598977,0.5577789215216886,0.5504459461308018,0.5530424537980657,0.532797901590906,0.5479947813359233,0.559011771062747,0.5475074552343953,0.5367221591453155,0.5434327250591631,0.556160485889772,0.5617177133633366,0.5438552453387686,0.012777139230156834,1,0.03183986663818359,0.013042044494065784,0.02445267677307129,0.011805320926348225,True,False,False,True,False,True,True,True,False,False,False,True,True,False,True,False,True,False,True,True,True,True,False,False,True,False,True,True,False,"{'subset__ACT': True, 'subset__ARPU_GROUP': False, 'subset__BASE_TYPE': False, 'subset__COM_CAT#1': True, 'subset__COM_CAT#17': False, 'subset__COM_CAT#18': True, 'subset__COM_CAT#19': True, 'subset__COM_CAT#20': True, 'subset__COM_CAT#21': False, 'subset__COM_CAT#22': False, 'subset__COM_CAT#23': False, 'subset__COM_CAT#25': True, 'subset__COM_CAT#26': True, 'subset__COM_CAT#27': False, 'subset__COM_CAT#28': True, 'subset__COM_CAT#29': False, 'subset__COM_CAT#30': True, 'subset__COM_CAT#31': False, 'subset__COM_CAT#32': True, 'subset__COM_CAT#33': True, 'subset__COM_CAT#34': True, 'subset__COM_CAT#7': True, 'subset__COST': False, 'subset__DEVICE_TYPE_ID': False, 'subset__INTERNET_TYPE_ID': True, 'subset__ITC': False, 'subset__RENT_CHANNEL': True, 'subset__REVENUE': True, 'subset__ROAM': False}"
