,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,split10_test_score,split11_test_score,split12_test_score,split13_test_score,split14_test_score,split15_test_score,split16_test_score,split17_test_score,split18_test_score,split19_test_score,mean_test_score,std_test_score,rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subset__CONTACT_DATE_0_HOLIDAYS,param_subset__CONTACT_DATE_1_HOLIDAYS,param_subset__CONTACT_DATE_2_HOLIDAYS,param_subset__CONTACT_DATE_WEEKDAY,params
0,0.4850895312093896,0.49381437834288605,0.4771273066768806,0.4733304378753266,0.502014281219649,0.501609886051188,0.49650920618852845,0.5029607198063007,0.48334627169883587,0.48967638127026253,0.5058641574217201,0.5075261959153523,0.5081383458955173,0.5022006620795316,0.4829196476204807,0.4948890606404661,0.4939058588566817,0.4899585174343051,0.5137836340505862,0.5094242028370929,0.495704434154549,0.011032311733095419,1,0.04341756105422974,0.020270088479292788,0.030646729469299316,0.011060578311641481,True,True,True,True,"{'subset__CONTACT_DATE_0_HOLIDAYS': True, 'subset__CONTACT_DATE_1_HOLIDAYS': True, 'subset__CONTACT_DATE_2_HOLIDAYS': True, 'subset__CONTACT_DATE_WEEKDAY': True}"
1,0.5132509951711969,0.5251648359164467,0.5030624598169706,0.506596001532085,0.507729675936692,0.49696147900906934,0.5274484289290454,0.5262172893041326,0.4795211892808776,0.4609839883452115,0.4852998508953122,0.49016883712022763,0.47606031900195606,0.48226731461089145,0.5076963325718508,0.4972983324897748,0.48763474139228213,0.49394347701188723,0.5008464084921276,0.511419674979139,0.49897858159035874,0.01714612683644328,1,0.03628541231155395,0.017382079439346686,0.030313825607299803,0.013844383885944936,True,True,True,True,"{'subset__CONTACT_DATE_0_HOLIDAYS': True, 'subset__CONTACT_DATE_1_HOLIDAYS': True, 'subset__CONTACT_DATE_2_HOLIDAYS': True, 'subset__CONTACT_DATE_WEEKDAY': True}"
2,0.5183140568786506,0.5250169281698425,0.5040704553848679,0.5027649344076166,0.5012730325704827,0.5101611766958948,0.47746330519951297,0.49259178829870176,0.5069037864383131,0.5065404292573492,0.48830246364718277,0.4924302012229321,0.5116325595392802,0.5250023938826041,0.4838301779680724,0.48217241426480445,0.5014671080530211,0.5007463783976033,0.5122489843098095,0.5100987647565762,0.502651566967156,0.013022156075875365,1,0.03059234619140625,0.01207758532821017,0.025415003299713135,0.013829717795803236,True,True,True,True,"{'subset__CONTACT_DATE_0_HOLIDAYS': True, 'subset__CONTACT_DATE_1_HOLIDAYS': True, 'subset__CONTACT_DATE_2_HOLIDAYS': True, 'subset__CONTACT_DATE_WEEKDAY': True}"
3,0.49776599455562703,0.4962954666703145,0.5000333433648414,0.4958320793948265,0.4830316471280248,0.4814003871250155,0.5151259182249702,0.5199675457915545,0.4964502140815014,0.49861582288004597,0.4925413457724033,0.5016355347933737,0.4998529472114687,0.5054161593915435,0.5242748245626034,0.5284333406289755,0.49403752239990145,0.5028025525628222,0.485317805014842,0.4876338864342093,0.5003232168994431,0.012663252692578226,1,0.04411225318908692,0.019057245634112523,0.03773341178894043,0.020810190857487695,True,True,True,True,"{'subset__CONTACT_DATE_0_HOLIDAYS': True, 'subset__CONTACT_DATE_1_HOLIDAYS': True, 'subset__CONTACT_DATE_2_HOLIDAYS': True, 'subset__CONTACT_DATE_WEEKDAY': True}"
4,0.4941187434168228,0.4992185683214095,0.5065002462279249,0.49772068177776563,0.5041465466533521,0.4887846600002736,0.49311929742965405,0.49896977552220845,0.49858076959905884,0.49087845232069816,0.5043166833098506,0.499061256036004,0.4921779885914396,0.4883443565927527,0.49341425796478944,0.49812507694622654,0.490279981669699,0.4976463004254271,0.5014842072144783,0.5000170991614572,0.49684524745906467,0.005127675154321434,1,0.023089265823364256,0.012623921495612157,0.022688651084899904,0.017335130953050566,True,True,True,True,"{'subset__CONTACT_DATE_0_HOLIDAYS': True, 'subset__CONTACT_DATE_1_HOLIDAYS': True, 'subset__CONTACT_DATE_2_HOLIDAYS': True, 'subset__CONTACT_DATE_WEEKDAY': True}"
5,0.5118026961957787,0.5063796971396524,0.4836455070243355,0.47342619317948653,0.4963878021421829,0.49537895161621276,0.5218253696838706,0.5172598935748192,0.4923370107929907,0.49342195258744515,0.47403663324350576,0.4705372898513058,0.5092301273545545,0.505352892494152,0.5079759038616747,0.5054076098108148,0.4787876352543672,0.4733261630849624,0.4913674883383719,0.4922156067466451,0.49500512119885653,0.015183441846974012,1,0.03684244155883789,0.015564905871366056,0.03332432508468628,0.013061818389093736,True,True,True,True,"{'subset__CONTACT_DATE_0_HOLIDAYS': True, 'subset__CONTACT_DATE_1_HOLIDAYS': True, 'subset__CONTACT_DATE_2_HOLIDAYS': True, 'subset__CONTACT_DATE_WEEKDAY': True}"
6,0.4980301766001395,0.4989338672831484,0.5117154904723473,0.5102586419162004,0.5087804194082322,0.507997277813496,0.5113906064046619,0.5100508871044964,0.5004898909757466,0.5099226433935681,0.5154396878377084,0.5108254791185041,0.511105050408328,0.5209763963175246,0.49531397480267564,0.4902466383048575,0.5124687085345334,0.5160638072308934,0.501907411460542,0.49953661272451205,0.5070726834056056,0.0076515695616468475,1,0.028144526481628417,0.014629201948386163,0.022857189178466797,0.016117707001794893,True,True,True,True,"{'subset__CONTACT_DATE_0_HOLIDAYS': True, 'subset__CONTACT_DATE_1_HOLIDAYS': True, 'subset__CONTACT_DATE_2_HOLIDAYS': True, 'subset__CONTACT_DATE_WEEKDAY': True}"
7,0.49669387713226537,0.5009293394251946,0.4916282505505929,0.4773290767820746,0.5214243943477012,0.5250930194383266,0.5098012393472224,0.5107878609632983,0.4890223383445275,0.48350871373267856,0.49200101227035836,0.4963604434838515,0.5072261056317798,0.5093925693883973,0.49548838624953834,0.4864403649645021,0.49979310014636885,0.5101107341695963,0.5057957607758915,0.4962638332216189,0.5002545210182892,0.011957923314953487,1,0.0353995680809021,0.014744454243340695,0.02865687608718872,0.01219509675151852,True,True,True,True,"{'subset__CONTACT_DATE_0_HOLIDAYS': True, 'subset__CONTACT_DATE_1_HOLIDAYS': True, 'subset__CONTACT_DATE_2_HOLIDAYS': True, 'subset__CONTACT_DATE_WEEKDAY': True}"
8,0.4628435221536735,0.47593378520717355,0.49932287320629803,0.507539020286445,0.4784465069832976,0.49594664377658915,0.4942589565407713,0.502127135685266,0.4987132881003516,0.49556618743416814,0.4682297580126671,0.4777420215312641,0.5339255912890032,0.5245723499719573,0.4882007236365129,0.4974915530142402,0.5090351969139433,0.5136485506750749,0.49292864177940715,0.4963638633161429,0.4956418084757123,0.017194704301007266,1,0.03020017147064209,0.014004838244640879,0.02901759147644043,0.017401789846983474,True,True,True,True,"{'subset__CONTACT_DATE_0_HOLIDAYS': True, 'subset__CONTACT_DATE_1_HOLIDAYS': True, 'subset__CONTACT_DATE_2_HOLIDAYS': True, 'subset__CONTACT_DATE_WEEKDAY': True}"
9,0.4756516490431309,0.4821783989713145,0.504503919127806,0.5005899210702707,0.5043260878486518,0.5090121130459762,0.5109084100515711,0.5058769817928128,0.5065789023706277,0.5006908061228678,0.49289187858227423,0.492555025101569,0.5114111253984104,0.5093968441787614,0.48508269154480665,0.4830325020860977,0.48885305664610207,0.4922908430570565,0.5073457997619797,0.48912151348097893,0.49761492346415326,0.01073642196908953,1,0.03776443004608154,0.01389779565418559,0.028462278842926025,0.014947597458928609,True,True,True,True,"{'subset__CONTACT_DATE_0_HOLIDAYS': True, 'subset__CONTACT_DATE_1_HOLIDAYS': True, 'subset__CONTACT_DATE_2_HOLIDAYS': True, 'subset__CONTACT_DATE_WEEKDAY': True}"
