,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,split10_test_score,split11_test_score,split12_test_score,split13_test_score,split14_test_score,split15_test_score,split16_test_score,split17_test_score,split18_test_score,split19_test_score,split20_test_score,split21_test_score,split22_test_score,split23_test_score,split24_test_score,split25_test_score,split26_test_score,split27_test_score,split28_test_score,split29_test_score,split30_test_score,split31_test_score,split32_test_score,split33_test_score,split34_test_score,split35_test_score,split36_test_score,split37_test_score,split38_test_score,split39_test_score,split40_test_score,split41_test_score,split42_test_score,split43_test_score,split44_test_score,split45_test_score,split46_test_score,split47_test_score,split48_test_score,split49_test_score,mean_test_score,std_test_score,rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subset__ACT,param_subset__BASE_TYPE,param_subset__COM_CAT#1,param_subset__COM_CAT#19,param_subset__COM_CAT#20,param_subset__COM_CAT#21,param_subset__COM_CAT#22,param_subset__COM_CAT#23,param_subset__COM_CAT#25,param_subset__COM_CAT#26,param_subset__COM_CAT#27,param_subset__COM_CAT#28,param_subset__COM_CAT#29,param_subset__COM_CAT#30,param_subset__COM_CAT#31,param_subset__COM_CAT#32,param_subset__COM_CAT#7,param_subset__ITC,param_subset__RENT_CHANNEL,param_subset__REVENUE,param_subset__ROAM,params
0,0.5328064511716346,0.5374933313270317,0.5116564983653202,0.562143482483619,0.5457470965623846,0.5252315226461295,0.5314573273326677,0.5400735947909114,0.519209197980931,0.5544864779831198,0.5411354527173987,0.5323396440638551,0.5434113511073416,0.528466683993817,0.5647391351928102,0.5020860976977689,0.5234703090160459,0.5481409791663816,0.5686856216571139,0.5031684746180047,0.5279861975568718,0.543700326935967,0.49314152633954833,0.5452973886160623,0.5391964078081611,0.5332852276924339,0.537289851305692,0.5326063909825862,0.5478981710736905,0.5244791595420161,0.5360381926870307,0.5306143386728315,0.5194263573314365,0.5527577527598047,0.5347027481772294,0.5373086603832948,0.5293148024020902,0.5424230195751201,0.5343829938579813,0.5381892671983366,0.5318164097232672,0.5383927472196763,0.5313803811061105,0.5415236036824754,0.5167759873055825,0.5480948114304475,0.5361407876557733,0.5363562370901331,0.542797491211031,0.5306605064087657,0.5349985294721147,0.014413442199552852,1,0.011963052749633789,0.0031096000504667477,0.009342522621154785,0.002312921275756601,True,False,False,True,False,True,True,False,True,False,False,True,True,False,True,False,False,False,True,False,True,"{'subset__ACT': True, 'subset__BASE_TYPE': False, 'subset__COM_CAT#1': False, 'subset__COM_CAT#19': True, 'subset__COM_CAT#20': False, 'subset__COM_CAT#21': True, 'subset__COM_CAT#22': True, 'subset__COM_CAT#23': False, 'subset__COM_CAT#25': True, 'subset__COM_CAT#26': False, 'subset__COM_CAT#27': False, 'subset__COM_CAT#28': True, 'subset__COM_CAT#29': True, 'subset__COM_CAT#30': False, 'subset__COM_CAT#31': True, 'subset__COM_CAT#32': False, 'subset__COM_CAT#7': False, 'subset__ITC': False, 'subset__RENT_CHANNEL': True, 'subset__REVENUE': False, 'subset__ROAM': True}"
1,0.5563101035525218,0.5418664418696908,0.5309323830759339,0.5407695306622163,0.5775549567049232,0.5379379095249169,0.5503305267909662,0.5505955637935515,0.556926528323051,0.5412269332311943,0.5563537064142374,0.5367272888937527,0.548887357563985,0.5518754360286171,0.5430249100584108,0.5273415591699383,0.5361972148885819,0.5629300439106466,0.5502570003967006,0.5171256651573806,0.547331333871387,0.5360219484836464,0.5364690915557502,0.5535887720066207,0.5432865272287046,0.5489198459707536,0.545008412787437,0.5524892959249278,0.5066814973393705,0.5222477189718615,0.5441782484986937,0.5458556762376372,0.5595615091035936,0.543855074347154,0.5367033500677127,0.5725141239073636,0.5615031188870498,0.5496730640329398,0.5494866831730572,0.5637396892056413,0.5560809747889963,0.5650144316922698,0.5420502578553548,0.5473715169008112,0.562214444003666,0.5564853699574572,0.5301842947621849,0.5299269523822552,0.5471346935146301,0.5631283941835492,0.546677547433074,0.013463035364001822,1,0.011964530944824218,0.0024488557445325946,0.00949911117553711,0.0024890452086601136,False,False,True,False,False,True,True,True,False,False,False,False,False,True,False,True,True,False,False,True,True,"{'subset__ACT': False, 'subset__BASE_TYPE': False, 'subset__COM_CAT#1': True, 'subset__COM_CAT#19': False, 'subset__COM_CAT#20': False, 'subset__COM_CAT#21': True, 'subset__COM_CAT#22': True, 'subset__COM_CAT#23': True, 'subset__COM_CAT#25': False, 'subset__COM_CAT#26': False, 'subset__COM_CAT#27': False, 'subset__COM_CAT#28': False, 'subset__COM_CAT#29': False, 'subset__COM_CAT#30': True, 'subset__COM_CAT#31': False, 'subset__COM_CAT#32': True, 'subset__COM_CAT#7': True, 'subset__ITC': False, 'subset__RENT_CHANNEL': False, 'subset__REVENUE': True, 'subset__ROAM': True}"
2,0.5387774783524616,0.5364331833166902,0.5206506572917664,0.5434387097656731,0.5881256583177161,0.5233779735441774,0.5448476806697399,0.5537563437889006,0.5506254873261016,0.5314675868295419,0.5599188815780475,0.535227692433963,0.5402616855669398,0.5477494083690135,0.5295986484822783,0.5190706947731283,0.5435994418833701,0.5758723992175423,0.5602728342202098,0.5219040258265735,0.5362126041338933,0.5358005143427766,0.5276972217282464,0.5391827284789954,0.5248502113456356,0.5412807955897843,0.5392152168857639,0.5430573984651792,0.5149480869458162,0.5249835848050012,0.542281096535026,0.5451246870853453,0.5501484207214479,0.5425153550469884,0.5356739805479939,0.5656522304146204,0.5618425372419736,0.5410927048137559,0.5374488735072432,0.5486094961903067,0.5520618168884999,0.5615176531742883,0.5460976293722556,0.5437464946719013,0.5628223191934668,0.555584244148667,0.5406224778736851,0.5413560319001957,0.544965664883794,0.5669449270207789,0.5435662695101433,0.014594850844104473,1,0.013536467552185058,0.003503596904154876,0.010597801208496094,0.002885547929071278,True,False,True,True,True,True,True,False,False,False,False,True,True,False,True,True,False,True,False,False,True,"{'subset__ACT': True, 'subset__BASE_TYPE': False, 'subset__COM_CAT#1': True, 'subset__COM_CAT#19': True, 'subset__COM_CAT#20': True, 'subset__COM_CAT#21': True, 'subset__COM_CAT#22': True, 'subset__COM_CAT#23': False, 'subset__COM_CAT#25': False, 'subset__COM_CAT#26': False, 'subset__COM_CAT#27': False, 'subset__COM_CAT#28': True, 'subset__COM_CAT#29': True, 'subset__COM_CAT#30': False, 'subset__COM_CAT#31': True, 'subset__COM_CAT#32': True, 'subset__COM_CAT#7': False, 'subset__ITC': True, 'subset__RENT_CHANNEL': False, 'subset__REVENUE': False, 'subset__ROAM': True}"
3,0.5315898458339603,0.5307100939769913,0.5429137655089395,0.5308272232329726,0.5572753512167763,0.5261565872809597,0.5367683268812498,0.5032847489159131,0.5324200101227036,0.543118955446425,0.5017355648878978,0.5046612314132115,0.5446365060257445,0.5329851374088616,0.5406361572028509,0.49639122197447433,0.5242149774975036,0.541769831607458,0.545097328427014,0.5083563602040956,0.5164810267704472,0.5260522823960713,0.5164006607115986,0.5401616554724156,0.5332570140760297,0.5348968236597678,0.5152550168939716,0.5539906023008632,0.5196144481074648,0.5205369478680766,0.511675307442923,0.530082554751515,0.5281170061420188,0.5425512632860484,0.5219108654911564,0.5446262465288702,0.5252982093758122,0.5310623367030081,0.5471817162086372,0.5308024294488598,0.5394494753977266,0.5451845341504453,0.5176480445398957,0.5327688330164289,0.5039524711708139,0.5229966622436836,0.5050775959946925,0.523106951835082,0.5307126588512099,0.5389339356797942,0.5285066960316266,0.014208253095633486,1,0.013446245193481445,0.003942155035649438,0.010506463050842286,0.0038091837951276415,False,True,False,False,False,True,False,False,False,True,True,False,False,True,False,True,True,True,False,True,True,"{'subset__ACT': False, 'subset__BASE_TYPE': True, 'subset__COM_CAT#1': False, 'subset__COM_CAT#19': False, 'subset__COM_CAT#20': False, 'subset__COM_CAT#21': True, 'subset__COM_CAT#22': False, 'subset__COM_CAT#23': False, 'subset__COM_CAT#25': False, 'subset__COM_CAT#26': True, 'subset__COM_CAT#27': True, 'subset__COM_CAT#28': False, 'subset__COM_CAT#29': False, 'subset__COM_CAT#30': True, 'subset__COM_CAT#31': False, 'subset__COM_CAT#32': True, 'subset__COM_CAT#7': True, 'subset__ITC': True, 'subset__RENT_CHANNEL': False, 'subset__REVENUE': True, 'subset__ROAM': True}"
4,0.5334698986361709,0.529071994309399,0.5424042104975173,0.529672174876544,0.5561194479022749,0.5289916282505506,0.5386458148092418,0.5015115658728097,0.5417783811881866,0.546523398492538,0.5003454030614339,0.5068721529896174,0.5514565065729177,0.5337811033746904,0.5439687837708438,0.49273969604530593,0.5217706523672079,0.5392459953763867,0.5484624434017756,0.505187885586091,0.5141820445125371,0.5241628250550594,0.5137802142182947,0.5357013392063253,0.5372300042405921,0.5368162045333296,0.5155773360874383,0.5474689821211167,0.5195050134741392,0.5221947115713446,0.5117060859335458,0.529060024896379,0.5285111418136054,0.543236939660479,0.522049368698959,0.5454393116561563,0.5254743307388205,0.5353815848870771,0.5431822223438163,0.5365836559375129,0.5418296786725579,0.5442987975869663,0.5145650657291766,0.5341572849267472,0.5055965555449161,0.5271568882262014,0.5079254613353761,0.5253871250153892,0.5330988468325514,0.5381892671983366,0.529029349000725,0.01477563966388754,1,0.01282855987548828,0.00330186266930915,0.009975290298461914,0.0028926982514457166,False,True,False,False,False,False,True,False,True,False,False,False,True,True,True,False,True,True,False,False,True,"{'subset__ACT': False, 'subset__BASE_TYPE': True, 'subset__COM_CAT#1': False, 'subset__COM_CAT#19': False, 'subset__COM_CAT#20': False, 'subset__COM_CAT#21': False, 'subset__COM_CAT#22': True, 'subset__COM_CAT#23': False, 'subset__COM_CAT#25': True, 'subset__COM_CAT#26': False, 'subset__COM_CAT#27': False, 'subset__COM_CAT#28': False, 'subset__COM_CAT#29': True, 'subset__COM_CAT#30': True, 'subset__COM_CAT#31': True, 'subset__COM_CAT#32': False, 'subset__COM_CAT#7': True, 'subset__ITC': True, 'subset__RENT_CHANNEL': False, 'subset__REVENUE': False, 'subset__ROAM': True}"
5,0.537289851305692,0.5368940057179596,0.5183798886502606,0.5452358316348167,0.5782902206475795,0.5255136588101719,0.5425461335376113,0.5539581138940946,0.5506878992654201,0.5317625473646772,0.5609114879006334,0.532732069819296,0.5392408656279495,0.5455085632600578,0.5249476765659411,0.5207464125959262,0.5406780501484207,0.5711290918293367,0.5587296348987045,0.5220168802921905,0.535096883848816,0.5331056864971342,0.5317924708972273,0.5409576214382447,0.5243321067534847,0.5380071611288182,0.5382020915694294,0.5364947402979359,0.5104416029437916,0.5212311738232357,0.5402616855669398,0.5457710353884246,0.5508238375990041,0.5405908444249894,0.5328252602492374,0.5663139679630111,0.5604224518829597,0.5381379697139652,0.536730708726044,0.5429898567774236,0.5510230428299796,0.556226317661382,0.5462583614899525,0.5404164329781267,0.5624606719286487,0.5530980260728013,0.5363348631383117,0.5380182755837655,0.5391510950302998,0.5678323735004036,0.5418509500294106,0.014156662864664717,1,0.012974190711975097,0.0034451516871618786,0.010184292793273925,0.0042982446099871134,False,False,True,True,False,True,True,False,False,False,False,False,True,True,False,True,False,False,False,True,True,"{'subset__ACT': False, 'subset__BASE_TYPE': False, 'subset__COM_CAT#1': True, 'subset__COM_CAT#19': True, 'subset__COM_CAT#20': False, 'subset__COM_CAT#21': True, 'subset__COM_CAT#22': True, 'subset__COM_CAT#23': False, 'subset__COM_CAT#25': False, 'subset__COM_CAT#26': False, 'subset__COM_CAT#27': False, 'subset__COM_CAT#28': False, 'subset__COM_CAT#29': True, 'subset__COM_CAT#30': True, 'subset__COM_CAT#31': False, 'subset__COM_CAT#32': True, 'subset__COM_CAT#7': False, 'subset__ITC': False, 'subset__RENT_CHANNEL': False, 'subset__REVENUE': True, 'subset__ROAM': True}"
6,0.5577421583245558,0.5429770324063308,0.5345009780720353,0.5402240674117341,0.5830591767779708,0.5373992859390175,0.5510769051885696,0.5517591617307087,0.5577575475698672,0.5408618661340848,0.5574514725797847,0.5364913204656443,0.5517164138270659,0.553510115863918,0.5452204423895053,0.5266199745564477,0.537431774345786,0.56375422349288,0.553735824795152,0.5182584846039151,0.5476741720586022,0.5383089613285365,0.5351370668782403,0.5521353432827654,0.5446920783004802,0.5502202371995677,0.5465387877378494,0.5545805233711338,0.5089223424483263,0.5238208418259168,0.5456445015936419,0.5465781158092008,0.5596470049108792,0.5461557665212098,0.5385637388342476,0.5740273996963189,0.5619468421268621,0.5514787354828119,0.5501313215599908,0.5656641998276404,0.5575472278839445,0.5667773552384991,0.5422913560319002,0.5493926377850431,0.5575455179677988,0.5587800774250031,0.5313718315253819,0.5314009000998591,0.5499312613709424,0.5637867118996485,0.5478448216899443,0.013606954484552819,1,0.0131365966796875,0.003841819009536404,0.009902162551879883,0.002722352008340958,False,False,True,False,False,False,False,True,False,False,False,False,False,True,True,False,True,True,False,False,False,"{'subset__ACT': False, 'subset__BASE_TYPE': False, 'subset__COM_CAT#1': True, 'subset__COM_CAT#19': False, 'subset__COM_CAT#20': False, 'subset__COM_CAT#21': False, 'subset__COM_CAT#22': False, 'subset__COM_CAT#23': True, 'subset__COM_CAT#25': False, 'subset__COM_CAT#26': False, 'subset__COM_CAT#27': False, 'subset__COM_CAT#28': False, 'subset__COM_CAT#29': False, 'subset__COM_CAT#30': True, 'subset__COM_CAT#31': True, 'subset__COM_CAT#32': False, 'subset__COM_CAT#7': True, 'subset__ITC': True, 'subset__RENT_CHANNEL': False, 'subset__REVENUE': False, 'subset__ROAM': False}"
7,0.5377840170718027,0.5380319549129311,0.5226392897692297,0.5442081720312435,0.586260139802744,0.5251921945747781,0.5473236392487313,0.5553705046304529,0.5521182441213083,0.5306468270796001,0.5642774578334678,0.5341829336689329,0.5407729504945078,0.5493208213069231,0.5296567856312326,0.5204659863480295,0.5442611794317607,0.5737076453770706,0.5582653926651436,0.5245920140076331,0.5369461581604038,0.5347198473386865,0.5275912069272123,0.539933381666963,0.5262745714950139,0.5399162825055059,0.5412380476861415,0.5429188952573766,0.5145530963161566,0.5254948497325691,0.5418843959892207,0.5464703910920209,0.5498748341381339,0.5449622450515027,0.533172373226817,0.5691182304419791,0.5639748026756768,0.5410944147299016,0.5356295227282054,0.5485838474481212,0.5518087492989344,0.5643424346470048,0.5451400763306568,0.5431446041886105,0.5578379136287157,0.5562169131225805,0.5396033678508405,0.5422828064511717,0.5457128982394703,0.5681042501675718,0.5439524711708138,0.014498743045165878,1,0.013072443008422852,0.003182697176479639,0.009745149612426758,0.0017475994869968104,False,False,True,False,True,True,False,True,True,False,True,False,False,True,True,False,False,True,True,False,False,"{'subset__ACT': False, 'subset__BASE_TYPE': False, 'subset__COM_CAT#1': True, 'subset__COM_CAT#19': False, 'subset__COM_CAT#20': True, 'subset__COM_CAT#21': True, 'subset__COM_CAT#22': False, 'subset__COM_CAT#23': True, 'subset__COM_CAT#25': True, 'subset__COM_CAT#26': False, 'subset__COM_CAT#27': True, 'subset__COM_CAT#28': False, 'subset__COM_CAT#29': False, 'subset__COM_CAT#30': True, 'subset__COM_CAT#31': True, 'subset__COM_CAT#32': False, 'subset__COM_CAT#7': False, 'subset__ITC': True, 'subset__RENT_CHANNEL': True, 'subset__REVENUE': False, 'subset__ROAM': False}"
8,0.5278630835943805,0.5319343939373213,0.5110682872111951,0.5571676264995964,0.5450426111103511,0.5206079093881236,0.5289163919401393,0.5375668577212974,0.5116599181976116,0.548703541578321,0.5363733362515902,0.5285094318974597,0.5375976362119201,0.5227042665827667,0.5594178761473538,0.503018001997182,0.5189886187981342,0.5475185696893424,0.5623264435112102,0.500427479036428,0.5236874683665513,0.5431292149432991,0.4917017769448586,0.5501484207214479,0.5324490786971807,0.5296174575598813,0.5354516914490514,0.5298534259879896,0.5432831073964133,0.523689178282697,0.531484685990999,0.5299731201181894,0.5202590864943983,0.5471748765440543,0.5342154220757014,0.5323208349862523,0.5213260741693228,0.542684636745414,0.5303407520895175,0.5332629987825397,0.5294020081255215,0.5352054635240687,0.5319514930987784,0.5360091241125535,0.5128671189964844,0.5420639371845205,0.535887720066208,0.531568471882139,0.5409131636184561,0.5280477545381175,0.5317476368958867,0.0139798436561407,1,0.012529406547546387,0.0028866897702196936,0.009570512771606445,0.0020530921407643254,False,False,False,True,True,True,True,True,False,True,False,True,True,True,True,True,False,False,True,False,True,"{'subset__ACT': False, 'subset__BASE_TYPE': False, 'subset__COM_CAT#1': False, 'subset__COM_CAT#19': True, 'subset__COM_CAT#20': True, 'subset__COM_CAT#21': True, 'subset__COM_CAT#22': True, 'subset__COM_CAT#23': True, 'subset__COM_CAT#25': False, 'subset__COM_CAT#26': True, 'subset__COM_CAT#27': False, 'subset__COM_CAT#28': True, 'subset__COM_CAT#29': True, 'subset__COM_CAT#30': True, 'subset__COM_CAT#31': True, 'subset__COM_CAT#32': True, 'subset__COM_CAT#7': False, 'subset__ITC': False, 'subset__RENT_CHANNEL': True, 'subset__REVENUE': False, 'subset__ROAM': True}"
9,0.5447946732692228,0.5373377289577719,0.5387142114550703,0.5329449543794372,0.5521592821088053,0.525110118599784,0.5350344719094975,0.5040029136971123,0.531323953873302,0.5474860812825739,0.5134707193959209,0.5097465220305596,0.5435960220510786,0.529773059929141,0.5534041010628838,0.4987432116329015,0.5153584668207871,0.5351969139433402,0.5498508953120939,0.5014209403170868,0.5223468941083129,0.5318523179623271,0.5098234682571167,0.532435399368015,0.5349985636704376,0.5284102567610085,0.5248314022680328,0.5571573670027221,0.5209481827011203,0.5180823632409066,0.508561550141581,0.528692392925051,0.5271859568006785,0.5383773579743649,0.5203873302053267,0.5400633352940372,0.5285231112266254,0.528882193617225,0.5404873944981737,0.5340615296225872,0.5371940960015321,0.5399829692351887,0.5126687687235818,0.5292549553369903,0.5088744647962463,0.5310999548582138,0.5056632422745988,0.5196212877720476,0.5303869198254517,0.5343265666251726,0.528493016702461,0.013845686524860894,1,0.013635106086730957,0.0035576910382873897,0.011322312355041504,0.0035842677693566144,True,False,False,True,False,True,True,True,False,False,False,True,True,False,True,False,True,False,True,True,True,"{'subset__ACT': True, 'subset__BASE_TYPE': False, 'subset__COM_CAT#1': False, 'subset__COM_CAT#19': True, 'subset__COM_CAT#20': False, 'subset__COM_CAT#21': True, 'subset__COM_CAT#22': True, 'subset__COM_CAT#23': True, 'subset__COM_CAT#25': False, 'subset__COM_CAT#26': False, 'subset__COM_CAT#27': False, 'subset__COM_CAT#28': True, 'subset__COM_CAT#29': True, 'subset__COM_CAT#30': False, 'subset__COM_CAT#31': True, 'subset__COM_CAT#32': False, 'subset__COM_CAT#7': True, 'subset__ITC': False, 'subset__RENT_CHANNEL': True, 'subset__REVENUE': True, 'subset__ROAM': True}"
