,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,split10_test_score,split11_test_score,split12_test_score,split13_test_score,split14_test_score,split15_test_score,split16_test_score,split17_test_score,split18_test_score,split19_test_score,split20_test_score,split21_test_score,split22_test_score,split23_test_score,split24_test_score,split25_test_score,split26_test_score,split27_test_score,split28_test_score,split29_test_score,split30_test_score,split31_test_score,split32_test_score,split33_test_score,split34_test_score,split35_test_score,split36_test_score,split37_test_score,split38_test_score,split39_test_score,mean_test_score,std_test_score,rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subset__BASE_TYPE,param_subset__COM_CAT#1,param_subset__COM_CAT#17,param_subset__COM_CAT#19,param_subset__COM_CAT#20,param_subset__COM_CAT#21,param_subset__COM_CAT#22,param_subset__COM_CAT#27,param_subset__COM_CAT#28,param_subset__COM_CAT#29,param_subset__COM_CAT#31,param_subset__COM_CAT#32,param_subset__COM_CAT#33,param_subset__COM_CAT#7,param_subset__CONTACT_DATE_0_HOLIDAYS,param_subset__CONTACT_DATE_3_HOLIDAYS,param_subset__COST,param_subset__ITC,param_subset__RENT_CHANNEL,param_subset__REVENUE,param_subset__ROAM,param_subset__VAS,params
0,0.5634228371431697,0.5283140107185825,0.5208555747173633,0.5601304371629574,0.5212970305151482,0.5589658755331948,0.5844625112917796,0.5127562891790535,0.5948779120638741,0.5469382314338839,0.5566881552653911,0.4748022227697024,0.5429939571256699,0.5402664606803018,0.5079795242396868,0.5975336015986423,0.5269024116810674,0.5336835557256918,0.515459472776546,0.6025669978922011,0.5269400087498632,0.5704500710926391,0.5262379896526238,0.5378924748843449,0.5561392595428196,0.5415960297495351,0.5390011223344556,0.5448454737072623,0.5440227496445368,0.5671278573772285,0.5422483644028359,0.5328453915852289,0.5411004320244996,0.5163957399103138,0.5477197448742164,0.5552031151624648,0.5652582576834737,0.5599502351525757,0.5138546713749965,0.5397778598998111,0.5439891823010602,0.02542751013281695,1,0.027113354206085204,0.00830034784011526,0.016007357835769655,0.005621547016884483,True,False,False,True,False,True,True,False,True,False,False,True,True,False,True,False,False,False,True,False,True,True,"{'subset__BASE_TYPE': True, 'subset__COM_CAT#1': False, 'subset__COM_CAT#17': False, 'subset__COM_CAT#19': True, 'subset__COM_CAT#20': False, 'subset__COM_CAT#21': True, 'subset__COM_CAT#22': True, 'subset__COM_CAT#27': False, 'subset__COM_CAT#28': True, 'subset__COM_CAT#29': False, 'subset__COM_CAT#31': False, 'subset__COM_CAT#32': True, 'subset__COM_CAT#33': True, 'subset__COM_CAT#7': False, 'subset__CONTACT_DATE_0_HOLIDAYS': True, 'subset__CONTACT_DATE_3_HOLIDAYS': False, 'subset__COST': False, 'subset__ITC': False, 'subset__RENT_CHANNEL': True, 'subset__REVENUE': False, 'subset__ROAM': True, 'subset__VAS': True}"
1,0.5184567428633927,0.4941997976594116,0.5095261558676193,0.5473707262325149,0.5243458110029531,0.5454616920048124,0.5316101393337166,0.5101078536037886,0.5361649622662147,0.5313593732910422,0.5489481536229504,0.47781336399222574,0.5168639943125888,0.5321181504976484,0.5277640907722209,0.5348265856395937,0.5271006507710817,0.5329247785190857,0.532711943281049,0.5167939558183461,0.5253062452149185,0.5330102264027125,0.4957912457912458,0.5432646245654376,0.5650224215246636,0.517294651646068,0.5280515178889162,0.5438942268210561,0.5361615443508695,0.5558179755003828,0.5344980975062276,0.5184329747337877,0.5097102974953516,0.5246055725691786,0.5165202157072075,0.5167255207905614,0.5445593623537133,0.5198170731707318,0.5071993649229422,0.5057074813172374,0.5259481795082493,0.01711619085705448,1,0.03462884426116943,0.00745447877202302,0.01696202754974365,0.00326436311196154,False,False,True,False,False,True,True,True,False,False,False,False,False,True,False,True,True,False,False,True,True,False,"{'subset__BASE_TYPE': False, 'subset__COM_CAT#1': False, 'subset__COM_CAT#17': True, 'subset__COM_CAT#19': False, 'subset__COM_CAT#20': False, 'subset__COM_CAT#21': True, 'subset__COM_CAT#22': True, 'subset__COM_CAT#27': True, 'subset__COM_CAT#28': False, 'subset__COM_CAT#29': False, 'subset__COM_CAT#31': False, 'subset__COM_CAT#32': False, 'subset__COM_CAT#33': False, 'subset__COM_CAT#7': True, 'subset__CONTACT_DATE_0_HOLIDAYS': False, 'subset__CONTACT_DATE_3_HOLIDAYS': True, 'subset__COST': True, 'subset__ITC': False, 'subset__RENT_CHANNEL': False, 'subset__REVENUE': True, 'subset__ROAM': True, 'subset__VAS': False}"
2,0.5500382806518648,0.5283892048561741,0.5160924967835537,0.5632716049382716,0.509166848955485,0.5685873072295745,0.5695881580027922,0.5050060222824451,0.5843028819862189,0.5580430383900252,0.5445785770989022,0.4684959349593496,0.5367733511976375,0.5452600349994531,0.5091942459828639,0.5589533546850619,0.5259932461992781,0.530973148857049,0.5112301880594563,0.5783717938189483,0.5120994203215575,0.5765852291370447,0.5189736114532862,0.5355314664257753,0.5489582194028219,0.5436672864486493,0.5286161068681394,0.538131997481591,0.5396717434102593,0.5569834846330526,0.5314185212559196,0.5266930825873916,0.525378021437165,0.5123831072951985,0.5480003284881333,0.5455606197476116,0.5356932899485946,0.552912747457071,0.5105424160302209,0.5517916290274014,0.5375497044378879,0.02341396340017318,1,0.030888015031814577,0.008467270038423553,0.015821832418441772,0.0039222229436798334,True,False,True,True,True,True,True,False,False,False,False,True,True,False,True,True,False,True,False,False,True,True,"{'subset__BASE_TYPE': True, 'subset__COM_CAT#1': False, 'subset__COM_CAT#17': True, 'subset__COM_CAT#19': True, 'subset__COM_CAT#20': True, 'subset__COM_CAT#21': True, 'subset__COM_CAT#22': True, 'subset__COM_CAT#27': False, 'subset__COM_CAT#28': False, 'subset__COM_CAT#29': False, 'subset__COM_CAT#31': False, 'subset__COM_CAT#32': True, 'subset__COM_CAT#33': True, 'subset__COM_CAT#7': False, 'subset__CONTACT_DATE_0_HOLIDAYS': True, 'subset__CONTACT_DATE_3_HOLIDAYS': True, 'subset__COST': False, 'subset__ITC': True, 'subset__RENT_CHANNEL': False, 'subset__REVENUE': False, 'subset__ROAM': True, 'subset__VAS': True}"
3,0.5490812643552445,0.5725281636224434,0.5373313076565109,0.5137691275902658,0.5454651099201575,0.5157224105873346,0.5616531165311653,0.5293038788973748,0.5760007656130374,0.5921811768566116,0.5444348635405546,0.5030248282280803,0.5577696051624194,0.5555889751722629,0.5370507240425939,0.5749637294352742,0.5266255605381166,0.5834449852346058,0.5532013905997646,0.5417385234458405,0.552253089795472,0.5550557803784316,0.5186827625852015,0.5628165120035038,0.5854683911188887,0.5139382587772066,0.5437436697599299,0.558197147628042,0.5480832330744831,0.5649335557256918,0.5484656866770687,0.5134953874791274,0.5174723832440118,0.5587197856283496,0.5486846787659796,0.557115874189045,0.5957289729847971,0.5580772175434758,0.5508745996550874,0.5072130519284991,0.5482512591114577,0.02319225676002953,1,0.035869824886322024,0.008627950639142247,0.017788219451904296,0.004736315009055607,False,True,False,False,False,True,False,False,False,True,True,False,False,True,False,True,True,True,False,True,True,False,"{'subset__BASE_TYPE': False, 'subset__COM_CAT#1': True, 'subset__COM_CAT#17': False, 'subset__COM_CAT#19': False, 'subset__COM_CAT#20': False, 'subset__COM_CAT#21': True, 'subset__COM_CAT#22': False, 'subset__COM_CAT#27': False, 'subset__COM_CAT#28': False, 'subset__COM_CAT#29': True, 'subset__COM_CAT#31': True, 'subset__COM_CAT#32': False, 'subset__COM_CAT#33': False, 'subset__COM_CAT#7': True, 'subset__CONTACT_DATE_0_HOLIDAYS': False, 'subset__CONTACT_DATE_3_HOLIDAYS': True, 'subset__COST': True, 'subset__ITC': True, 'subset__RENT_CHANNEL': False, 'subset__REVENUE': True, 'subset__ROAM': True, 'subset__VAS': False}"
4,0.5502467734879142,0.5690350541397791,0.535319317839643,0.5172216747419999,0.5483669200481243,0.5156745597725036,0.5617044428020038,0.5270010402124223,0.5752761675598819,0.5901714426337088,0.5459472776545947,0.5052592318852481,0.5571680520616865,0.55310073280105,0.536636692124497,0.5760518463770496,0.5274629497976594,0.581582221371541,0.5533074648928308,0.5407325285374066,0.5510397298479711,0.557048425024609,0.5202772987325833,0.5604247077824314,0.5867637810346713,0.5159343213387291,0.5444040677780515,0.557204839725165,0.5466784698676582,0.5617138794706333,0.5467924502477347,0.5172387834989461,0.5205109099857814,0.5559478562834955,0.5484417344173442,0.5565204894473188,0.5948676583178388,0.5561597670348901,0.5538275711039939,0.5067168979770607,0.548148097606858,0.022312121647671216,1,0.03208429217338562,0.010161548113981289,0.015692663192749024,0.007069757960673715,False,True,False,False,False,False,True,False,True,False,False,False,True,True,True,False,True,True,False,False,True,True,"{'subset__BASE_TYPE': False, 'subset__COM_CAT#1': True, 'subset__COM_CAT#17': False, 'subset__COM_CAT#19': False, 'subset__COM_CAT#20': False, 'subset__COM_CAT#21': False, 'subset__COM_CAT#22': True, 'subset__COM_CAT#27': False, 'subset__COM_CAT#28': True, 'subset__COM_CAT#29': False, 'subset__COM_CAT#31': False, 'subset__COM_CAT#32': False, 'subset__COM_CAT#33': True, 'subset__COM_CAT#7': True, 'subset__CONTACT_DATE_0_HOLIDAYS': True, 'subset__CONTACT_DATE_3_HOLIDAYS': False, 'subset__COST': True, 'subset__ITC': True, 'subset__RENT_CHANNEL': False, 'subset__REVENUE': False, 'subset__ROAM': True, 'subset__VAS': True}"
5,0.5163444711801377,0.4973032647927376,0.5116510634803317,0.5442706194738715,0.5215875533194794,0.5450583779940938,0.5326366647504859,0.5089957844022884,0.530026386306464,0.5332358088154873,0.5475657660617009,0.4785661492978566,0.5162009187356448,0.5305527452696052,0.5234492622704006,0.5324758424351921,0.5292129224543367,0.5364418134091655,0.5319967972406997,0.5357675672716323,0.5258838729082358,0.532230941704036,0.4946278503189072,0.5426281788070406,0.5637099420321557,0.515366947391447,0.5296631627932441,0.5425563220278667,0.5372792026687083,0.554276495679755,0.5333723412991705,0.5191686512824725,0.5092146997703161,0.5219874494148529,0.5186109058060278,0.5167118337850045,0.5444807503007765,0.5153327682379962,0.5048588869727082,0.5043319372587665,0.5257422656873909,0.01682921888884566,1,0.025798213481903077,0.008650649282198466,0.016685503721237182,0.008658816358908292,False,False,True,True,False,True,True,False,False,False,False,False,True,True,False,True,False,False,False,True,True,False,"{'subset__BASE_TYPE': False, 'subset__COM_CAT#1': False, 'subset__COM_CAT#17': True, 'subset__COM_CAT#19': True, 'subset__COM_CAT#20': False, 'subset__COM_CAT#21': True, 'subset__COM_CAT#22': True, 'subset__COM_CAT#27': False, 'subset__COM_CAT#28': False, 'subset__COM_CAT#29': False, 'subset__COM_CAT#31': False, 'subset__COM_CAT#32': False, 'subset__COM_CAT#33': True, 'subset__COM_CAT#7': True, 'subset__CONTACT_DATE_0_HOLIDAYS': False, 'subset__CONTACT_DATE_3_HOLIDAYS': True, 'subset__COST': False, 'subset__ITC': False, 'subset__RENT_CHANNEL': False, 'subset__REVENUE': True, 'subset__ROAM': True, 'subset__VAS': False}"
6,0.5244415126326151,0.49464070873892596,0.5015089923626508,0.5499917877966658,0.5243594826643333,0.5566861259980314,0.5255604828775561,0.5063747228381374,0.5333554358525648,0.5318481351853876,0.5565239111987079,0.47831978319783197,0.5165153669473914,0.5285908618615334,0.5179676165448523,0.5378993183871232,0.5224181067483321,0.5353275730066718,0.5380327666913033,0.5140565547069612,0.5236007054577273,0.5327641364978672,0.49828912430538447,0.543596534450193,0.5730237613474789,0.5217892103248387,0.5148777750403767,0.5418206454791821,0.5349994531335448,0.5439065405228043,0.5353603788563137,0.5137657058388765,0.5154387236136935,0.522701793721973,0.5098341134926501,0.5141113027291888,0.543657032702614,0.521194493054796,0.5119453340998057,0.5092010894856424,0.5255095855062559,0.01814815715093639,1,0.034427350759506224,0.011591486341904178,0.017103809118270873,0.006181411303767181,False,False,True,False,False,False,False,True,False,False,False,False,False,True,True,False,True,True,False,False,False,True,"{'subset__BASE_TYPE': False, 'subset__COM_CAT#1': False, 'subset__COM_CAT#17': True, 'subset__COM_CAT#19': False, 'subset__COM_CAT#20': False, 'subset__COM_CAT#21': False, 'subset__COM_CAT#22': False, 'subset__COM_CAT#27': True, 'subset__COM_CAT#28': False, 'subset__COM_CAT#29': False, 'subset__COM_CAT#31': False, 'subset__COM_CAT#32': False, 'subset__COM_CAT#33': False, 'subset__COM_CAT#7': True, 'subset__CONTACT_DATE_0_HOLIDAYS': True, 'subset__CONTACT_DATE_3_HOLIDAYS': False, 'subset__COST': True, 'subset__ITC': True, 'subset__RENT_CHANNEL': False, 'subset__REVENUE': False, 'subset__ROAM': False, 'subset__VAS': True}"
7,0.5230162419337198,0.5025634365088045,0.5045098683310065,0.5400687087678957,0.5197828940172811,0.5613515804440556,0.5181626563740385,0.5128794722290657,0.5414251339822815,0.5313696270370776,0.5639525334647286,0.47537023350031476,0.5222916438805645,0.5304331182325277,0.5065834496728806,0.535791519531357,0.5218746582084655,0.5358949469539539,0.5402808573540281,0.5428540143987299,0.5297563709942033,0.5262564256808487,0.494402014727218,0.5454613889573239,0.5769304385868971,0.5141843486820519,0.518716980099094,0.5418138019764036,0.5387454883517445,0.563347643005578,0.5312884947031288,0.5072130519284991,0.5129880783112764,0.5272134419774691,0.5161780405682844,0.5109427609427609,0.547652575741004,0.5369818440336869,0.506959842325696,0.5063644575839698,0.5270992448734362,0.02016693281722978,1,0.03264800906181335,0.014778210590104805,0.01733470559120178,0.009973316712910333,False,False,True,False,True,True,False,True,True,False,True,False,False,True,True,False,False,True,True,False,False,True,"{'subset__BASE_TYPE': False, 'subset__COM_CAT#1': False, 'subset__COM_CAT#17': True, 'subset__COM_CAT#19': False, 'subset__COM_CAT#20': True, 'subset__COM_CAT#21': True, 'subset__COM_CAT#22': False, 'subset__COM_CAT#27': True, 'subset__COM_CAT#28': True, 'subset__COM_CAT#29': False, 'subset__COM_CAT#31': True, 'subset__COM_CAT#32': False, 'subset__COM_CAT#33': False, 'subset__COM_CAT#7': True, 'subset__CONTACT_DATE_0_HOLIDAYS': True, 'subset__CONTACT_DATE_3_HOLIDAYS': False, 'subset__COST': False, 'subset__ITC': True, 'subset__RENT_CHANNEL': True, 'subset__REVENUE': False, 'subset__ROAM': False, 'subset__VAS': True}"
8,0.5145158864705238,0.49574469539538446,0.5039350140976158,0.5499130875147135,0.5261402165591162,0.5440124958985015,0.5290438257917933,0.5054029454435959,0.5389779065952094,0.525422454336651,0.5478018669075579,0.47616407982261644,0.518839549382041,0.5310654325713661,0.5220018614327557,0.5385973556705264,0.5267110084217435,0.5323608224871487,0.5282602447236593,0.5183850702143384,0.5270083670567648,0.538718145028984,0.49554487969122113,0.5400687087678958,0.5691888603303074,0.5097957453789784,0.5326161342421505,0.5466521584407763,0.5301391775128514,0.5562212895111014,0.5338582299964413,0.5198701103172648,0.5156198731269823,0.5259556491304823,0.508427773671676,0.5078118584216145,0.5465964398993766,0.5100999398446899,0.5097485697079193,0.5028742711669542,0.5250047677638607,0.018334449528814006,1,0.036516427993774414,0.009270302115284413,0.017073792219161988,0.004564814602003191,False,False,False,True,True,True,True,True,False,True,False,True,True,True,True,True,False,False,True,False,True,True,"{'subset__BASE_TYPE': False, 'subset__COM_CAT#1': False, 'subset__COM_CAT#17': False, 'subset__COM_CAT#19': True, 'subset__COM_CAT#20': True, 'subset__COM_CAT#21': True, 'subset__COM_CAT#22': True, 'subset__COM_CAT#27': True, 'subset__COM_CAT#28': False, 'subset__COM_CAT#29': True, 'subset__COM_CAT#31': False, 'subset__COM_CAT#32': True, 'subset__COM_CAT#33': True, 'subset__COM_CAT#7': True, 'subset__CONTACT_DATE_0_HOLIDAYS': True, 'subset__CONTACT_DATE_3_HOLIDAYS': True, 'subset__COST': False, 'subset__ITC': False, 'subset__RENT_CHANNEL': True, 'subset__REVENUE': False, 'subset__ROAM': True, 'subset__VAS': True}"
9,0.55663143935251,0.5158659630318276,0.5433535901015576,0.5410815471791082,0.5121404353056983,0.5356351853877283,0.5994087213599408,0.5175741151350908,0.6037371486383025,0.5381507710817018,0.5345323150201199,0.4846705537762448,0.5397298479711254,0.5433938532210434,0.5072506911937806,0.5738619254879417,0.5396683254949141,0.5141638411899814,0.501567162136268,0.592968985245408,0.5254908126435525,0.5556675872251996,0.5066313541923297,0.5450507787906161,0.5372997101607787,0.5296333260417806,0.555695847362514,0.5420601680764282,0.5502091764191184,0.554365361478727,0.5312132161725658,0.53484369439654,0.5294726840205621,0.5207945969594225,0.5482364293339903,0.550823273384249,0.5744695395384447,0.5558521546538335,0.4944088582299965,0.5338308559853275,0.5392870010769015,0.025791675437213207,1,0.029637348651885987,0.006785409508931685,0.019251495599746704,0.006375259732677689,True,False,False,True,False,True,True,True,False,False,False,True,True,False,True,False,True,False,True,True,True,True,"{'subset__BASE_TYPE': True, 'subset__COM_CAT#1': False, 'subset__COM_CAT#17': False, 'subset__COM_CAT#19': True, 'subset__COM_CAT#20': False, 'subset__COM_CAT#21': True, 'subset__COM_CAT#22': True, 'subset__COM_CAT#27': True, 'subset__COM_CAT#28': False, 'subset__COM_CAT#29': False, 'subset__COM_CAT#31': False, 'subset__COM_CAT#32': True, 'subset__COM_CAT#33': True, 'subset__COM_CAT#7': False, 'subset__CONTACT_DATE_0_HOLIDAYS': True, 'subset__CONTACT_DATE_3_HOLIDAYS': False, 'subset__COST': True, 'subset__ITC': False, 'subset__RENT_CHANNEL': True, 'subset__REVENUE': True, 'subset__ROAM': True, 'subset__VAS': True}"
